"consumer","Cumax","Cddexud","Numax","Nhsat","BdeApar","ddmort","migration_coef","max_exploitable_f"
"kelp",0.0228281905480988,1.99888190289459e-08,0.00531521856602635,44.0197110456283,NA,3.21398658715056e-08,NA,0.0557439115737861
"phyt_s",NA,NA,11.5595525751086,5.48156443183893,NA,0.11715176485642,NA,NA
"phyt_d",NA,NA,NA,NA,NA,0.075999581066434,NA,NA
"omnivzoo",NA,NA,2.01902803351185,1.91944622362015,NA,2.15218010532783e-05,NA,NA
"carnzoo",NA,NA,0.0926823912062239,0.514576436216026,NA,0.000177071247819509,NA,0.00299234204447849
"fishplar",NA,NA,1.03259736430216,1.34911569465596,NA,4.64710828651272e-06,NA,NA
"fishdlar",NA,NA,0.275876402765028,2.65598995720982,NA,5.15413866209874e-07,NA,NA
"fishp",NA,NA,0.0992815215469594,1.91288849607302,NA,6.0487536158113e-05,0.0011876790966299,0.741012303382764
"fishm",NA,NA,0.120786022849126,3.79152171779977,NA,1.43813986135634e-05,2.07151178188979e-05,0.566840288110871
"fishd",NA,NA,0.0110463793395768,1.25756254467646,NA,2.46238641076186e-05,0.00254147347049015,0.589941500563593
"benthslar",NA,NA,0.202078750620237,0.508863152719413,NA,1.14923851408403e-05,NA,NA
"benthclar",NA,NA,1.96096553098723,2.06513479103451,NA,2.34810544825687e-07,NA,NA
"benths",NA,NA,0.574716033232708,0.814702961373848,NA,9.4951238852023e-05,NA,0.0293461321147598
"benthc",NA,NA,0.0135645880547509,14.3013136591096,NA,0.000190060242883665,NA,0.244503638961495
"bird",NA,NA,0.18,0.625115613,3654.767819,0.008120442,1.01887176141834e-08,0.126123958194068
"seal",NA,NA,0.378176702,1.748097689,2515.832372,0.005167412,0.00801983328457018,0.112479087861326
"ceta",NA,NA,0.040546733,0.553634146,867.646529,0.010210268,1.1792095219826e-08,0.496701702017184
