"Month","SLight","SO_LogeSPM","SI_LogeSPM","SO_temp","D_temp","SI_temp","Rivervol_SI","log10Kvert","mixLscale","D_SO_upwelling","SO_D_downwelling","SO_OceanIN","D_OceanIN","SI_OceanIN","SI_OceanOUT","SO_SI_flow","habS1_pdist","habS2_pdist","habS3_pdist","habD1_pdist","habD2_pdist","habD3_pdist","Inshore_waveheight","DO_log10Kvert","DO_mixLscale","DO_D_upwelling","D_DO_downwelling"
1,46.9813809986177,5.92864702420303,5.94072115412851,26.9197311061897,11.2610917273632,27.0239075554693,1.64424638556363e-06,-7.30392866129537,0.1,0.00200834905094256,0.000772728159759413,0.000105491679664584,5.79517967584708e-05,0,0,0.0332513308267085,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,1.57917944192886,-5.18626635097773,0.9,0.00196152812472605,0.00185176375222955
2,45.5298021800052,5.9509658857266,6.02332153174689,27.3572775109469,11.1896956338848,27.3767688222715,1.78281585701717e-06,-7.2999194191602,0.1,0.00206684410985428,0.000768904681385663,9.49061960578309e-05,6.09516680546216e-05,0,0,0.0385292144521609,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,1.62421215772629,-5.18584851412227,0.9,0.00187731013020163,0.00186833068867394
3,41.7137730284057,6.02480587105208,6.04581257105476,27.6160018579623,11.1324324021463,27.6757683303244,2.46899342568585e-06,-7.29763802759882,0.1,0.00216043657497321,0.000755409275636534,9.64151144537983e-05,6.59789243888099e-05,0,0,0.0552258154884669,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,1.69294970035553,-5.18553159164001,0.9,0.00189325592381578,0.00186115814376278
4,34.9840649826419,6.0224772433895,6.08994891112786,27.3248659040201,11.042510327075,27.4501780847299,3.44959379515582e-06,-7.30740995479181,0.2,0.0025304818389224,0.000883997773888478,9.51189040659113e-05,6.23778229538245e-05,0,0,0.0766790055574226,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,1.84475507736206,-5.18535536237302,0.9,0.00203042887545974,0.00206817468691295
5,34.8149647608993,6.00367388389078,6.09304069105561,26.8244282711546,11.0538130844911,27.0053463640295,2.32204107952476e-06,-7.31845089796187,0.6,0.00210470547847914,0.00097169131503516,0.000167956734892263,5.67732766459101e-05,0,0,0.0773303200600874,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,1.87992618083954,-5.18682861491028,0.9,0.00188907960073992,0.0021375725905246
6,35.1720021283687,5.9489723825883,6.01792917411888,26.447889506506,11.256499351829,26.5920322364158,2.24637280137546e-06,-7.29274550839158,0.8,0.00177718345509274,0.0010927285082126,0.000285656351905837,4.40764979067119e-05,0,0,0.111385126105731,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,1.99918080568314,-5.1900984913235,0.9,0.00190287546556048,0.00231698300758235
7,37.0140417497052,5.92215900174365,5.95254145166216,25.8328006609603,11.4644933189246,25.9495836070566,2.33650790009538e-06,-5.01294347428402,0.8,0.00188275455414167,0.00104077590294206,0.000319457650411177,4.88608985176936e-05,0,0,0.118664126387518,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,2.02315974235535,-5.19244681400111,0.9,0.00222621282315949,0.00226132651569292
8,40.0521955145916,5.91296775430872,5.91745941197405,25.0750612904762,11.4884978541265,25.2350199654995,2.45040120067291e-06,-4.24386444429558,0.8,0.00226646834936157,0.00110892626523138,0.000339758434512144,4.36914618142611e-05,0,0,0.107310785526713,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,2.03166049718857,-5.19213893543515,0.9,0.00237503967341705,0.00214281696893399
9,45.226204928988,5.94049812034602,5.94342597667121,24.79361108089,11.4636252747966,24.9381098558984,2.43429881616432e-06,-4.14129530237521,0.8,0.00245880728145422,0.00115380190445808,0.000318062713873112,3.7543620169066e-05,0,0,0.0926926988051498,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,1.98693236112595,-5.19131061420542,0.9,0.00242920327348399,0.00229919898481148
10,48.7028857288583,6.18733919855182,6.32486811589478,25.0543190289358,11.4371571001435,25.152785182601,1.95082311226495e-06,-4.36976004250992,0.6,0.00234303144966659,0.00111530617104846,0.000249615980874291,5.37560292153521e-05,0,0,0.092102669273174,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,1.85914649963379,-5.1908056594074,0.9,0.00238755423168021,0.00230541915660657
11,49.2680848589818,6.22378401067879,6.25547916053861,25.722062323382,11.4426411281801,25.7250399414968,1.73507209438649e-06,-4.83852722062635,0.2,0.00219326240152872,0.000946679198472983,0.000183354532985949,6.20511531300888e-05,0,0,0.0633225144130116,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,1.81544419527054,-5.19052949079347,0.9,0.00212382450830057,0.00208584354158103
12,46.0837024508464,6.07268269445079,6.10302530895171,26.3981427439692,11.3726590826348,26.5464276414043,1.38932985338501e-06,-5.80138114815539,0.1,0.00206983313027624,0.000800255246336743,0.000154715341049333,5.99596085939628e-05,0,0,0.0550761582690728,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,1.68837937116623,-5.1896659167547,0.9,0.00193655852021271,0.00180459770397714
