"Month","SLight","SO_LogeSPM","SI_LogeSPM","SO_temp","D_temp","SI_temp","Rivervol_SI","log10Kvert","mixLscale","D_SO_upwelling","SO_D_downwelling","SO_OceanIN","D_OceanIN","SI_OceanIN","SI_OceanOUT","SO_SI_flow","habS1_pdist","habS2_pdist","habS3_pdist","habD1_pdist","habD2_pdist","habD3_pdist","Inshore_waveheight","DO_log10Kvert","DO_mixLscale","DO_D_upwelling","D_DO_downwelling"
1,47.041132625524,5.92864702420303,5.94072115412851,26.3285336526163,10.7686080269896,26.3814202762475,1.64424638556363e-06,-7.31841390096068,0.1,0.00202547500321097,0.000575051743772405,8.83859585789131e-05,4.88936635976453e-05,0,0,0.0486307501335153,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,1.57917944192886,-5.1301856280266,0.9,0.0017284170807679,0.00143222195126862
2,46.0410648453143,5.9509658857266,6.02332153174689,26.5741406732508,10.6230561191972,26.3617471186574,1.78281585701717e-06,-7.33910066084272,0.1,0.00197427697881671,0.000561568000782695,0.000107565213366502,4.18093448583354e-05,0,0,0.0502606587816042,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,1.62421215772629,-5.12855405999013,0.9,0.00160367527710093,0.00145101758932146
3,42.063333967302,6.02480587105208,6.04581257105476,26.6124994294303,10.5329847510812,26.4247014403102,2.46899342568585e-06,-7.34734486071073,0.1,0.0019706832650707,0.000619841909087472,0.000132240663679315,4.72789165278903e-05,0,0,0.0580918379435091,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,1.69294970035553,-5.12749107612241,0.9,0.00163237704660161,0.00163620998560515
4,39.7061082490212,6.0224772433895,6.08994891112786,26.1547728585744,10.4540834810785,26.0164741565106,3.44959379515582e-06,-6.37189721922957,0.2,0.00238843802614677,0.000804613462894653,0.000177552025588181,5.33833653180203e-05,0,0,0.0855616114835587,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,1.84475507736206,-5.12745322917509,0.9,0.00178200342230462,0.00187792430339222
5,38.6343362774152,6.00367388389078,6.09304069105561,25.6974010117021,10.4940555505931,25.7010185498415,2.32204107952476e-06,-6.54493965623552,0.6,0.00205171086110035,0.000941521735736498,0.00028541829158559,5.49770623439141e-05,0,0,0.131098601308576,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,1.87992618083954,-5.12827874087811,0.9,0.00174031619167966,0.00198787550181496
6,36.3332040854862,5.9489723825883,6.01792917411888,25.6439056101392,10.6582657889764,25.6669850091305,2.24637280137546e-06,-7.3428838307745,0.8,0.00171543364294297,0.000997625226073746,0.000286055888298316,4.63133805544617e-05,0,0,0.114735007336759,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,1.99918080568314,-5.13051180295567,0.9,0.00178233601279591,0.00198285811895819
7,35.946378100662,5.92215900174365,5.95254145166216,25.2483878209657,10.8173183535052,25.2530622340376,2.33650790009538e-06,-5.04248105479841,0.8,0.0022905228230801,0.00130818628697252,0.000287926971489628,3.96010540045326e-05,0,0,0.0998719413144765,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,2.02315974235535,-5.13207394196465,0.9,0.00211898660319047,0.00231701093152849
8,38.885735688648,5.91296775430872,5.91745941197405,24.7131896207045,10.9328112940214,24.9585074702128,2.45040120067291e-06,-4.49214557987688,0.8,0.00249595767715502,0.00131802415522324,0.00026372371799702,4.68550523195944e-05,0,0,0.097734447556161,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,2.03166049718857,-5.13263509461764,0.9,0.00232475018203212,0.00239828735010741
9,42.0321678206087,5.94049812034602,5.94342597667121,24.4538868153156,10.9585449781777,24.719268197687,2.43429881616432e-06,-4.57624725861272,0.8,0.0025796576984776,0.00121451324883019,0.000249391622649612,4.52952842742521e-05,0,0,0.0855168423211576,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,1.98693236112595,-5.13324011409532,0.9,0.00249337418463726,0.00242170807446118
10,46.0262665042681,6.18733919855182,6.32486811589478,24.6096162264254,10.9520768738084,24.9049859740449,1.95082311226495e-06,-5.00230981495731,0.6,0.00225968783407059,0.00099724690761432,0.000224015868992482,4.59197117896906e-05,0,0,0.075479401204247,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,1.85914649963379,-5.1336535546063,0.9,0.00230303561719443,0.00218750118904382
11,48.2025408856465,6.22378401067879,6.25547916053861,25.1215597370186,10.9516484470297,25.2904228594099,1.73507209438649e-06,-5.63323828922732,0.2,0.00194535345304158,0.000839959178585925,0.000176953638178489,5.20974089576263e-05,0,0,0.0582097840916586,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,1.81544419527054,-5.13419092023935,0.9,0.00182246930496357,0.00187845538845302
12,47.2596979102026,6.07268269445079,6.10302530895171,25.8050827995757,10.9394919896663,25.9149364108373,1.38932985338501e-06,-7.30360669062172,0.1,0.00183104243247921,0.000731672842984689,0.000132353052849068,5.35956095787466e-05,0,0,0.0418035901892613,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,1.68837937116623,-5.1344195071238,0.9,0.00180277186862479,0.00162377019699699
