"Value","Description"
1.79123841654174e-05,"water_column_detritus_mineralisation_rate"
1.19268477546646e-07,"upper_layer_water_column_nitrification_rate"
1.43318238239682e-09,"upper_layer_water_column_denitrification_rate"
0.0183121017938783,"lower_layer_water_column_nitrification_rate"
4.39387095661699e-07,"lower_layer_water_column_denitrification_rate"
0.235078868980645,"proportion_of_detritus_or_corpses_converted_to_refractory_material_max_0.5"
0.000308873013320187,"mineralisation_rate_scaling_parameter_for_refractory_detritus"
0.0276314358067913,"proportion_of_refractory_detritus_digestible_by_benthos"
0.00977942162679194,"sediment_detritus_mineralisation_rate"
-1.8132620805816e-08,"grain_size_sensitivity_for_sediment_detritus_mineralisation_rate"
4.44373688917679e-05,"sediment_nitrification_rate"
-4.24831064901506e-06,"grain_size_sensitivity_for_sediment_nitrification_rate"
0.489103600114984,"sediment_denitrification_rate"
1.65728858840094e-07,"grain_size_sensitivity_for_sediment_denitrification_rate"
0.0175108566461604,"conversion_rate_of_discards_to_corpses"
0.188654200178986,"conversion_rate_of_corpses_to_sediment_detritus"
0.0240133486727514,"conversion_rate_of_kelp_debris_to_detritus"
0.0740813156531648,"detritus_sinking_rate_in_the_upper_layers"
0.00686969388668302,"detritus_sinking_rate_in_the_lower_layer"
3.14945371950046e-05,"density_dependent_self_shading_parameter_for_kelp"
0.00334096773326548,"Wave_dependent_beach_cast_rate_for_kelp_debris"
0.837137907308652,"fitting_parameter_for_undersize_demersal_fish_function"
