"Value","Description"
1.76873189541802e-05,"water_column_detritus_mineralisation_rate"
1.20542261924227e-07,"upper_layer_water_column_nitrification_rate"
1.44120210509809e-09,"upper_layer_water_column_denitrification_rate"
0.0184484820333179,"lower_layer_water_column_nitrification_rate"
4.39101798772838e-07,"lower_layer_water_column_denitrification_rate"
0.236338160907786,"proportion_of_detritus_or_corpses_converted_to_refractory_material_max_0.5"
0.000306996868918421,"mineralisation_rate_scaling_parameter_for_refractory_detritus"
0.0276070766346802,"proportion_of_refractory_detritus_digestible_by_benthos"
0.00982463782026555,"sediment_detritus_mineralisation_rate"
-1.83535132604826e-08,"grain_size_sensitivity_for_sediment_detritus_mineralisation_rate"
4.50227363764687e-05,"sediment_nitrification_rate"
-4.25005339490107e-06,"grain_size_sensitivity_for_sediment_nitrification_rate"
0.490501182592744,"sediment_denitrification_rate"
1.63459372604233e-07,"grain_size_sensitivity_for_sediment_denitrification_rate"
0.0175060200599017,"conversion_rate_of_discards_to_corpses"
0.189127291670332,"conversion_rate_of_corpses_to_sediment_detritus"
0.0242035649132842,"conversion_rate_of_kelp_debris_to_detritus"
0.0731055715121357,"detritus_sinking_rate_in_the_upper_layers"
0.00696968658886853,"detritus_sinking_rate_in_the_lower_layer"
3.14727408655345e-05,"density_dependent_self_shading_parameter_for_kelp"
0.0033463762909972,"Wave_dependent_beach_cast_rate_for_kelp_debris"
0.84558138416337,"fitting_parameter_for_undersize_demersal_fish_function"
