"consumer","Cumax","Cddexud","Numax","Nhsat","BdeApar","ddmort","migration_coef","max_exploitable_f"
"kelp",0.0226040303406337,1.95358359467541e-08,0.00520523434259315,46.813796348735,NA,3.21411854758549e-08,NA,0.0553600589731895
"phyt_s",NA,NA,11.5088511134938,5.00232240256922,NA,0.117137735165662,NA,NA
"phyt_d",NA,NA,NA,NA,NA,0.0760046545714534,NA,NA
"omnivzoo",NA,NA,2.18596987116735,1.76307102303292,NA,2.15235497216441e-05,NA,NA
"carnzoo",NA,NA,0.0968979337952275,0.544409454967646,NA,0.000177081296128099,NA,0.00299824730185523
"fishplar",NA,NA,1.02513060244844,1.36791164990483,NA,4.64736313952668e-06,NA,NA
"fishdlar",NA,NA,0.27470004590039,2.79553585859147,NA,5.15394978930395e-07,NA,NA
"fishp",NA,NA,0.100999409601411,1.92442068517253,NA,6.0497016074517e-05,0.00118661197239403,0.739084171564369
"fishm",NA,NA,0.132041996437736,3.68449997248976,NA,1.43827509691232e-05,2.07340371114993e-05,0.573332691455425
"fishd",NA,NA,0.0128133943122834,1.13124520250226,NA,2.46253786874436e-05,0.00255101388220498,0.590142209612984
"benthslar",NA,NA,0.223124205920413,0.498312650079255,NA,1.14903416908117e-05,NA,NA
"benthclar",NA,NA,2.03807034856252,1.86353795190747,NA,2.34815494871692e-07,NA,NA
"benths",NA,NA,0.550456210079501,0.785484629851096,NA,9.49514470648076e-05,NA,0.0292817299013827
"benthc",NA,NA,0.0136067910488572,14.2054663857468,NA,0.000190068243951987,NA,0.246563469589747
"bird",NA,NA,0.18,0.625115613,3654.767819,0.008120442,1.03093472539729e-08,0.126381102037127
"seal",NA,NA,0.378176702,1.748097689,2515.832372,0.005167412,0.00796913346109605,0.113046185293114
"ceta",NA,NA,0.040546733,0.553634146,867.646529,0.010210268,1.17867670580029e-08,0.497011978482991
