"","kelp","phyt","omnivzoo","carnzoo","fishplar","fishdlar","fishp","fishm","fishd","benthslar","benthclar","benths","benthc","bird","seal","ceta"
"ammonia",0.442798021115933,0.383311303477483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nitrate",0.557201978884067,0.616688696522517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suspdet",NA,NA,0.0161055102733479,NA,NA,NA,NA,NA,NA,0.928331215889903,0.233176982212808,0.414600136434836,NA,NA,NA,NA
"seddet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375683600271543,NA,NA,NA,NA
"kelpdebris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00973084555684688,NA,NA,NA
"corpses",NA,NA,NA,NA,NA,NA,NA,NA,0.0157303134461699,NA,NA,NA,0.727095349091645,0,0.0512601347637816,NA
"discards",NA,NA,NA,NA,NA,NA,NA,NA,0.010824195692977,NA,NA,NA,NA,0,0.062508287152015,0.128836440119503
"kelp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0183651305671686,NA,NA,NA
"phyt",NA,NA,0.709366166163829,NA,NA,NA,NA,NA,NA,0.0716687841100968,0.766823017787192,0.209716263293622,NA,NA,NA,NA
"omnivzoo",NA,NA,NA,0.706270348870259,0.150107098378135,0.82672513887882,0.379960896719662,0.141338176633167,NA,NA,NA,NA,NA,NA,NA,0.00818888172381966
"carnzoo",NA,NA,NA,NA,NA,NA,0.271069120084645,0.298403272354264,0.329635329719769,NA,NA,NA,NA,0.726879811739894,0,0.658678624488688
"fishplar",NA,NA,NA,0.005896570689357,NA,NA,0.12765608978249,0.469827217047844,0.0982660903009093,NA,NA,NA,NA,NA,NA,NA
"fishdlar",NA,NA,NA,0.0323803540676594,NA,NA,0.0842532583408213,0.0904313339647241,0.0047728667227341,NA,NA,NA,NA,NA,NA,NA
"fishp",NA,NA,NA,NA,NA,NA,NA,NA,0.359395216614274,NA,NA,NA,NA,0.273120188260106,0.133042490376826,0.0107179049223214
"fishm",NA,NA,NA,NA,NA,NA,NA,NA,0.0294262190935964,NA,NA,NA,NA,0,0.0448784173582672,0.160106733750177
"fishd",NA,NA,NA,NA,NA,NA,NA,NA,0.00247947606076982,NA,NA,NA,NA,0,0.70831067034911,0.033471414995491
"benthslar",NA,NA,0.00359477598689781,0.15888209265935,0.602879642347715,0.116317456106727,0.049533478501611,0,NA,NA,NA,NA,NA,NA,NA,NA
"benthclar",NA,NA,0.270933547575925,0.0965706337133753,0.24701325927415,0.0569574050144527,0.0875271565707709,0,NA,NA,NA,NA,NA,NA,NA,NA
"benths",NA,NA,NA,NA,NA,NA,NA,NA,0.117253276677105,NA,NA,NA,0.24480867478434,0,0,0
"benthc",NA,NA,NA,NA,NA,NA,NA,NA,0.0322170156716949,NA,NA,NA,NA,0,0,0
"bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"seal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ceta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
