"Month","SLight","SO_LogeSPM","SI_LogeSPM","SO_temp","D_temp","SI_temp","Rivervol_SI","log10Kvert","mixLscale","D_SO_upwelling","SO_D_downwelling","SO_OceanIN","D_OceanIN","SI_OceanIN","SI_OceanOUT","SO_SI_flow","habS1_pdist","habS2_pdist","habS3_pdist","habD1_pdist","habD2_pdist","habD3_pdist","Inshore_waveheight","DO_log10Kvert","DO_mixLscale","DO_D_upwelling","D_DO_downwelling"
1,13.6826479793197,6.00401663895866,6.02270656786441,14.518654114567,11.2813728371198,14.7246545097483,4.26120623229591e-05,-2.0914794773363,0.1,0.00616592053101185,0.000215867384553901,0.000187308756810814,3.01371727599396e-05,0,0,0.0001856577719382,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,2.57161648273468,-4.42775715625999,0.9,0.000296889327565876,0.000316961933087528
2,19.3404814045681,6.00336666011337,6.03624327143839,14.0730244644796,11.2627486669938,14.2101983805006,4.15432799445399e-05,-1.86709147581646,0.1,0.0072130864982905,0.000226276427904473,0.000164158293270014,2.8350596264186e-05,0,0,0.000180799639233796,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,2.70864744186401,-4.4271656997165,0.9,0.000301869633833741,0.000286929931416848
3,28.3739045887459,6.07905216637147,6.13383094277443,13.8499855834548,11.2248508480623,13.9200319570396,4.46867858974762e-05,-1.80939376889458,0.1,0.00772888109500323,0.000256541891021503,0.000165515067158721,2.87634927782789e-05,0,0,0.000170318118648427,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,2.44967966079712,-4.42568777282744,0.9,0.00029382234833537,0.000298699808636782
4,36.7155485208827,6.15682338025934,6.12605022440406,13.8663508088522,11.2002143321305,13.8999482425521,3.37219551838501e-05,-2.07279169325845,0.2,0.00781846389792868,0.000256884830423223,0.000187860799461112,3.23854467947847e-05,0,0,0.000154463121717323,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,2.1759837269783,-4.42662970800702,0.9,0.000268643090674793,0.000268538212570857
5,42.7809569106145,6.23276030570068,6.19345798327189,14.2721333471223,11.205425224751,14.316729727359,3.31397217121426e-05,-2.78976109353556,0.6,0.00514219315604665,0.000178005123773981,0.000189718885241723,3.18777923093546e-05,0,0,0.000141019111111578,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,1.78057487010956,-4.42911413547479,0.9,0.000208031956584128,0.000217854047969889
6,47.0170753051247,6.18266667960272,6.16094901829543,15.0074841668835,11.2145001209495,15.0612806876801,1.85605936779374e-05,-4.07481568456251,0.8,0.00356755086541057,0.000118296372953369,0.000179375469883558,3.04672769284792e-05,0,0,0.000135130812185412,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,1.41061836481094,-4.42953979094219,0.9,0.000157948366504058,0.000166755212471023
7,46.4891015689185,6.12623649492561,6.12926047117853,15.8657299801222,11.2249843085476,15.9212799424076,1.42297724830736e-05,-4.50458984035565,0.8,0.00272629978427939,9.77226476083205e-05,0.000179328764248662,2.93171385026561e-05,0,0,0.000134923010140952,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,1.15316449403763,-4.42940131731225,0.9,0.000132821762261714,0.000148365773957529
8,42.9025605561194,6.05327430167121,6.04803619022054,16.7326092088134,11.2412230883002,16.777401448768,2.15629095003793e-05,-4.53051606896778,0.8,0.00218614189275828,8.99845641518671e-05,0.00017925997890971,2.99914476131759e-05,0,0,0.000131434632081496,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,1.29048260450363,-4.42952501361267,0.9,0.00012439990355761,0.000148008802884514
9,34.1949951410751,6.03005111692718,6.01077837849231,17.0369829229436,11.2651034170955,17.1200143492016,2.93391591721048e-05,-4.58260611606594,0.8,0.00298930010184258,0.000108737415513425,0.000168518280834391,2.86777490273314e-05,0,0,0.00013430867736266,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,1.6974069237709,-4.42900649090704,0.9,0.000171455412986207,0.000185274747238389
10,24.2526047098712,5.98616731652323,5.98820489019419,16.894683458307,11.2874275714573,17.0380363505468,4.33349856525251e-05,-4.23570215942203,0.6,0.00348433495881727,0.000128092667334773,0.000182323932838201,2.96882439944219e-05,0,0,0.000148639267340827,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,2.30105627775192,-4.42828781216015,0.9,0.000185795816681978,0.000204221181809455
11,15.8245235691113,5.99598551212744,6.00782436748489,16.2833181433371,11.2990961994599,16.5509196426449,3.74082255585484e-05,-3.19029722103611,0.2,0.00448490972443502,0.000164899232659473,0.000198920286894559,3.2905483801618e-05,0,0,0.000172643526493247,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,2.40032725334167,-4.42837597792135,0.9,0.000250456378698892,0.000270273805095481
12,12.4487557956606,5.97453914213499,6.00209662571635,15.4736422597598,11.3123603051023,15.7274095012446,6.19092197480122e-05,-2.4454179511732,0.1,0.00565065042257009,0.000177306021621907,0.000183323909555019,3.2483692760697e-05,0,0,0.000172023919994754,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,2.75061081647873,-4.42622662815499,0.9,0.000294491575919712,0.00029671169596551
