"Month","SO_nitrate","SO_ammonia","SO_phyt","SO_detritus","D_nitrate","D_ammonia","D_phyt","D_detritus","SI_nitrate","SI_ammonia","SI_phyt","SI_detritus","RIV_nitrate","RIV_ammonia","RIV_detritus","SO_ATM_nitrate_flux","SO_ATM_ammonia_flux","SI_ATM_nitrate_flux","SI_ATM_ammonia_flux","SI_other_nitrate_flux","SI_other_ammonia_flux","SO_other_nitrate_flux","SO_other_ammonia_flux","DO_nitrate","DO_ammonia","DO_detritus"
1,2.65401808084328,0.289328681678167,0.188158923191511,0.177387663640413,14.1139482943499,0.141050557705322,0.00131630150704082,0.0741570495628777,0.053735967,0.023119779,0.184289122,0.035783731,10,1,0,0.0147904378838391,0.00609660209278174,0.0148770199464877,0.00583228696110485,0,0,0,0,17.5605249244766,0.111677164643533,0.115618770641537
2,3.19697574988294,0.29717944539384,0.221421071235046,0.122884661023829,14.0251411186689,0.13999478587786,0.00370084056095314,0.0505041459735317,0.051336435,0.022087385,0.174679211,0.029047065,10,1,0,0.0162019833032463,0.00653610221065936,0.0164455416065178,0.0059731088408106,0,0,0,0,17.5656361055435,0.115322402990362,0.0629980217160808
3,3.59310934031015,0.322515686871773,0.39444864854495,0.105335208539703,14.0818477233116,0.140890947265355,0.00986518517339982,0.036459888387822,0.040407985,0.017385445,0.153083997,0.021262489,10,1,0,0.0166462288351126,0.00647804176773927,0.0165175920503984,0.00630531978819193,0,0,0,0,17.5673626915473,0.11398078410889,0.026877734141347
4,3.35628754244535,0.366638495761003,0.725138285567889,0.216483471198913,14.0984697600537,0.144146094335075,0.015890900967239,0.0321509271696337,0.044963007,0.019345232,0.158259256,0.022001803,10,1,0,0.0202051395299061,0.00819195826937045,0.0210937744538699,0.00787738171066084,0,0,0,0,17.5705891932754,0.111511821465063,0.0115189855990388
5,2.39613298541907,0.382262627278139,0.8358525528649,0.751326518249796,14.0511146004284,0.139740121917118,0.00623694588910821,0.0378550821315325,0.064500417,0.027751159,0.167445626,0.024814096,10,1,0,0.0165103644650492,0.00691133731555554,0.0165571693256612,0.00648977874796809,0,0,0,0,17.5018062450589,0.108321161821968,0.00512667032340682
6,2.12542543197467,0.338565838281262,0.384251638037321,1.12203190668335,14.1311191968016,0.131791196172234,0.000772374424889565,0.0815680538881203,0.083767099,0.036040605,0.173742496,0.030669211,10,1,0,0.0139864438789941,0.00494791560673288,0.0139977746007461,0.00447629764306522,0,0,0,0,17.5064295366655,0.105015398888511,0.00288901769744474
7,2.07554994129027,0.287600289259833,0.260834070346096,0.889029368663678,14.1737040423658,0.1303682477248,5.98075332701673e-05,0.140829507073965,0.038756853,0.016675049,0.165128371,0.03202102,10,1,0,0.0136527542193662,0.00515725356691192,0.0137942136778924,0.0046349247075623,0,0,0,0,17.4440858064605,0.102610270663965,0.00205092975705063
8,1.92177666755774,0.261942383829831,0.219307813874233,0.661539947959215,14.1438116045703,0.131763664877947,1.93003292481212e-05,0.171276460003505,0.040334021,0.017353622,0.168140681,0.034361279,10,1,0,0.0133398064081707,0.00465219534973624,0.0135519340800296,0.00413535531186792,0,0,0,0,17.4303668602089,0.0994248741086872,0.00209316718645055
9,1.82004792463177,0.241262153881445,0.174631737888044,0.478987700980883,13.9951144828933,0.133857705891753,2.12137215734263e-05,0.176818282696307,0.061756357,0.026570533,0.212286047,0.058975787,10,1,0,0.0165074522281805,0.00560921090211542,0.016303421441643,0.00500979058126668,0,0,0,0,17.502335824626,0.0962254923554749,0.00751451260458875
10,1.92034217642558,0.222792203882282,0.127073887113514,0.351868088944495,14.0935877706294,0.139063240906257,1.32378861162088e-05,0.175719071092074,0.084646698,0.036419051,0.230549811,0.068589436,10,1,0,0.0173721091246687,0.00624611343224225,0.0180373078830162,0.00610745370855838,0,0,0,0,17.4777344922103,0.0951155302687673,0.0272490545640279
11,1.9909683013911,0.219285862492168,0.141050103272558,0.273644464373637,14.106900823992,0.140448551074555,1.70002462236684e-05,0.147592887266733,0.089083108,0.038327806,0.215059782,0.051712557,10,1,0,0.015127665311512,0.0053875834315217,0.0153107455902038,0.0051209396342673,0,0,0,0,17.4734089461615,0.0969431790042664,0.0867821969739251
12,2.05837360456914,0.252562367154411,0.172565559758087,0.227410800606829,14.0173451077001,0.139946611475232,0.000156466674166329,0.106617171662764,0.097573262,0.041980676,0.213935347,0.048836306,10,1,0,0.0151741424269299,0.00669879888180077,0.0151665005031773,0.00655544315895406,0,0,0,0,17.4651270521812,0.101612666063626,0.128034523650595
