Month,SLight,SO_LogeSPM,SI_LogeSPM,SO_temp,D_temp,SI_temp,Rivervol_SI,log10Kvert,mixLscale,D_SO_upwelling,SO_D_downwelling,SO_OceanIN,D_OceanIN,SI_OceanIN,SI_OceanOUT,SO_SI_flow,habS1_pdist,habS2_pdist,habS3_pdist,habD1_pdist,habD2_pdist,habD3_pdist,Inshore_waveheight,DO_log10Kvert,DO_mixLscale,DO_D_upwelling,D_DO_downwelling
1,13.68264798,6.004016639,6.022706568,14.51865411,11.28137284,14.72465451,4.26E-05,-3.091479477,0.1,0.000616592,0.000215867,0.000187309,3.01E-05,0,0,0.185657772,0.08669155,0.08669155,0.08669155,1.97E-11,1.97E-11,1.97E-11,2.571616483,-4.427757156,0.9,0.000296889,0.000316962
2,19.3404814,6.00336666,6.036243271,14.07302446,11.26274867,14.21019838,4.15E-05,-2.867091476,0.1,0.000721309,0.000226276,0.000164158,2.84E-05,0,0,0.180799639,0.08669155,0.08669155,0.08669155,1.97E-11,1.97E-11,1.97E-11,2.708647442,-4.4271657,0.9,0.00030187,0.00028693
3,28.37390459,6.079052166,6.133830943,13.84998558,11.22485085,13.92003196,4.47E-05,-2.809393769,0.1,0.000772888,0.000256542,0.000165515,2.88E-05,0,0,0.170318119,0.08669155,0.08669155,0.08669155,1.97E-11,1.97E-11,1.97E-11,2.449679661,-4.425687773,0.9,0.000293822,0.0002987
4,36.71554852,6.15682338,6.126050224,13.86635081,11.20021433,13.89994824,3.37E-05,-3.072791693,0.2,0.000781846,0.000256885,0.000187861,3.24E-05,0,0,0.154463122,0.08669155,0.08669155,0.08669155,1.97E-11,1.97E-11,1.97E-11,2.175983727,-4.426629708,0.9,0.000268643,0.000268538
5,42.78095691,6.232760306,6.193457983,14.27213335,11.20542522,14.31672973,3.31E-05,-3.789761094,0.6,0.000514219,0.000178005,0.000189719,3.19E-05,0,0,0.141019111,0.08669155,0.08669155,0.08669155,1.97E-11,1.97E-11,1.97E-11,1.78057487,-4.429114135,0.9,0.000208032,0.000217854
6,47.01707531,6.18266668,6.160949018,15.00748417,11.21450012,15.06128069,1.86E-05,-5.074815685,0.8,0.000356755,0.000118296,0.000179375,3.05E-05,0,0,0.135130812,0.08669155,0.08669155,0.08669155,1.97E-11,1.97E-11,1.97E-11,1.410618365,-4.429539791,0.9,0.000157948,0.000166755
7,46.48910157,6.126236495,6.129260471,15.86572998,11.22498431,15.92127994,1.42E-05,-5.50458984,0.8,0.00027263,9.77E-05,0.000179329,2.93E-05,0,0,0.13492301,0.08669155,0.08669155,0.08669155,1.97E-11,1.97E-11,1.97E-11,1.153164494,-4.429401317,0.9,0.000132822,0.000148366
8,42.90256056,6.053274302,6.04803619,16.73260921,11.24122309,16.77740145,2.16E-05,-5.530516069,0.8,0.000218614,9.00E-05,0.00017926,3.00E-05,0,0,0.131434632,0.08669155,0.08669155,0.08669155,1.97E-11,1.97E-11,1.97E-11,1.290482605,-4.429525014,0.9,0.0001244,0.000148009
9,34.19499514,6.030051117,6.010778378,17.03698292,11.26510342,17.12001435,2.93E-05,-5.582606116,0.8,0.00029893,0.000108737,0.000168518,2.87E-05,0,0,0.134308677,0.08669155,0.08669155,0.08669155,1.97E-11,1.97E-11,1.97E-11,1.697406924,-4.429006491,0.9,0.000171455,0.000185275
10,24.25260471,5.986167317,5.98820489,16.89468346,11.28742757,17.03803635,4.33E-05,-5.235702159,0.6,0.000348433,0.000128093,0.000182324,2.97E-05,0,0,0.148639267,0.08669155,0.08669155,0.08669155,1.97E-11,1.97E-11,1.97E-11,2.301056278,-4.428287812,0.9,0.000185796,0.000204221
11,15.82452357,5.995985512,6.007824367,16.28331814,11.2990962,16.55091964,3.74E-05,-4.190297221,0.2,0.000448491,0.000164899,0.00019892,3.29E-05,0,0,0.172643526,0.08669155,0.08669155,0.08669155,1.97E-11,1.97E-11,1.97E-11,2.400327253,-4.428375978,0.9,0.000250456,0.000270274
12,12.4487558,5.974539142,6.002096626,15.47364226,11.31236031,15.7274095,6.19E-05,-3.445417951,0.1,0.000565065,0.000177306,0.000183324,3.25E-05,0,0,0.17202392,0.08669155,0.08669155,0.08669155,1.97E-11,1.97E-11,1.97E-11,2.750610816,-4.426226628,0.9,0.000294492,0.000296712
