"","kelp","phyt","omnivzoo","carnzoo","fishplar","fishdlar","fishp","fishm","fishd","benthslar","benthclar","benths","benthc","bird","seal","ceta"
"ammonia",0.076498446857223,0.347445623892734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nitrate",0.923501553142777,0.652554376107266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suspdet",NA,NA,0.00127806828715345,NA,NA,NA,NA,NA,NA,0.985654118735991,0.538511022130292,0.0820720111356544,NA,NA,NA,NA
"seddet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.748454576845218,NA,NA,NA,NA
"kelpdebris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002585819088387,NA,NA,NA
"corpses",NA,NA,NA,NA,NA,NA,NA,NA,0.00399994626526979,NA,NA,NA,0.618405923082589,0.106727423139699,0.0531800844793642,NA
"discards",NA,NA,NA,NA,NA,NA,NA,NA,0.0138889535550944,NA,NA,NA,NA,0.0185445337973797,0.0796904872878621,0.0706730555893735
"kelp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0120585990237278,NA,NA,NA
"phyt",NA,NA,0.826473323615493,NA,NA,NA,NA,NA,NA,0.0143458812640092,0.461488977869708,0.169473412019128,NA,NA,NA,NA
"omnivzoo",NA,NA,NA,0.558973731468084,0.0933417541251462,0.971993555001302,0.43031878959469,0.367507647948396,NA,NA,NA,NA,NA,NA,NA,0.00635093074003906
"carnzoo",NA,NA,NA,NA,NA,NA,0.259010991307859,0.0157305670176828,0.390615724603152,NA,NA,NA,NA,0.507869266969575,0,0.698938680504829
"fishplar",NA,NA,NA,0.0345031422351146,NA,NA,0.100051823003059,0.0346769227554383,0.183851801747263,NA,NA,NA,NA,NA,NA,NA
"fishdlar",NA,NA,NA,0.0778742422250937,NA,NA,0.0906202550538811,0.0682449217877034,0.0199998507356671,NA,NA,NA,NA,NA,NA,NA
"fishp",NA,NA,NA,NA,NA,NA,NA,NA,0.110160364947719,NA,NA,NA,NA,0.357226492880588,0.182514856662357,0.116354560117515
"fishm",NA,NA,NA,NA,NA,NA,NA,NA,0.0270513678663039,NA,NA,NA,NA,0,0.0662541998584547,0.0916379174428637
"fishd",NA,NA,NA,NA,NA,NA,NA,NA,0.0034736231428488,NA,NA,NA,NA,0.00963228321275808,0.618360371711962,0.01604485560538
"benthslar",NA,NA,0.00293741594740521,0.149387960546342,0.600786149312909,0.0241600419200754,0.0686465638433804,0.310152445800328,NA,NA,NA,NA,NA,NA,NA,NA
"benthclar",NA,NA,0.169311192149948,0.179260923525366,0.305872096561944,0.00384640307862288,0.0513515771971309,0.203687494690452,NA,NA,NA,NA,NA,NA,NA,NA
"benths",NA,NA,NA,NA,NA,NA,NA,NA,0.211507797906713,NA,NA,NA,0.366949658805296,0,0,0
"benthc",NA,NA,NA,NA,NA,NA,NA,NA,0.0354505692299696,NA,NA,NA,NA,0,0,0
"bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"seal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ceta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
