"Month","SLight","SO_LogeSPM","SI_LogeSPM","SO_temp","D_temp","SI_temp","Rivervol_SI","log10Kvert","mixLscale","D_SO_upwelling","SO_D_downwelling","SO_OceanIN","D_OceanIN","SI_OceanIN","SI_OceanOUT","SO_SI_flow","habS1_pdist","habS2_pdist","habS3_pdist","habD1_pdist","habD2_pdist","habD3_pdist","Inshore_waveheight","DO_log10Kvert","DO_mixLscale","DO_D_upwelling","D_DO_downwelling"
1,13.9235333640653,6.00401663895866,6.02270656786441,15.2140348034219,11.9695476689275,15.1929855070733,4.26120623229591e-05,-2.0086075977466,0.1,0.00542762539546581,0.000185059593377231,0.000193764581856804,3.45120780093237e-05,0,0,0.000112442785303055,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,2.57161648273468,-4.46049189370599,0.9,0.000254088793283786,0.00026948593013514
2,19.5180136151959,6.00336666011337,6.03624327143839,14.8460433656592,11.9558638098346,14.7991383551168,4.15432799445399e-05,-1.70993003360648,0.1,0.0066173974398207,0.000229979017929319,0.000188954381346828,3.4393867837427e-05,0,0,0.000109316798576662,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,2.70864744186401,-4.4598618607114,0.9,0.000242243316072415,0.000268883301760029
3,27.8472136452425,6.07905216637147,6.13383094277443,14.7485591408529,11.9619951569267,14.6918024564719,4.46867858974762e-05,-2.0372890692876,0.1,0.00715658092409233,0.000248886234170714,0.000189247885181817,3.45171346931941e-05,0,0,0.000100099158573304,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,2.44967966079712,-4.46035309831034,0.9,0.000217494999799375,0.000237726305532313
4,36.5950669470561,6.15682338025934,6.12605022440406,14.9159196308267,11.9723431740648,14.8371233940847,3.37219551838501e-05,-2.61313681362702,0.2,0.0057392312499655,0.000204781267403572,0.000184765855515784,3.29418496814086e-05,0,0,0.000112247371701843,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,2.1759837269783,-4.4614568104384,0.9,0.000190073363561433,0.000209227956472773
5,41.8586713293465,6.23276030570068,6.19345798327189,15.2831402291327,11.9696274308037,15.250190978611,3.31397217121426e-05,-2.98339651918906,0.6,0.00442269862509152,0.000157481355855657,0.000196883585276631,3.5739118261191e-05,0,0,0.000110152296530111,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,1.78057487010956,-4.46178439311832,0.9,0.000178373423217695,0.000198170688037584
6,45.7622187859829,6.18266667960272,6.16094901829543,15.9997238969648,11.9635603220616,15.9934549537729,1.85605936779374e-05,-4.18858835313574,0.8,0.00279426928077199,0.000102271484131863,0.000217863762159723,3.96566337550597e-05,0,0,9.18412108048811e-05,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,1.41061836481094,-4.46159298135591,0.9,0.000142871809688263,0.000158665791658959
7,46.0011937908351,6.12623649492561,6.12926047117853,16.8843007160426,11.9582930041038,16.9157606662945,1.42297724830736e-05,-4.63087639993791,0.8,0.00186002942475417,8.51263232377012e-05,0.000215193615016131,3.82504422594322e-05,0,0,9.67677869002791e-05,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,1.15316449403763,-4.46072203577531,0.9,0.000119102292493866,0.000144173795533848
8,42.6366578722303,6.05327430167121,6.04803619022054,17.7238534666199,11.9622756487346,17.7704348172673,2.15629095003793e-05,-4.80687284896576,0.8,0.00183689096950568,7.76496040631012e-05,0.000195398303753519,3.62164589137778e-05,0,0,9.79961714883681e-05,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,1.29048260450363,-4.46060970873814,0.9,0.000121465611515723,0.000136976285952974
9,33.5776193670022,6.03005111692718,6.01077837849231,18.1204228015712,11.9677550226868,18.166843254914,2.93391591721048e-05,-4.84019035496117,0.8,0.00230202207558829,9.55116632126346e-05,0.000205695796093867,3.7638464414156e-05,0,0,0.000101385112359473,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,1.6974069237709,-4.45986397325257,0.9,0.000156749129893953,0.000174384910741928
10,22.6023361787615,5.98616731652323,5.98820489019419,17.7644009201679,11.9681102285822,17.8516563930117,4.33349856525251e-05,-4.75107244602818,0.6,0.00332025995649764,0.000114181583326065,0.000206742014131821,3.63734364729406e-05,0,0,0.000117027282605354,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,2.30105627775192,-4.459488843412,0.9,0.000196492311516453,0.000203329332313848
11,15.9464667622524,5.99598551212744,6.00782436748489,16.9074369995434,11.9676990379817,17.016915724888,3.74082255585484e-05,-4.06977904370249,0.2,0.00334935647843081,0.000140136371982127,0.000216617981108981,3.56543519503689e-05,0,0,0.00012217723060926,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,2.40032725334167,-4.45993043898243,0.9,0.000208936629421942,0.000239764240505079
12,12.719082432778,5.97453914213499,6.00209662571635,16.1246610534228,11.9771358769627,16.2317058100243,6.19092197480122e-05,-2.9088618480307,0.1,0.00386159761351575,0.00014787050705497,0.000209132103842531,3.59830383022266e-05,0,0,0.00011875797115654,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,2.75061081647873,-4.46001593926102,0.9,0.000229237774972175,0.00024856056484604
