Month,SLight,SO_LogeSPM,SI_LogeSPM,SO_temp,D_temp,SI_temp,Rivervol_SI,log10Kvert,mixLscale,D_SO_upwelling,SO_D_downwelling,SO_OceanIN,D_OceanIN,SI_OceanIN,SI_OceanOUT,SO_SI_flow,habS1_pdist,habS2_pdist,habS3_pdist,habD1_pdist,habD2_pdist,habD3_pdist,Inshore_waveheight,DO_log10Kvert,DO_mixLscale,DO_D_upwelling,D_DO_downwelling
1,13.92353336,6.004016639,6.022706568,15.2140348,11.96954767,15.19298551,4.26E-05,-3.008607598,0.1,0.000542763,0.00018506,0.000193765,3.45E-05,0,0,0.11244279,0.08669155,0.08669155,0.08669155,1.97E-11,1.97E-11,1.97E-11,2.571616483,-4.460491894,0.9,0.000254089,0.000269486
2,19.51801362,6.00336666,6.036243271,14.84604337,11.95586381,14.79913836,4.15E-05,-2.709930034,0.1,0.00066174,0.000229979,0.000188954,3.44E-05,0,0,0.1093168,0.08669155,0.08669155,0.08669155,1.97E-11,1.97E-11,1.97E-11,2.708647442,-4.459861861,0.9,0.000242243,0.000268883
3,27.84721365,6.079052166,6.133830943,14.74855914,11.96199516,14.69180246,4.47E-05,-3.037289069,0.1,0.000715658,0.000248886,0.000189248,3.45E-05,0,0,0.10009916,0.08669155,0.08669155,0.08669155,1.97E-11,1.97E-11,1.97E-11,2.449679661,-4.460353098,0.9,0.000217495,0.000237726
4,36.59506695,6.15682338,6.126050224,14.91591963,11.97234317,14.83712339,3.37E-05,-3.613136814,0.2,0.000573923,0.000204781,0.000184766,3.29E-05,0,0,0.11224737,0.08669155,0.08669155,0.08669155,1.97E-11,1.97E-11,1.97E-11,2.175983727,-4.46145681,0.9,0.000190073,0.000209228
5,41.85867133,6.232760306,6.193457983,15.28314023,11.96962743,15.25019098,3.31E-05,-3.983396519,0.6,0.00044227,0.000157481,0.000196884,3.57E-05,0,0,0.1101523,0.08669155,0.08669155,0.08669155,1.97E-11,1.97E-11,1.97E-11,1.78057487,-4.461784393,0.9,0.000178373,0.000198171
6,45.76221879,6.18266668,6.160949018,15.9997239,11.96356032,15.99345495,1.86E-05,-5.188588353,0.8,0.000279427,0.000102271,0.000217864,3.97E-05,0,0,9.18E-02,0.08669155,0.08669155,0.08669155,1.97E-11,1.97E-11,1.97E-11,1.410618365,-4.461592981,0.9,0.000142872,0.000158666
7,46.00119379,6.126236495,6.129260471,16.88430072,11.958293,16.91576067,1.42E-05,-5.6308764,0.8,0.000186003,8.51E-05,0.000215194,3.83E-05,0,0,9.68E-02,0.08669155,0.08669155,0.08669155,1.97E-11,1.97E-11,1.97E-11,1.153164494,-4.460722036,0.9,0.000119102,0.000144174
8,42.63665787,6.053274302,6.04803619,17.72385347,11.96227565,17.77043482,2.16E-05,-5.806872849,0.8,0.000183689,7.76E-05,0.000195398,3.62E-05,0,0,9.80E-02,0.08669155,0.08669155,0.08669155,1.97E-11,1.97E-11,1.97E-11,1.290482605,-4.460609709,0.9,0.000121466,0.000136976
9,33.57761937,6.030051117,6.010778378,18.1204228,11.96775502,18.16684325,2.93E-05,-5.840190355,0.8,0.000230202,9.55E-05,0.000205696,3.76E-05,0,0,0.10138511,0.08669155,0.08669155,0.08669155,1.97E-11,1.97E-11,1.97E-11,1.697406924,-4.459863973,0.9,0.000156749,0.000174385
10,22.60233618,5.986167317,5.98820489,17.76440092,11.96811023,17.85165639,4.33E-05,-5.751072446,0.6,0.000332026,0.000114182,0.000206742,3.64E-05,0,0,0.11702728,0.08669155,0.08669155,0.08669155,1.97E-11,1.97E-11,1.97E-11,2.301056278,-4.459488843,0.9,0.000196492,0.000203329
11,15.94646676,5.995985512,6.007824367,16.907437,11.96769904,17.01691572,3.74E-05,-5.069779044,0.2,0.000334936,0.000140136,0.000216618,3.57E-05,0,0,0.12217723,0.08669155,0.08669155,0.08669155,1.97E-11,1.97E-11,1.97E-11,2.400327253,-4.459930439,0.9,0.000208937,0.000239764
12,12.71908243,5.974539142,6.002096626,16.12466105,11.97713588,16.23170581,6.19E-05,-3.908861848,0.1,0.00038616,0.000147871,0.000209132,3.60E-05,0,0,0.11875797,0.08669155,0.08669155,0.08669155,1.97E-11,1.97E-11,1.97E-11,2.750610816,-4.460015939,0.9,0.000229238,0.000248561
