"Value","Description"
1,"Pelagic_fish_spawning_start_day"
180,"Pelagic_fish_spawning_duration_(days)"
120,"Pelagic_fish_recruitment_start_day"
180,"Pelagic_fish_recruitment_duration_(days)"
240,"Demersal_fish_spawning_start_day"
210,"Demersal_fish_spawning_duration_(days)"
2,"Demersal_fish_recruitment_start_day"
210,"Demersal_fish_recruitment_duration_(days)"
1,"Filt/dep_benthos_spawning_start_day"
210,"Filt/dep_benthos_spawning_duration_(days)"
120,"Filt/dep_benthos_recruitment_start_day"
210,"Filt/dep_benthos_recruitment_duration_(days)"
270,"Carn/scav_benthos_spawning_start_day"
180,"Carn/scav_benthos_spawning_duration_(days)"
30,"Carn/scav_benthos_recruitment_start_day"
180,"Carn/scav_benthos_recruitment_duration_(days)"
1,"Migratory_fish_switch_(0=off_1=on)"
9853179.305,"Migratory_fish_ocean_biomass_(Tonnes_wet_weight)"
0.184,"Migratory_fish_carbon_to_wet_weight_(g/g)"
962465.6,"Model_domain_sea_surface_area_(km2)"
0.004608226,"Propn_of_ocean_population_entering_model_domain_each_year"
349,"Imigration_start_day"
78,"Imigration_end_day_(must_be_later_than_start_day_even_if_migration_disabled)"
0.953019618,"Propn_of_peak_popn_in_model_domain_which_remains_and_does_not_emigrate"
149,"Emigration_start_day"
278,"Emigration_end_day_(must_be_later_than_start_day_even_if_migration_disabled)"
