Gear_name,Gear_code,Power_PF,Power_DF,Power_MF,Power_FDB,Power_CSB,Power_CZ,Power_BD,Power_SL,Power_CT,Power_KP
Bottom_longline,LLdem,0.51990784,2.091720104,0.128419922,6.28E-07,0.000750009,0.001864244,0,0,0,7.44E-07
Pots_traps_harvesting,PTH,0.001071931,0.003484077,0.001856849,0.067941029,0.078601061,7.60E-05,0,0,0,0.812950353
Drifting_deepwater_longline,LLdrift,0.005034244,1.343254282,0.004458597,0,0.00E+00,4.31E-05,0,0,0,0
Handline,HL,0.277855052,0.252870899,0.007191678,4.24E-07,0.000465541,0.002656923,0,0,0,2.18E-07
Jigging,JIG,0.003399655,0.009258011,0.001213009,1.59E-06,0.00097919,0.946042815,0,0,0,0
Pelagic_longline_regional,LLpelR,0.23085871,0.090151742,39.88570584,0,0,0.037736216,0,0,0,0
Pole_and_line,PoL,0.014660213,0.006624054,17.32117099,0,7.65E-06,0.001105261,0,0,0,0
Purse_seine,PS,0.549381266,0.001545705,0.000211075,4.67E-07,2.11E-05,0.000793415,0,0,0,0
Pelagic_longline_mainland,LLpelM,0.298226007,0,54.09577583,0,0,0,0,0,0,0
Pelagic_longline_foreign,LLpelF,0.173978193,0,47.40887313,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0
