Annual_measure,SD_of_measure,Use1_0,Name,Units,Description,Region,Time_period,Source,
899.6528461,100,1,Obs_TAPP,mMN/m2/y,Annual_total_primary_production,Azores,2010-2019,Copernicus remote sensing data from OCEANCOLOUR_GLO_BGC_L4_MY_009_104,
NA,NA,0,Obs_NP,mMN/m2/y,Annual_new_production_from_depth_integrated_nitrate_plus_summer_river_and_atmos_inputs,Azores,2010-2019,No data available,
NA,NA,0,Obs_KelpP,gC/m2/y,Annual_WITHIN_FOREST_NET_production_of_macrophytes,Azores,2010-2019,No data available,
63.73627,31.868135,1,Obs_OmnizooP,mMN/m2/y,Annual_ominiv_zooplankton_gross_production,Azores,2010-2019,No data available,
21.09444592,10.54722296,1,Obs_CarnzooP,mMN/m2/y,Annual_carnivorous_zooplankton_gross_production,Azores,2010-2019,No data available,
8.15739051,4.078695255,1,Obs_PFishP,mMN/m2/y,Annual_planktivorous_fish_gross_production,Azores,2010-2019,Guess,
1.55810242,0.77905121,1,Obs_DFishP,mMN/m2/y,Annual_demersal_fish_gross_production,Azores,2010-2019,Guess,
2.24489906,1.12244953,1,Obs_BensuspP,mMN/m2/y,Annual_susp/dep_benthos_gross_production,Azores,2010-2019,No data available,
11.3237201,5.66186005,0,Obs_BencarnP,mMN/m2/y,Annual_carn/scan_benthos_gross_production,Azores,2010-2019,No data available,
0.00006295,0.00006,1,Obs_birdP,mMN/m2/y,Annual_net_production_of_birds,Azores,2010-2019,Guess,
NA,NA,0,Obs_sealP,mMN/m2/y,Annual_net_production_of_pinnipeds,Azores,2010-2019,No data available,
0.006441044,0.003220522,1,Obs_cetaP,mMN/m2/y,Annual_net_production_of_cetaceans,Azores,2010-2019,Guess,
NA,NA,0,Obs_maxbenthslar,mMN/m3,Annual_monthly_max_conc_of_benthos_susp/dep_larvae,Azores,2010-2019,No data available,
NA,NA,0,Obs_maxbenthclar,mMN/m3,Annual_monthly_max_conc_of_benthos_carn/scav_larvae,Azores,2010-2019,No data available,
4.551060182,2.275530091,1,Obs_Conpfishfish,mMN/m2/y,Annual_consumption_of_planktivorous_fish_by_fish,Azores,1997,Morato et al. 2016,
1.367318597,0.683659299,1,Obs_Condfishfish,mMN/m2/y,Annual_consumption_of_demersal_fish_by_fish,Azores,1997,Morato et al. 2016,
5.564439407,2.782219703,1,Obs_Conzoofish,mMN/m2/y,Annual_consumption_of_omniv_zooplankton_by_fish_and_fish_larvae,Azores,1997,Morato et al. 2016,
49.19272743,24.59636372,1,Obs_Conzoocarnz,mMN/m2/y,Annual_consumption_of_omniv_zooplankton_by_carn_zooplankton,Azores,1997,Morato et al. 2016,
8.715285202,4.357642601,1,Obs_Conbenfish,mMN/m2/y,Annual_consumption_of_benthos_by_fish,Azores,1997,Morato et al. 2016,
0.015223956,0.007611978,1,Obs_Contotal_bird,mMN/m2/y,Annual_food_consumption_by_birds,Azores,1997,Morato et al. 2016 Calculated by multiplying B. Q/B,
0.62,0.31,1,Obs_Proppfishbird,dimensionless,Proportion_planktivorous_fish_in_diet_of_birds,Azores,1997,Morato et al. 2016 Planktivorous fish incorporates the small-size pelagic and mesopelagic guilds in the Ecopath model,
0.06,0.03,1,Obs_Propdfishbird,dimensionless,Proportion_demersal_fish_in_diet_of_birds,Azores,1997,Morato et al. 2016 Information only available for small-size demersal fish,
0,NA,0,Obs_Propmfishbird,dimensionless,Proportion_migratory_fish_in_diet_of_birds,Azores,1997,Morato et al. 2016 No mention of migratory fish in diet,
NA,NA,0,Obs_Propdiscbird,dimensionless,Proportion_discards_in_diet_of_birds,Azores,2010-2019,No data available,
NA,NA,0,Obs_Contotal_seal,mMN/m2/y,Annual_food_consumption_by_pinnipeds,Azores,2010-2019,No pinnipeds in the Azores,
NA,NA,0,Obs_Proppfishseal,dimensionless,Proportion_planktivorous_fish_in_diet_of_pinnipeds,Azores,2010-2019,No data available,
NA,NA,0,Obs_Propdfishseal,dimensionless,Proportion_demersal_fish_in_diet_of_pinnipeds,Azores,2010-2019,No data available,
NA,NA,0,Obs_Propmfishseal,dimensionless,Proportion_migratory_fish_in_diet_of_pinnipeds,Azores,2010-2019,No data available,
