"Month","SLight","SO_LogeSPM","SI_LogeSPM","SO_temp","D_temp","SI_temp","Rivervol_SI","log10Kvert","mixLscale","D_SO_upwelling","SO_D_downwelling","SO_OceanIN","D_OceanIN","SI_OceanIN","SI_OceanOUT","SO_SI_flow","habS1_pdist","habS2_pdist","habS3_pdist","habD1_pdist","habD2_pdist","habD3_pdist","Inshore_waveheight","DO_log10Kvert","DO_mixLscale","DO_D_upwelling","D_DO_downwelling"
1,13.8518455527052,6.00401663895866,6.02270656786441,14.4217112820066,11.2759214611954,14.5806582120921,4.26120623229591e-05,-3.05127730017323,0.1,0.000627068717288601,0.000214514557834575,0.000184806224671593,3.02426842095945e-05,0,0,0.173156607542417,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,2.57161648273468,-4.42123365300749,0.9,0.000292022889850678,0.00030564443718603
2,19.6860497083772,6.00336666011337,6.03624327143839,14.0034507696633,11.2595759527449,14.1087375066708,4.15432799445399e-05,-2.85763612676174,0.1,0.000671248477652052,0.000220701308337157,0.000174291850595242,2.93975427131753e-05,0,0,0.174392774059264,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,2.70864744186401,-4.4213147691857,0.9,0.000291138022587058,0.000290162420662648
3,27.5318966367242,6.07905216637147,6.13383094277443,13.817613209597,11.2206798811567,13.8650424920461,4.46867858974762e-05,-2.88099683077475,0.1,0.000767047773728767,0.000244706772277501,0.000167020141784142,2.86733518721101e-05,0,0,0.171946668431079,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,2.44967966079712,-4.41940175478992,0.9,0.000293876743133116,0.000289197079971503
4,36.5456982648528,6.15682338025934,6.12605022440406,13.8594158918058,11.1981117481783,13.8761780884834,3.37219551838501e-05,-3.17623295660064,0.2,0.000725648319489656,0.000238411367489257,0.000174516234746791,2.90521288078615e-05,0,0,0.15405702648317,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,2.1759837269783,-4.42132719068935,0.9,0.000256692528890043,0.000264943163633307
5,43.5724029363816,6.23276030570068,6.19345798327189,14.2782296803252,11.208268254546,14.3109610394673,3.31397217121426e-05,-3.88965263326815,0.6,0.000472976731737069,0.000167211751088986,0.000180762070286746,2.98462847438716e-05,0,0,0.14118378644625,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,1.78057487010956,-4.42367447404275,0.9,0.000192086746433568,0.000210633662341241
6,46.7947940822819,6.18266667960272,6.16094901829543,15.0345025945242,11.2196970302451,15.0701904257692,1.85605936779374e-05,-5.20670173386394,0.8,0.000335670983275528,0.000110978913024079,0.000172466428243815,2.95296613998486e-05,0,0,0.13544352016909,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,1.41061836481094,-4.42356444316746,0.9,0.000153768285993016,0.000163894118139514
7,46.6441720752748,6.12623649492561,6.12926047117853,15.906083966735,11.2333698133703,15.9603371192341,1.42297724830736e-05,-5.58349652050798,0.8,0.00024444644470449,9.42938681901596e-05,0.000176908539637372,2.91030951530562e-05,0,0,0.136177249432006,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,1.15316449403763,-4.42370741269008,0.9,0.000124311007414184,0.000146995333790591
8,42.3505723768922,6.05327430167121,6.04803619022054,16.720752572627,11.2475929957291,16.7900929400211,2.15629095003793e-05,-5.62662092843842,0.8,0.000228675704554843,8.67616845134816e-05,0.000176822354791805,2.95959542570467e-05,0,0,0.134309465839079,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,1.29048260450363,-4.42389779853738,0.9,0.000129214626313046,0.000148588888754492
9,34.1935046232139,6.03005111692718,6.01077837849231,17.0384546855845,11.2642725278682,17.1489319378618,2.93391591721048e-05,-5.50306756805775,0.8,0.000306242040869368,0.000102744063077368,0.000171993240889127,2.89669452845341e-05,0,0,0.132193720985469,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,1.6974069237709,-4.42358636717119,0.9,0.000169045956022888,0.000176942677148036
10,24.0834708868286,5.98616731652323,5.98820489019419,16.794970648099,11.2732328553088,16.937420941736,4.33349856525251e-05,-5.18259816809396,0.6,0.000348337317709623,0.000122562941496799,0.000176816182512048,2.92833869900933e-05,0,0,0.150327860607406,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,2.30105627775192,-4.42283167938435,0.9,0.000190123992964043,0.000204929968819083
11,16.0354922135209,5.99598551212744,6.00782436748489,16.1742304916529,11.2815480409422,16.4018365618204,3.74082255585484e-05,-4.34806360475115,0.2,0.000448086046717387,0.000159365970567949,0.000194762352520196,3.18999045898363e-05,0,0,0.166314182945036,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,2.40032725334167,-4.42338452698194,0.9,0.000243975312200595,0.000261211885073998
12,12.4913542830387,5.97453914213499,6.00209662571635,15.33564315991,11.2943235315454,15.5273690017013,6.19092197480122e-05,-3.44233391233312,0.1,0.000554799326899737,0.000184663174081426,0.000187927472835889,3.0829936580686e-05,0,0,0.174174332482631,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,2.75061081647873,-4.42172876601455,0.9,0.000284674059698615,0.000298503203887168
