"consumer","Cumax","Cddexud","Numax","Nhsat","BdeApar","ddmort","migration_coef","max_exploitable_f"
"kelp",0.021325426260672,1.39029651102597e-08,0.00487742204425638,3.63760556960053,NA,2.80792262753833e-08,NA,0.0447397135393116
"phyt_s",NA,NA,5.41932367797921,0.502472514546393,NA,0.0443877669444248,NA,NA
"phyt_d",NA,NA,NA,NA,NA,0.0804593165381527,NA,NA
"omnivzoo",NA,NA,1.04189937161421,2.11706303639344,NA,2.30642142335912e-05,NA,NA
"carnzoo",NA,NA,0.0702566789215123,0.233741928367895,NA,0.000156855995049706,NA,0.0037730275529965
"fishplar",NA,NA,0.401829483542639,1.11248419741885,NA,3.95734900430331e-06,NA,NA
"fishdlar",NA,NA,0.841743802684285,2.60698468103437,NA,4.94761426245633e-07,NA,NA
"fishp",NA,NA,0.134145486761881,3.0401171619895,NA,6.34802947149947e-05,0.00145083165737215,0.752577622151259
"fishm",NA,NA,0.00310187193984937,2.84425724812195,NA,1.26740746312177e-05,2.66769660744346e-05,0.601863803248992
"fishd",NA,NA,0.0162723934340845,0.422561253199758,NA,3.04229329072092e-05,0.00275089927213399,0.63800883069434
"benthslar",NA,NA,0.501610800891908,0.310273978015442,NA,1.10227601343817e-05,NA,NA
"benthclar",NA,NA,0.411786951558164,1.21694101893318,NA,1.94462338755063e-07,NA,NA
"benths",NA,NA,0.369979225115685,2.19685887377226,NA,9.22787770908682e-05,NA,0.0341686363598158
"benthc",NA,NA,0.017315831342273,5.37871433412978,NA,0.0002152867059405,NA,0.160508286121137
"bird",NA,NA,0.343389982801247,0.681627864401476,2616.01427172276,0.00746827869279927,8.73284991831136e-09,0.0923783987944038
"seal",NA,NA,0.44821091724241,1.74920139134217,2894.33906443983,0.00548549763002895,0.00960442829137377,0.127963081639798
"ceta",NA,NA,0.0844801631417546,0.34969622975962,1245.08933311143,0.00909155790043398,1.07336286319381e-08,0.422123051536705
