"Month","SO_nitrate","SO_ammonia","SO_phyt","SO_detritus","D_nitrate","D_ammonia","D_phyt","D_detritus","SI_nitrate","SI_ammonia","SI_phyt","SI_detritus","RIV_nitrate","RIV_ammonia","RIV_detritus","SO_ATM_nitrate_flux","SO_ATM_ammonia_flux","SI_ATM_nitrate_flux","SI_ATM_ammonia_flux","SI_other_nitrate_flux","SI_other_ammonia_flux","SO_other_nitrate_flux","SO_other_ammonia_flux","DO_nitrate","DO_ammonia","DO_detritus"
1,2.78159533268638,0.274294726057007,0.144044264089435,0.164554531727451,13.6106963664973,0.136011141699335,0.00119401010821979,0.0623757525172961,0.053735967,0.023119779,0.184289122,0.035783731,10,1,0,0.0152379773291094,0.00580183755014143,0.0152039537978818,0.00551393950864467,0,0,0,0,17.0776047257059,0.110996458822399,0.0829802310370108
2,3.72599624922759,0.264408669237779,0.131554989828064,0.113787484606457,13.5389057049081,0.135644987399155,0.00292403783885027,0.0449299436015464,0.051336435,0.022087385,0.174679211,0.029047065,10,1,0,0.0171458200716402,0.00716167534711357,0.0174852004694182,0.00668448179397099,0,0,0,0,17.0743506217378,0.110871855614649,0.0422808550848706
3,4.06262553113959,0.269334063066573,0.289444995768397,0.0984909763856558,13.5348023568924,0.134138766955916,0.00441205119671762,0.0329339928730238,0.040407985,0.017385445,0.153083997,0.021262489,10,1,0,0.0182396196867532,0.00703817457153809,0.0183081537622461,0.00698247075205334,0,0,0,0,17.067018057597,0.109655263551354,0.019881631560926
4,3.24349924574301,0.330942929905231,0.749740005503598,0.312785009488173,13.5104983446826,0.133315658635155,0.00584389745886229,0.0279159288017342,0.044963007,0.019345232,0.158259256,0.022001803,10,1,0,0.0211848678909952,0.00816083041995409,0.0215415887179829,0.0073282265969153,0,0,0,0,17.0323892625523,0.107967121402237,0.00911328777875446
5,2.38251300838693,0.372212072717689,0.641442124359141,0.867820510315401,13.6260921369215,0.129896774169009,0.00330930106161965,0.049094262525341,0.064500417,0.027751159,0.167445626,0.024814096,10,1,0,0.0183989679063177,0.00672415086639024,0.0183472888381113,0.00623191249758554,0,0,0,0,17.0375823097902,0.105293451100422,0.00473473866423878
6,2.28955686822907,0.31366216413976,0.293830198040946,0.965175774542488,13.6617227552959,0.1264624930202,0.000356994879575093,0.107572137376251,0.083767099,0.036040605,0.173742496,0.030669211,10,1,0,0.0153883411327288,0.00490565717752491,0.015535477571012,0.00455609209547263,0,0,0,0,17.0242659592728,0.102819343721239,0.00311927513687577
7,2.16085122157462,0.272518958858364,0.237593654350161,0.777554582598014,13.5913103830978,0.126540957064694,2.50263966276288e-05,0.151518838685636,0.038756853,0.016675049,0.165128371,0.03202102,10,1,0,0.0141752951387917,0.00518214929642903,0.0139872287078181,0.0046691501862906,0,0,0,0,17.0050184350397,0.100101121365967,0.00229385237115275
8,2.04521461322707,0.258066187474066,0.212244052294915,0.634526540184535,13.5798205694605,0.129667953088031,1.23764997904633e-05,0.177201661481137,0.040334021,0.017353622,0.168140681,0.034361279,10,1,0,0.0139718273362737,0.00468801850804947,0.0141997982571889,0.00422136562507308,0,0,0,0,16.9624280376107,0.0974591898641021,0.0050831700338463
9,2.04409552144647,0.241067282703645,0.162239646426733,0.465628076724773,13.6344857444267,0.133776031568242,1.6378098398276e-05,0.183239822136789,0.061756357,0.026570533,0.212286047,0.058975787,10,1,0,0.0164436966934729,0.00485658798078519,0.0161157827824354,0.00420788851832705,0,0,0,0,16.9653130153199,0.0958546153780634,0.020677438354301
10,2.17331983679557,0.221986528657833,0.11727639891982,0.334338523533798,13.7553783809459,0.137904059960529,1.21352764231062e-05,0.172402816568422,0.084646698,0.036419051,0.230549811,0.068589436,10,1,0,0.0184549450067468,0.00625011363079608,0.0194429326587902,0.00609293355271735,0,0,0,0,16.9683744555766,0.0954215632599701,0.0610977222206564
11,2.1880344154676,0.215464657709954,0.145420427226479,0.264094156470194,13.694228710678,0.139080431134459,6.28116036549653e-06,0.134832009120039,0.089083108,0.038327806,0.215059782,0.051712557,10,1,0,0.0162623966822312,0.00570037604553536,0.0165329568664588,0.00555649078229354,0,0,0,0,16.9941803799919,0.0990673823048367,0.123383587226813
12,2.28752374051307,0.258037836153977,0.180629485393554,0.23386380690811,13.6579814145886,0.138175652709524,0.000118245348525152,0.0943558936859579,0.097573262,0.041980676,0.213935347,0.048836306,10,1,0,0.0166472481040087,0.0070210871359651,0.0167238395146099,0.0067901029090573,0,0,0,0,17.0013986560687,0.106834475259293,0.133053493013208
