"Month","SLight","SO_LogeSPM","SI_LogeSPM","SO_temp","D_temp","SI_temp","Rivervol_SI","log10Kvert","mixLscale","D_SO_upwelling","SO_D_downwelling","SO_OceanIN","D_OceanIN","SI_OceanIN","SI_OceanOUT","SO_SI_flow","habS1_pdist","habS2_pdist","habS3_pdist","habD1_pdist","habD2_pdist","habD3_pdist","Inshore_waveheight","DO_log10Kvert","DO_mixLscale","DO_D_upwelling","D_DO_downwelling"
1,13.8315335989266,6.00401663895866,6.02270656786441,15.2392451132969,11.9472231949327,15.2093013778311,4.26120623229591e-05,-3.03628699769428,0.1,0.000553053190083563,0.000193167269538828,0.000192945976496724,3.38044150514238e-05,0,0,0.105730637925658,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,2.57161648273468,-4.45880368867278,0.9,0.000259233433512176,0.000280741580186022
2,19.4209118069188,6.00336666011337,6.03624327143839,14.8040689178711,11.9276521756375,14.7459712509621,4.15432799445399e-05,-2.74625712414184,0.1,0.000680846531296439,0.000233467153688052,0.000191372441573566,3.49539386538884e-05,0,0,0.0970598095747385,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,2.70864744186401,-4.45842101589481,0.9,0.000247859600265246,0.000270088257816209
3,27.4414129376951,6.07905216637147,6.13383094277443,14.7067730037961,11.9234386395049,14.6342081348464,4.46867858974762e-05,-3.04569439368298,0.1,0.000749448833098979,0.000258056944586946,0.00019102207156491,3.5135272692331e-05,0,0,0.0932319059610926,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,2.44967966079712,-4.45931957482132,0.9,0.000216122900829149,0.000236772891244624
4,36.6472995063459,6.15682338025934,6.12605022440406,14.8946150209285,11.9281807341222,14.8216678037694,3.37219551838501e-05,-3.70923385011552,0.2,0.000556593065254879,0.000207574732913879,0.000191069518195445,3.36588325427824e-05,0,0,0.102823925864484,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,2.1759837269783,-4.46033813318342,0.9,0.000182369672182845,0.000210519312374194
5,42.1302103237911,6.23276030570068,6.19345798327189,15.3121717430713,11.9305393896199,15.2712763973748,3.31397217121426e-05,-4.16285919376647,0.6,0.000403294716091618,0.000146779551950375,0.000201481438849505,3.65825197435389e-05,0,0,0.101861260930967,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,1.78057487010956,-4.46050929957671,0.9,0.000172992973970717,0.000192453014533765
6,45.1350459049107,6.18266667960272,6.16094901829543,15.9987636921043,11.9271426619956,15.9631072052828,1.85605936779374e-05,-5.27378401488981,0.8,0.000276889810471352,0.000101144498179549,0.00020477560471828,3.74968044647815e-05,0,0,0.0918827301153795,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,1.41061836481094,-4.45998202380527,0.9,0.00014501461056025,0.000159525678408134
7,45.7669521935031,6.12623649492561,6.12926047117853,16.8645838174256,11.9251393200644,16.854197885884,1.42297724830736e-05,-5.68310471193265,0.8,0.00017142220736135,8.09925949430883e-05,0.000202496503766485,3.57879720565589e-05,0,0,0.0862378422302803,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,1.15316449403763,-4.4595684356721,0.9,0.000115074500884598,0.00014087221559854
8,42.7228314975541,6.05327430167121,6.04803619022054,17.69937190851,11.9319032805888,17.7122187788541,2.15629095003793e-05,-5.8208885272258,0.8,0.000168195063023714,7.20792877541573e-05,0.000191759686991889,3.5437945099444e-05,0,0,0.0821544696542251,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,1.29048260450363,-4.4594765856374,0.9,0.000117097185486548,0.000131904000850276
9,33.2614742285619,6.03005111692718,6.01077837849231,18.0977618574027,11.9408535595102,18.0979662117592,2.93391591721048e-05,-5.82259076280967,0.8,0.000210435221060442,8.90211613101935e-05,0.000206541271532178,3.78096437014554e-05,0,0,0.0828134084963654,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,1.6974069237709,-4.45872495811457,0.9,0.00014524209903021,0.000165044972016606
10,22.8216177854154,5.98616731652323,5.98820489019419,17.827475430067,11.9481065313507,17.8693544169443,4.33349856525251e-05,-5.7905121753902,0.6,0.000308432570160378,0.000104658714037613,0.000212053456358993,3.7611041400219e-05,0,0,0.0993389396714845,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,2.30105627775192,-4.45856078867388,0.9,0.000181067104235967,0.000187543637493302
11,15.787815404727,5.99598551212744,6.00782436748489,17.0199113889822,11.95115117039,17.0822875461959,3.74082255585484e-05,-5.10338194839674,0.2,0.000339526472660118,0.000134090989422746,0.000211734183686321,3.56513690257722e-05,0,0,0.111249449868532,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,2.40032725334167,-4.45882401424196,0.9,0.000205768346347989,0.000227884772204686
12,12.2240765131843,5.97453914213499,6.00209662571635,16.1224199567719,11.9533021646859,16.1778060041491,6.19092197480122e-05,-3.82967920963742,0.1,0.000431640000776939,0.000156506825427808,0.000203005914046084,3.50425969625285e-05,0,0,0.112513725483788,0.08669155,0.08669155,0.08669155,1.971939e-11,1.971939e-11,1.971939e-11,2.75061081647873,-4.45898990131003,0.9,0.000240098505502146,0.0002524532393004
