"consumer","Cumax","Cddexud","Numax","Nhsat","BdeApar","ddmort","migration_coef","max_exploitable_f"
"kelp",0.0207321319351016,1.50203297898303e-08,0.00445562968227646,3.45925065680574,NA,2.80733422327373e-08,NA,0.0476760625738077
"phyt_s",NA,NA,5.06607339794212,0.46612561587928,NA,0.0443838467065663,NA,NA
"phyt_d",NA,NA,NA,NA,NA,0.0804797448124048,NA,NA
"omnivzoo",NA,NA,1.03821699338469,2.54560921367091,NA,2.30609658399372e-05,NA,NA
"carnzoo",NA,NA,0.0761407068314841,0.251213041541997,NA,0.000156871159094557,NA,0.00349004288127947
"fishplar",NA,NA,0.437886860333304,1.14476012659467,NA,3.95927081207235e-06,NA,NA
"fishdlar",NA,NA,0.846383702763073,2.65045373983257,NA,4.94711530976509e-07,NA,NA
"fishp",NA,NA,0.166585912766967,3.56855615873799,NA,6.34716387672867e-05,0.00155856903691211,0.709363642940671
"fishm",NA,NA,0.00353332505753118,2.57964626144127,NA,1.26747823325251e-05,3.07164705307291e-05,0.766877141703156
"fishd",NA,NA,0.0159798711024675,0.338924972781047,NA,3.04268844961303e-05,0.00294120925087336,0.539847172893473
"benthslar",NA,NA,0.487097041873236,0.333425106531811,NA,1.10239485702163e-05,NA,NA
"benthclar",NA,NA,0.397887209007577,1.28690594757024,NA,1.94457051437608e-07,NA,NA
"benths",NA,NA,0.346093310687218,2.17168061246719,NA,9.22860598465752e-05,NA,0.0388139345321639
"benthc",NA,NA,0.0183985676035311,5.14554675733867,NA,0.000215233314617426,NA,0.167711674324304
"bird",NA,NA,0.343389982801247,0.681627864401476,2616.01427172276,0.00746827869279927,8.53404868139553e-09,0.0966814365627853
"seal",NA,NA,0.44821091724241,1.74920139134217,2894.33906443983,0.00548549763002895,0.00922503140361163,0.12995970323145
"ceta",NA,NA,0.0844801631417546,0.34969622975962,1245.08933311143,0.00909155790043398,1.04149007354617e-08,0.425072111336104
