"Value","Description"
1.19717977109277e-05,"water_column_detritus_mineralisation_rate"
1.47155920421522e-07,"upper_layer_water_column_nitrification_rate"
1.42867178371213e-09,"upper_layer_water_column_denitrification_rate"
0.0150337638569594,"lower_layer_water_column_nitrification_rate"
6.40160123712127e-07,"lower_layer_water_column_denitrification_rate"
0.318904506908556,"proportion_of_detritus_or_corpses_converted_to_refractory_material_max_0.5"
0.000227056047365441,"mineralisation_rate_scaling_parameter_for_refractory_detritus"
0.0322427532761409,"proportion_of_refractory_detritus_digestible_by_benthos"
0.00804170495180249,"sediment_detritus_mineralisation_rate"
-1.49482261573417e-08,"grain_size_sensitivity_for_sediment_detritus_mineralisation_rate"
3.29850539180254e-05,"sediment_nitrification_rate"
-3.66931349997396e-06,"grain_size_sensitivity_for_sediment_nitrification_rate"
0.343827977249249,"sediment_denitrification_rate"
2.26994309373061e-07,"grain_size_sensitivity_for_sediment_denitrification_rate"
0.022595758230143,"conversion_rate_of_discards_to_corpses"
0.140277102040742,"conversion_rate_of_corpses_to_sediment_detritus"
0.019492484049354,"conversion_rate_of_kelp_debris_to_detritus"
0.0377471514903395,"detritus_sinking_rate_in_the_upper_layers"
0.0139263489078803,"detritus_sinking_rate_in_the_lower_layer"
2.64662512357312e-05,"density_dependent_self_shading_parameter_for_kelp"
0.00317324483272586,"Wave_dependent_beach_cast_rate_for_kelp_debris"
0.638326723721878,"fitting_parameter_for_undersize_demersal_fish_function"
