Gear_name,Gear_code,Discardrate_PF,Discardrate_DF,Discardrate_MF,Discardrate_FDB,Discardrate_CSB,Discardrate_CZ,Discardrate_BD,Discardrate_SL,Discardrate_CT,Discardrate_KP
Bottom_longline,LLdem,0.555777161,0.118375711,0.71914814,0,0,0,1,1,1,0
Pots_traps_harvesting,PTH,0,0,0,0,0,0,1,1,1,0
Drifting_deepwater_longline,LLdrift,0.08,0.03,0.03,0,0,0,1,1,1,1
Handline,HL,0.555626816,0.059545638,1,0,0,0,1,1,1,0
Jigging,JIG,0,0,0,0,0,0,1,1,1,1
Pelagic_longline_regional,LLpelR,0.27,0,0.41,1,0,0,1,1,1,1
Pole_and_line,PoL,0.12,0.21,0,1,0,0,1,1,1,1
Purse_seine,PS,0.11,0,0,0,0,0,1,1,1,1
Pelagic_longline_mainland,LLpelM,0.272325947,1,0.019161605,1,1,1,1,1,1,1
Pelagic_longline_foreign,LLpelF,0.272325947,1,0.016251787,1,1,1,1,1,1,1
NA,NA,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0
