"Value","Description"
1.23099714544699e-05,"water_column_detritus_mineralisation_rate"
1.22230062461032e-07,"upper_layer_water_column_nitrification_rate"
1.60710676802817e-09,"upper_layer_water_column_denitrification_rate"
0.0159267210937152,"lower_layer_water_column_nitrification_rate"
5.26503668205913e-07,"lower_layer_water_column_denitrification_rate"
0.311162826134868,"proportion_of_detritus_or_corpses_converted_to_refractory_material_max_0.5"
0.000290835138999542,"mineralisation_rate_scaling_parameter_for_refractory_detritus"
0.0329496488661385,"proportion_of_refractory_detritus_digestible_by_benthos"
0.00797133387246374,"sediment_detritus_mineralisation_rate"
-1.63458112715594e-08,"grain_size_sensitivity_for_sediment_detritus_mineralisation_rate"
3.35660016082871e-05,"sediment_nitrification_rate"
-4.23912300177541e-06,"grain_size_sensitivity_for_sediment_nitrification_rate"
0.420432091835778,"sediment_denitrification_rate"
2.12626907060323e-07,"grain_size_sensitivity_for_sediment_denitrification_rate"
0.0225855969950138,"conversion_rate_of_discards_to_corpses"
0.151442349158167,"conversion_rate_of_corpses_to_sediment_detritus"
0.0166859774640755,"conversion_rate_of_kelp_debris_to_detritus"
0.0339219603811788,"detritus_sinking_rate_in_the_upper_layers"
0.0152190961615648,"detritus_sinking_rate_in_the_lower_layer"
2.47852165881387e-05,"density_dependent_self_shading_parameter_for_kelp"
0.00342876542975639,"Wave_dependent_beach_cast_rate_for_kelp_debris"
0.505762057079286,"fitting_parameter_for_undersize_demersal_fish_function"
