"","kelp","phyt","omnivzoo","carnzoo","fishplar","fishdlar","fishp","fishm","fishd","benthslar","benthclar","benths","benthc","bird","seal","ceta"
"ammonia",0.0748845316669408,0.324587299611744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nitrate",0.925115468333059,0.675412700388256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suspdet",NA,NA,0.00132356815595679,NA,NA,NA,NA,NA,NA,0.985712653276378,0.523941794316025,0.0784327575190873,NA,NA,NA,NA
"seddet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76034716496736,NA,NA,NA,NA
"kelpdebris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00285806909142356,NA,NA,NA
"corpses",NA,NA,NA,NA,NA,NA,NA,NA,0.00421045727318438,NA,NA,NA,0.61217967474073,0.106727423139699,0.0531800844793642,NA
"discards",NA,NA,NA,NA,NA,NA,NA,NA,0.0136580839575587,NA,NA,NA,NA,0.0185445337973797,0.0796904872878621,0.0706730555893735
"kelp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0135190964011088,NA,NA,NA
"phyt",NA,NA,0.806419394897244,NA,NA,NA,NA,NA,NA,0.0142873467236215,0.476058205683975,0.161220077513553,NA,NA,NA,NA
"omnivzoo",NA,NA,NA,0.565741670887394,0.0991888182603511,0.974841363939678,0.444622970100323,0.347168921926963,NA,NA,NA,NA,NA,NA,NA,0.00635093074003906
"carnzoo",NA,NA,NA,NA,NA,NA,0.249141318862963,0.0162782099601426,0.391424528591055,NA,NA,NA,NA,0.507869266969575,0,0.698938680504829
"fishplar",NA,NA,NA,0.0342045617318802,NA,NA,0.0978096494627459,0.0296708679185888,0.19296989070084,NA,NA,NA,NA,NA,NA,NA
"fishdlar",NA,NA,NA,0.0732454521222394,NA,NA,0.0859150177343665,0.0669284922986679,0.0178369460510816,NA,NA,NA,NA,NA,NA,NA
"fishp",NA,NA,NA,NA,NA,NA,NA,NA,0.112449882129572,NA,NA,NA,NA,0.357226492880588,0.182514856662357,0.116354560117515
"fishm",NA,NA,NA,NA,NA,NA,NA,NA,0.0317435966380443,NA,NA,NA,NA,0,0.0662541998584547,0.0916379174428637
"fishd",NA,NA,NA,NA,NA,NA,NA,NA,0.00394598607760904,NA,NA,NA,NA,0.00963228321275808,0.618360371711962,0.01604485560538
"benthslar",NA,NA,0.00281764533430975,0.158213022818351,0.585412487560524,0.0205014334325279,0.0632363119086952,0.349467118699236,NA,NA,NA,NA,NA,NA,NA,NA
"benthclar",NA,NA,0.189439391612489,0.168595292440136,0.315398694179125,0.00465720262779443,0.0592747319309056,0.190486389196401,NA,NA,NA,NA,NA,NA,NA,NA
"benths",NA,NA,NA,NA,NA,NA,NA,NA,0.198676038274329,NA,NA,NA,0.371443159766737,0,0,0
"benthc",NA,NA,NA,NA,NA,NA,NA,NA,0.0330845903067254,NA,NA,NA,NA,0,0,0
"bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"seal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ceta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
