"Value","Description"
1.5639667859552e-05,"water_column_detritus_mineralisation_rate"
1.42185079005564e-07,"upper_layer_water_column_nitrification_rate"
1.81757081672357e-09,"upper_layer_water_column_denitrification_rate"
0.020038215482119,"lower_layer_water_column_nitrification_rate"
4.88205782165048e-07,"lower_layer_water_column_denitrification_rate"
0.499594310022479,"proportion_of_detritus_or_corpses_converted_to_refractory_material_max_0.5"
0.000136678518271621,"mineralisation_rate_scaling_parameter_for_refractory_detritus"
0.0251222334314392,"proportion_of_refractory_detritus_digestible_by_benthos"
0.0107353159031507,"sediment_detritus_mineralisation_rate"
-2.19140168460786e-08,"grain_size_sensitivity_for_sediment_detritus_mineralisation_rate"
0.000100448146678352,"sediment_nitrification_rate"
-2.6060639145468e-06,"grain_size_sensitivity_for_sediment_nitrification_rate"
0.700340265512762,"sediment_denitrification_rate"
1.03610943919975e-07,"grain_size_sensitivity_for_sediment_denitrification_rate"
0.0163311310175652,"conversion_rate_of_discards_to_corpses"
0.176064131524775,"conversion_rate_of_corpses_to_sediment_detritus"
0.0197986540715181,"conversion_rate_of_kelp_debris_to_detritus"
0.0757983908050204,"detritus_sinking_rate_in_the_upper_layers"
3.55875950332009e-06,"detritus_sinking_rate_in_the_lower_layer"
4.33712876463922e-05,"density_dependent_self_shading_parameter_for_kelp"
0.00163694259473456,"Wave_dependent_beach_cast_rate_for_kelp_debris"
1.23173213801343,"fitting_parameter_for_undersize_demersal_fish_function"
