"Month","SLight","SO_LogeSPM","SI_LogeSPM","SO_temp","D_temp","SI_temp","Rivervol_SI","log10Kvert","mixLscale","D_SO_upwelling","SO_D_downwelling","SO_OceanIN","D_OceanIN","SI_OceanIN","SI_OceanOUT","SO_SI_flow","habS1_pdist","habS2_pdist","habS3_pdist","habD1_pdist","habD2_pdist","habD3_pdist","Inshore_waveheight","DO_log10Kvert","DO_mixLscale","DO_D_upwelling","D_DO_downwelling"
1,43.8485244820545,6.17213689053021,7.75241487649812,22.2051083090787,17.425942948028,22.7112727547609,0.000204866185075467,-3.74217928278219,0.476443,0.00113738170897928,0.000836704186436639,0.00778747534953658,0.0057408524705739,0.00355396415535771,0.000224638627985353,0.0537109907695233,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.24286788702011,-5.06887046662231,0.9,0.00321355118273668,0.00452693148965099
2,41.0281088896364,6.15302626862834,7.78845874951492,22.6324683249066,17.4906746731644,23.2340685812763,0.000243457853192453,-3.89859596162276,0.639261,0.00102105451595817,0.000771861422104561,0.00834308415459684,0.00533843595819633,0.00359825746545135,0.000252564250530089,0.0505167240918663,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.2254069685936,-5.29223978854545,0.9,0.00316334689016731,0.00396127423214418
3,37.6796549491366,6.19449659102747,8.06537312262229,22.84477638974,17.5780311272742,23.2202912674526,0.000223988246145275,-3.66608215793253,0.922988,0.0010381620936667,0.000802533380756779,0.00934538491588027,0.00565506383455005,0.00371712904597722,0.000371673660698214,0.0489171870680109,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.40020959377289,-5.41088104921051,0.9,0.00316180430174527,0.00388036632936664
4,30.0839276093021,6.20704337793646,7.98898815000862,22.5889211198802,17.7372031037904,22.3259798790044,0.000157733882235397,-3.35870390205574,1,0.00102772793510603,0.000852966653014655,0.00986816741787103,0.00617814324283858,0.00361020185850478,0.00016673715231449,0.0411701820725603,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.35394558906555,-5.36750782659971,0.9,0.00346652876621521,0.0038529206434203
5,23.7471722418673,6.34512177231028,8.21398261338279,22.0178131131197,17.8865804344329,21.1166922908557,0.000125912781805115,-3.20329634331087,1,0.00107115469737721,0.000898620083322171,0.00913116378578692,0.00592967012706487,0.00332869454447384,0.000231024021033756,0.032827799543698,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.51934689283371,-5.69635531656828,0.9,0.0036020268471204,0.00388245739593141
6,20.7467117031677,6.47448581244544,8.35429395431658,20.8223158928883,18.0103391381268,19.0416642392873,0.000101361585353062,-3.02523050993247,1,0.00129349562774435,0.00108091023270345,0.00804123144830352,0.0048579014292932,0.00221756792642555,0.00071050818689862,0.0264867149457812,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.39439907073975,-5.76815666801796,0.9,0.00390969576496254,0.00385331434734425
7,22.0544261312845,6.50453544835093,8.28931321593339,19.7528582197858,17.9220381493544,17.6581583399734,0.000111835604425704,-3.07126105224639,1,0.00133587009616324,0.00103110462951201,0.00696935822466985,0.00550274180099349,0.00234120420410883,0.000229940118207307,0.0277263641006184,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.44463362693787,-4.97987111698874,0.9,0.00375888649441652,0.00360716612824458
8,27.6709245092279,6.43241291200319,8.45816288550252,19.6242223371865,17.7898866014994,17.7984533029491,0.000110263042919021,-3.12358063458194,1,0.00147662391124383,0.00103558833975852,0.00718118646928009,0.0060767470146358,0.00281373134679995,0.000341689685692415,0.0414961591861763,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.57865142822266,-5.30933386469561,0.9,0.00368771603031552,0.00412268531305526
9,30.8298750186769,6.28374932956997,8.35107586603887,19.9461925443252,17.6349695224141,18.7579170324104,0.000130601903458485,-3.12597960673174,0.884164,0.00169048530790857,0.00119244160810674,0.0074345781967674,0.0060432960984008,0.0030018833182745,0.000461530923181813,0.0546961970075368,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.57202643156052,-5.05709542611068,0.9,0.00394323766922926,0.00506393219476891
10,35.8924261812698,6.21374700779004,8.17133007418038,20.2862457895508,17.3843348809573,19.8097409318249,0.000179603079201079,-3.29327373585943,0.607671,0.00150276648464312,0.00105529377849166,0.00742667499720736,0.00582197798844897,0.0034098460285558,0.000360982292013362,0.0590929797360709,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.54338592290878,-5.75930650694592,0.9,0.00356694229869283,0.00537761810493962
11,43.0614402144666,6.23278564127776,8.03705738054348,20.8818096647257,17.2698327219467,20.8474317572749,0.000179299544070105,-3.42036286472718,0.446022,0.00130002624648287,0.000969287602713818,0.00746871915298688,0.00590766131495024,0.00368635209893658,0.000284009410028941,0.0588056360893433,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.45441211462021,-5.76161242702552,0.9,0.00340029461054982,0.00518894387711225
12,46.4553998704287,6.20767975276861,7.86679909322562,21.6506941575546,17.3331770009785,21.9962801309066,0.000171067309823397,-3.60403971888066,0.411451,0.00120214744348951,0.000918640395059526,0.0073843289614233,0.00525724032503101,0.00372220528665443,0.000243939435973385,0.0505327159702375,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.28815908432007,-5.76334137629503,0.9,0.00321864203805839,0.00486027840147231
