"Month","SLight","SO_LogeSPM","SI_LogeSPM","SO_temp","D_temp","SI_temp","Rivervol_SI","log10Kvert","mixLscale","D_SO_upwelling","SO_D_downwelling","SO_OceanIN","D_OceanIN","SI_OceanIN","SI_OceanOUT","SO_SI_flow","habS1_pdist","habS2_pdist","habS3_pdist","habD1_pdist","habD2_pdist","habD3_pdist","Inshore_waveheight","DO_log10Kvert","DO_mixLscale","DO_D_upwelling","D_DO_downwelling"
1,52.9033143981212,6.17213689053021,7.75241487649812,21.8960470814244,16.7914692275351,22.6667077836601,0.000206075484360963,-3.61457279817575,0.476443,0.00121741142936712,0.000990968136950733,0.00908094771415371,0.00497246605332995,0.00294300080127608,0.000448497222954435,0.0339179617642667,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.24286788702011,-4.72874989164594,0.9,0.00329248403197038,0.00522960055170199
2,47.9640628561635,6.15302626862834,7.78845874951492,22.6803105466433,16.9554920740948,23.3868212158552,0.00021492887965405,-3.7143377032476,0.639261,0.00122353861859541,0.00097299421576745,0.00981724067509464,0.00533282430865053,0.00309497851848272,0.000248717776457445,0.042904439106954,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.2254069685936,-4.70352193495494,0.9,0.00330817358745164,0.00495806626176449
3,41.5200113644779,6.19449659102747,8.06537312262229,22.8033553470014,17.1888468500356,23.3865749199309,0.000189390085649093,-3.57909712847607,0.922988,0.0011995923431986,0.000981958632692148,0.00941908659055908,0.00510813019678222,0.00271483846427766,0.000263177905573403,0.0348222655768159,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.40020959377289,-5.05653829284899,0.9,0.00343816766994011,0.00521850653077003
4,33.0884525188756,6.20704337793646,7.98898815000862,22.2564251753538,17.5884819639343,22.3326996271757,0.000155527027727732,-3.21373575751708,1,0.00120372705810298,0.00110960528982271,0.0104023511609032,0.00538305626211722,0.00249425115794738,0.00110800734160186,0.0298880614483451,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.35394558906555,-5.21502650087498,0.9,0.00369272697518884,0.00522272853744651
5,25.753474954114,6.34512177231028,8.21398261338279,21.2014750567115,17.8597327131386,20.625665206678,0.000139780444845004,-3.10653345297037,1,0.00127127078076149,0.00104737180896694,0.00953585405522094,0.00507616216048944,0.00168725700666618,0.000973024958215518,0.0244202717552001,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.51934689283371,-5.01771947240756,0.9,0.00404229574194048,0.00450797844251331
6,22.3672961377509,6.47448581244544,8.35429395431658,19.8815735901539,17.5492720659355,18.7429896562824,0.000136493496968234,-3.02346960367648,1,0.00146885793888412,0.00126523000366848,0.00983018691464059,0.0042996468801166,0.00192378953545079,0.00148962505931445,0.0262269920448542,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.39439907073975,-5.14465699943478,0.9,0.00429017535520278,0.0048871170868966
7,23.5641370708038,6.50453544835093,8.28931321593339,18.5323853907879,16.9133843690839,17.0263295327512,0.00014880879200836,-2.99928085987223,1,0.00175714839898503,0.0014094606854326,0.00977848579215289,0.00487669579695392,0.00206125458541198,0.000905660357281347,0.0200797859063671,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.44463362693787,-4.60993525185462,0.9,0.0041732527124408,0.00566111499972668
8,28.2867772941265,6.43241291200319,8.45816288550252,17.8549124760543,16.4343096749444,16.4052972728398,0.000164336558339928,-3.04705897141772,1,0.00177681455114565,0.00140753976467778,0.00856104983075688,0.00479120952083085,0.00194249238060955,0.000772510277390692,0.0202612271493477,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.57865142822266,-4.85153476018937,0.9,0.00389373728987029,0.00559081262846847
9,33.8470267644083,6.28374932956997,8.35107586603887,18.1999551933451,16.4223922291557,17.1271537740092,0.000168435869518579,-3.17712865322541,0.884164,0.00182200186461591,0.00136829026270981,0.00757792834722544,0.0054982055529505,0.00237430132729732,0.000296192085610628,0.0298461157055295,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.57202643156052,-4.80767365392483,0.9,0.00424919137658102,0.006293189835289
10,41.1176030354319,6.21374700779004,8.17133007418038,19.0753835654781,16.5273997420392,18.4709987473891,0.000188287188508446,-3.20841569417494,0.607671,0.00162350310307195,0.00126586722688428,0.00719591081782717,0.00546869019669294,0.00273787536192681,0.000106856786528793,0.0371427251831746,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.54338592290878,-5.17401925512663,0.9,0.00405456174800287,0.00613307621128096
11,48.4351243406895,6.23278564127776,8.03705738054348,20.0172560299893,16.5424047464134,20.087346478889,0.000196911750828324,-3.34468661782213,0.446022,0.00149289711077102,0.00126594774456864,0.00869800068269704,0.00563715868380595,0.00337211952187162,0.000130898758005181,0.0425118683921158,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.45441211462021,-4.63296960290104,0.9,0.00374329709660611,0.00627346239959283
12,52.9947545903008,6.20767975276861,7.86679909322562,20.8760870286939,16.6296971991721,21.3923854639593,0.000196016683263277,-3.47779227459624,0.411451,0.00131573018172178,0.00112338745411193,0.00962661196717121,0.00551291213325535,0.00316977247209097,8.80631548271277e-05,0.033080789651804,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.28815908432007,-4.71589768130647,0.9,0.00353410763784942,0.00560819500910324
