"consumer","Cumax","Cddexud","Numax","Nhsat","BdeApar","ddmort","migration_coef","max_exploitable_f"
"kelp",0.0270727644620225,2.82139026034752e-08,0.00944512352221485,17.3168328051506,NA,3.23896313798768e-08,NA,0.0472946390279665
"phyt_s",NA,NA,3.85115211626878,6.27494414599921,NA,0.0514636653794549,NA,NA
"phyt_d",NA,NA,NA,NA,NA,0.0679442826982612,NA,NA
"omnivzoo",NA,NA,3.5219828469733,2.90364268891543,NA,3.25893222395428e-05,NA,NA
"carnzoo",NA,NA,0.143761356995977,1.45658104950446,NA,0.000239639335035062,NA,0.00389836034178209
"fishplar",NA,NA,0.404173943078443,4.19125589028751,NA,4.35180800602932e-06,NA,NA
"fishdlar",NA,NA,0.169523986371342,2.66943517141396,NA,6.48001333007779e-07,NA,NA
"fishp",NA,NA,0.0850499152040446,1.94642200650942,NA,1.86070497451683e-05,0.00124495551690593,0.759511398387325
"fishm",NA,NA,0.0210169346093591,4.87828701629102,NA,1.78019472085387e-06,3.45598522185413e-05,0.565947300922771
"fishd",NA,NA,0.0101574499043418,0.490881358014685,NA,8.70023918798468e-06,0.0024322876179492,0.651376952751027
"benthslar",NA,NA,0.314721688333546,0.694877159707301,NA,9.92522115213666e-06,NA,NA
"benthclar",NA,NA,0.883106425391699,1.72878116369496,NA,2.41053238615477e-07,NA,NA
"benths",NA,NA,0.84203589398386,1.97451981473587,NA,0.000413462875253884,NA,0.0326604326650628
"benthc",NA,NA,0.0301286793063517,7.16524008635577,NA,0.000411389934502477,NA,0.130280082375632
"bird",NA,NA,0.971481332,0.990216091,4500.874633,0.043627728,0.00883991586373736,0.10203899878246
"seal",NA,NA,0.646118727,1.696049433,2110.873261,0.005086229,0.00504071410304954,0.0907531768567466
"ceta",NA,NA,0.397699221,0.530296025,896.3585685,0.001049772,0.00614142904951619,0.196508161387435
