"","kelp","phyt","omnivzoo","carnzoo","fishplar","fishdlar","fishp","fishm","fishd","benthslar","benthclar","benths","benthc","bird","seal","ceta"
"ammonia",0.293200191884665,0.48597327724797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nitrate",0.706799808115335,0.51402672275203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suspdet",NA,NA,0.000976424129475533,NA,NA,NA,NA,NA,NA,0.979631929032236,0.369071589774756,0.619228790108558,NA,NA,NA,NA
"seddet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.144959356878088,NA,NA,NA,NA
"kelpdebris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00308391544164251,NA,NA,NA
"corpses",NA,NA,NA,NA,NA,NA,NA,NA,0.0108556416052699,NA,NA,NA,0.347199731589342,0.0399851817945582,0.043501156149994,NA
"discards",NA,NA,NA,NA,NA,NA,NA,NA,0.013451533229268,NA,NA,NA,NA,0.119774805186647,0.115844473728256,0.146664655822087
"kelp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0137516896872334,NA,NA,NA
"phyt",NA,NA,0.869197887350265,NA,NA,NA,NA,NA,NA,0.0203680709677641,0.630928410225244,0.235811853013354,NA,NA,NA,NA
"omnivzoo",NA,NA,NA,0.745803750597341,0.105356890772811,0.971246775959048,0.358663118103717,0.207844971355655,NA,NA,NA,NA,NA,NA,NA,0.00711774965581638
"carnzoo",NA,NA,NA,NA,NA,NA,0.18168302733183,0.738672444479463,0.427168815448349,NA,NA,NA,NA,0.0398195966570218,0,0.643613991309629
"fishplar",NA,NA,NA,0.00873714746182086,NA,NA,0.161272122854081,0.014328894044769,0.0918520435516463,NA,NA,NA,NA,NA,NA,NA
"fishdlar",NA,NA,NA,0.0135810534823865,NA,NA,0.077009628595065,0.0115201050927595,0.0112408773831663,NA,NA,NA,NA,NA,NA,NA
"fishp",NA,NA,NA,NA,NA,NA,NA,0.47,0.252563805871051,NA,NA,NA,NA,0.0825623249300294,0.138416080191179,0.104531469371895
"fishm",NA,NA,NA,NA,NA,NA,NA,0.15,0.00955035304486888,NA,NA,NA,NA,0.0123846559867711,0.00967234697950075,0.0151413737912545
"fishd",NA,NA,NA,NA,NA,NA,NA,0.05,0.00856390955563378,NA,NA,NA,NA,0.705473435444972,0.69256594295107,0.0829307600493181
"benthslar",NA,NA,0.00199627264845336,0.164481410675242,0.626298384308236,0.025088319296152,0.0996379497221362,0.0128545402570051,NA,NA,NA,NA,NA,NA,NA,NA
"benthclar",NA,NA,0.127829415871806,0.0673966377832096,0.268344724918953,0.00366490474479967,0.12173415339317,0.0147790447703489,NA,NA,NA,NA,NA,NA,NA,NA
"benths",NA,NA,NA,NA,NA,NA,NA,NA,0.150447468748152,NA,NA,NA,0.635964663281782,0,0,0
"benthc",NA,NA,NA,NA,NA,NA,NA,0.006,0.0243055515625946,NA,NA,NA,NA,0,0,0
"bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"seal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ceta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
