"","kelp","phyt","omnivzoo","carnzoo","fishplar","fishdlar","fishp","fishm","fishd","benthslar","benthclar","benths","benthc","bird","seal","ceta"
"ammonia",0.291036724077224,0.470394910068975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nitrate",0.708963275922776,0.529605089931025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suspdet",NA,NA,0.00108492915775914,NA,NA,NA,NA,NA,NA,0.970645461267632,0.387509349840845,0.585332141912529,NA,NA,NA,NA
"seddet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.174556107695632,NA,NA,NA,NA
"kelpdebris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00346637805222616,NA,NA,NA
"corpses",NA,NA,NA,NA,NA,NA,NA,NA,0.00851395539433281,NA,NA,NA,0.448050675967935,0.039854072,0.043407738,NA
"discards",NA,NA,NA,NA,NA,NA,NA,NA,0.0129835033835201,NA,NA,NA,NA,0.121123635,0.11658051,0.145356531
"kelp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0150682799864316,NA,NA,NA
"phyt",NA,NA,0.829814103337676,NA,NA,NA,NA,NA,NA,0.0293545387323682,0.612490650159155,0.240111750391839,NA,NA,NA,NA
"omnivzoo",NA,NA,NA,0.761389093405431,0.0841648694824726,0.963913841997179,0.376777317090032,0.227213155504992,NA,NA,NA,NA,NA,NA,NA,0.007002047
"carnzoo",NA,NA,NA,NA,NA,NA,0.15287130989488,0.718798553325968,0.332940683458603,NA,NA,NA,NA,0.040236576,0,0.644955785
"fishplar",NA,NA,NA,0.00919204540786559,NA,NA,0.154863010433536,0.0163137683919662,0.125521891633884,NA,NA,NA,NA,NA,NA,NA
"fishdlar",NA,NA,NA,0.0155970919438952,NA,NA,0.0703085735031793,0.0140974150224192,0.0107694589226995,NA,NA,NA,NA,NA,NA,NA
"fishp",NA,NA,NA,NA,NA,NA,NA,0.47,0.292044344878067,NA,NA,NA,NA,0.083486317,0.136560003,0.105605868
"fishm",NA,NA,NA,NA,NA,NA,NA,0.15,0.0109070272689828,NA,NA,NA,NA,0.012352638,0.009798248,0.014993503
"fishd",NA,NA,NA,NA,NA,NA,NA,0.05,0.00995963730010739,NA,NA,NA,NA,0.702946762,0.693653501,0.082086266
"benthslar",NA,NA,0.00229232298779432,0.132392137079479,0.659543142222767,0.031167123597851,0.0988709274619765,0.0128068175455454,NA,NA,NA,NA,NA,NA,NA,NA
"benthclar",NA,NA,0.16680864451677,0.0814296321633288,0.25629198829476,0.00491903440496958,0.146308861616397,0.0107702902091094,NA,NA,NA,NA,NA,NA,NA,NA
"benths",NA,NA,NA,NA,NA,NA,NA,NA,0.166530563233073,NA,NA,NA,0.533414665993407,0,0,0
"benthc",NA,NA,NA,NA,NA,NA,NA,0.006,0.0298289345267309,NA,NA,NA,NA,0,0,0
"bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"seal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ceta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
