"Value","Description"
1.39603270502851e-05,"water_column_detritus_mineralisation_rate"
1.27244564144814e-07,"upper_layer_water_column_nitrification_rate"
1.71760345695842e-09,"upper_layer_water_column_denitrification_rate"
0.0202757502536579,"lower_layer_water_column_nitrification_rate"
5.312516805004e-07,"lower_layer_water_column_denitrification_rate"
0.485755417852288,"proportion_of_detritus_or_corpses_converted_to_refractory_material_max_0.5"
0.000138624850813216,"mineralisation_rate_scaling_parameter_for_refractory_detritus"
0.0250216876924994,"proportion_of_refractory_detritus_digestible_by_benthos"
0.0146216086284074,"sediment_detritus_mineralisation_rate"
-2.30634557177234e-08,"grain_size_sensitivity_for_sediment_detritus_mineralisation_rate"
7.75641274167562e-05,"sediment_nitrification_rate"
-2.47843253743022e-06,"grain_size_sensitivity_for_sediment_nitrification_rate"
0.592499969537792,"sediment_denitrification_rate"
1.29701144024029e-07,"grain_size_sensitivity_for_sediment_denitrification_rate"
0.0176730716065822,"conversion_rate_of_discards_to_corpses"
0.140170770166091,"conversion_rate_of_corpses_to_sediment_detritus"
0.01894425849056,"conversion_rate_of_kelp_debris_to_detritus"
0.0783287523753882,"detritus_sinking_rate_in_the_upper_layers"
3.1975575990483e-06,"detritus_sinking_rate_in_the_lower_layer"
4.41976810561562e-05,"density_dependent_self_shading_parameter_for_kelp"
0.00159662423295865,"Wave_dependent_beach_cast_rate_for_kelp_debris"
1.0224729646958,"fitting_parameter_for_undersize_demersal_fish_function"
