"consumer","Cumax","Cddexud","Numax","Nhsat","BdeApar","ddmort","migration_coef","max_exploitable_f"
"kelp",0.0244322844540947,2.01577726030363e-08,0.0101956372866897,15.9901096324468,NA,3.08221696934028e-08,NA,0.0454210238914379
"phyt_s",NA,NA,4.69073427637021,7.91411132953129,NA,0.0517981509361549,NA,NA
"phyt_d",NA,NA,NA,NA,NA,0.0638893064438224,NA,NA
"omnivzoo",NA,NA,3.26845488884674,3.49144243852334,NA,3.56460949620579e-05,NA,NA
"carnzoo",NA,NA,0.146788199683293,1.39873205386753,NA,0.000197660487384617,NA,0.00377030668501614
"fishplar",NA,NA,0.366451524957867,4.90028526699752,NA,4.45243867741185e-06,NA,NA
"fishdlar",NA,NA,0.191004831893971,3.0074396303555,NA,5.58428946109327e-07,NA,NA
"fishp",NA,NA,0.100445153060048,2.07717817017789,NA,1.86173014668254e-05,0.001306314807737,0.868597536016836
"fishm",NA,NA,0.017685600747568,4.27992569747555,NA,1.7698340099178e-06,2.92920452189699e-05,0.629598512766565
"fishd",NA,NA,0.0107578689653553,0.400808185184619,NA,8.80990139973818e-06,0.00222658334413197,0.674812620065437
"benthslar",NA,NA,0.355076362042518,0.60679115656855,NA,1.08719569322176e-05,NA,NA
"benthclar",NA,NA,1.17011893608694,2.14044927696608,NA,2.74623351337682e-07,NA,NA
"benths",NA,NA,0.813576825721645,1.77602204897123,NA,0.000419835790154169,NA,0.0287363660714568
"benthc",NA,NA,0.0256076249269063,7.0487369793422,NA,0.000373864188701007,NA,0.116553037266891
"bird",NA,NA,0.971481332,0.990216091,4500.874633,0.043627728,0.0088010055321738,0.0963342322227823
"seal",NA,NA,0.646118727,1.696049433,2110.873261,0.005086229,0.0053686003042209,0.0943950671408716
"ceta",NA,NA,0.397699221,0.530296025,896.3585685,0.001049772,0.00665665927364277,0.203405977550387
