"Month","SLight","SO_LogeSPM","SI_LogeSPM","SO_temp","D_temp","SI_temp","Rivervol_SI","log10Kvert","mixLscale","D_SO_upwelling","SO_D_downwelling","SO_OceanIN","D_OceanIN","SI_OceanIN","SI_OceanOUT","SO_SI_flow","habS1_pdist","habS2_pdist","habS3_pdist","habD1_pdist","habD2_pdist","habD3_pdist","Inshore_waveheight","DO_log10Kvert","DO_mixLscale","DO_D_upwelling","D_DO_downwelling"
1,5.96123280710687,7.65704067482307,9.24606299316445,10.1166879576365,10.1560550083312,8.5649804551399,0.000580551055487981,-1.72054188937181,1,0.0205163686376681,0.0116381946557908,0.0265519525785991,0.018548518994651,0.00310973028694505,0.00418752028913329,0.197100224271621,0.005216249,0.098533752,0.293564683,0.304599847,0.074105561,0.284547346,2.04649583101273,0,0,0,0
2,11.7320706326127,7.84301609953149,9.43812109098988,9.71165463241068,9.74771401739617,8.03542736419551,0.000564088721490549,-1.82570017371486,1,0.01766440160513,0.00993132895445374,0.0239580349610766,0.0177065461038703,0.00212376187674242,0.00464159687455137,0.181847001917862,0.007837671,0.143470292,0.344668454,0.445246916,0.138881617,0.42813289,2.05221849679947,0,0,0,0
3,19.2463557751044,7.42648562395592,9.30653347098352,9.43477209110207,9.44455736753453,7.92908045616178,0.000530668620327039,-1.91158203558743,1,0.0199470976161418,0.0114322389450463,0.0177896877757749,0.0142303134827399,0.00249477077443628,0.0032827656559554,0.107818201926934,0.002235005,0.083162995,0.286843353,0.308715081,0.075980507,0.274971257,1.61453839540482,0,0,0,0
4,29.7366542397195,6.87483117014318,9.15618040418286,9.73477336222751,9.56665680523353,8.80919421881903,0.00044771486494889,-2.17608504787496,0.884163508,0.0195598470143795,0.0107758818970907,0.0172671066716844,0.0145798383176037,0.00260761965653515,0.00341352571240353,0.101058460680452,0.00278969,0.091134946,0.297680145,0.331806624,0.07672352,0.292870468,1.30981160402298,0,0,0,0
5,39.3718003586789,6.68906651535054,8.79450560430886,11.0300679226547,9.90793852517594,10.9142330563795,0.000284014502569325,-2.99369562426456,0.607671289,0.0103561656342768,0.00596482287112,0.0186921362898399,0.0116360951994251,0.00279521346782897,0.0036104245901368,0.0763889698145408,0.004711779,0.094910497,0.290488292,0.306757995,0.071277761,0.295702245,1.13893529176712,0,0,0,0
6,41.3960221870306,6.5305475732639,8.46388532176553,12.9284349288223,10.2355542688678,13.6108398320992,0.000196667990499237,-3.50103762959843,0.446021763,0.00754825831334387,0.00419727083541011,0.0147146621766647,0.0113524941331408,0.00188305742386397,0.0024530904811211,0.0651419985188012,0.002239917,0.084553449,0.281588432,0.276102045,0.061037162,0.276566876,1.03788715600967,0,0,0,0
7,39.0367656689252,6.3520301052823,8.57265588277559,14.5079086442367,10.5254965379902,15.6720319376074,0.000148388392678025,-3.68646989946684,0.411451011,0.00802074370888665,0.00361056033162463,0.0151665749713978,0.0163992713907367,0.00223400882667196,0.00291750226669401,0.0820216103551159,0.002813224,0.07780049,0.265004426,0.298498738,0.067281772,0.277904309,0.982492733001709,0,0,0,0
8,32.9364716093905,6.30260014772883,8.77491117090728,15.4874349545883,10.7943470650137,16.6341858840781,0.000145748687896603,-3.55641630108124,0.476442673,0.00786853857756005,0.00377510464883283,0.015481857081552,0.0134426139938919,0.00154759889784028,0.00207381463864047,0.0914218037673659,0.001986794,0.076396628,0.271803049,0.306983277,0.072240265,0.276883161,1.12073200941086,0,0,0,0
9,24.0464668577423,6.33679281025057,8.85243976293104,15.4353075702261,11.1101155794827,16.0706759302176,0.000139639657554253,-3.12528239404986,0.639261454,0.00900463930363442,0.00452671776900847,0.01917995201568,0.0137859926518581,0.0030847809833087,0.0040466025984654,0.125092627445481,0.005587776,0.104770991,0.310136513,0.344187478,0.087935106,0.31968123,1.31390051841736,0,0,0,0
10,13.6526339735119,6.40527997736485,8.80989770029261,14.2685562850523,11.4539781292958,14.4275202102129,0.000195338917584599,-2.40003544848663,0.922987598,0.0140820259974098,0.00665936522708748,0.02497834056238,0.0185698034220268,0.00323009984513996,0.00425742341092916,0.144235999681998,0.006933549,0.101448758,0.300786186,0.338287409,0.085928381,0.299492568,1.53097031116486,0,0,0,0
11,7.49855416343669,6.7500970699601,8.93011149532746,12.3847845361898,11.4331785428452,12.0185347027955,0.000324737506786049,-1.9567578722423,1,0.019211787097162,0.00925970975115261,0.0245713115046383,0.0195959928251189,0.00104388525619522,0.00251348475897206,0.142928657480411,0.008056161,0.119043914,0.316055049,0.342163398,0.087394471,0.326222597,1.81263490915298,0,0,0,0
12,4.70043683852753,7.38521561277567,9.12391664047094,11.0015433012706,10.9094346092864,10.0195169174595,0.000460548888567331,-1.80699539097598,1,0.0208183022558259,0.0113748097216938,0.0291096380405762,0.0240176998815005,0.00230936130134488,0.00316711833394969,0.18401474472989,0.009033569,0.138671086,0.335815138,0.354703304,0.107539811,0.344904245,2.15382078886032,0,0,0,0
