Gear_name,Gear_code,Power_PF,Power_DF,Power_MF,Power_FDB,Power_CSB,Power_CZ,Power_BD,Power_SL,Power_CT,Power_KP
Artisanal,Asl,2.418017931,2.217601697,0.666709727,2.347095562,0.212039616,0.097301396,0,0,0,0
Beam_trawls,BmT,0.019246977,18.76726029,0.003173477,0.226689922,0.186496979,1.205727624,0,0,0,0
Bottom_otter_trawls,BOT,0.114400914,23.25233382,0.457462912,0.000700067,1.37972088,0.728362446,0,0,0,0
Dredges,Drd,0,0.23796604,8.34E-05,7.214941726,0.002367694,0.010004009,0,0,0,0
Drifting_and_handlines,DH,0.923083431,57.28848032,1.370721689,0,0.002969697,0,0,0,0,0
Fly_dragging_and_anchor_seine,FdAs,0.011285045,49.24241327,0.122065364,2.56E-07,0.002418296,0.171300281,0,0,0,0
Gillnets_and_longlines,GL,0.596021071,26.33970524,0.034954241,6.93E-05,0.34246344,0.0011929,0.010659,2.059146,1.812262,0
Kelp_harvesting,Kelp,0.317518995,0.204531114,0.00085243,49.71018395,0.034102084,0.003994165,0,0,0,1998.234632
Mid_water_trawl,MwT,742.860014,6.706966404,1216.275379,2.55E-06,0.036884673,0.115063293,0.175037,0,0.35140166,0
Nephrops_trawls,NT,0.033767296,17.25872636,0.062750279,0.003342792,3.093746552,0.87199999,0,0,0,0
Pots,Pots,0.011406073,0.050140687,0.010550742,1.102774634,5.426563712,0.035015299,0,0,0.0326668,0
Purse_seine,PS,145.1985659,1.595867308,9.280503457,0,4.46E-06,0.032451506,0.175037,0,0.35140166,0
