"Value","Description"
1.60633275023691e-05,"water_column_detritus_mineralisation_rate"
1.22308813524751e-07,"upper_layer_water_column_nitrification_rate"
2.26116472931341e-09,"upper_layer_water_column_denitrification_rate"
0.0266611343713817,"lower_layer_water_column_nitrification_rate"
4.87753095641916e-07,"lower_layer_water_column_denitrification_rate"
0.462137370686474,"proportion_of_detritus_or_corpses_converted_to_refractory_material_max_0.5"
0.000153882456665385,"mineralisation_rate_scaling_parameter_for_refractory_detritus"
0.0273931193898248,"proportion_of_refractory_detritus_digestible_by_benthos"
0.0132597201643415,"sediment_detritus_mineralisation_rate"
-1.6811198043041e-08,"grain_size_sensitivity_for_sediment_detritus_mineralisation_rate"
6.74256120811569e-05,"sediment_nitrification_rate"
-3.42156717478278e-06,"grain_size_sensitivity_for_sediment_nitrification_rate"
0.142033727213449,"sediment_denitrification_rate"
1.48871264564719e-07,"grain_size_sensitivity_for_sediment_denitrification_rate"
0.0180146850553849,"conversion_rate_of_discards_to_corpses"
0.211724823521132,"conversion_rate_of_corpses_to_sediment_detritus"
0.0289313731132819,"conversion_rate_of_kelp_debris_to_detritus"
0.107020827250968,"detritus_sinking_rate_in_the_upper_layers"
3.01914026844387e-06,"detritus_sinking_rate_in_the_lower_layer"
4.82383530816933e-05,"density_dependent_self_shading_parameter_for_kelp"
0.00169173668316991,"Wave_dependent_beach_cast_rate_for_kelp_debris"
1.20683663209383,"fitting_parameter_for_undersize_demersal_fish_function"
