Annual_measure,SD_of_measure,Use1_0,Name,Units,Description,Region,Time_period,Source
1808.577,300,1,Obs_TAPP,mMN/m2/y,Annual_total_primary_production,Celtic_Sea,2010-2019,Copernicus_remote_sensing_data_from_OCEANCOLOUR_GLO_BGC_L4_MY_009_104
858.9,208.4,1,Obs_NP,mMN/m2/y,Annual_new_production_from_depth_integrated_nitrate_plus_summer_river_and_atmos_inputs,Celtic_Sea,2003-2013,Heath_and_Beare_2008
600,100,1,Obs_KelpP,gC/m2/y,Annual_WITHIN_FOREST_NET_production_of_macrophytes,General_value,General,Burrows_et_al_2018
403.564,302.673,1,Obs_OmnizooP,mMN/m2/y,Annual_ominiv_zooplankton_gross_production,Celtic_Sea,2013,Moullec_et_al_2017_Table_S2.4
42.61298,31.959735,1,Obs_CarnzooP,mMN/m2/y,Annual_carnivorous_zooplankton_gross_production,Celtic_Sea,2013,Moullec_et_al_2017_Table_S2.4
9.327927,3,1,Obs_PFishP,mMN/m2/y,Annual_planktivorous_fish_gross_production,Celtic_Sea,2013,Moullec_et_al_2017_Table_S2.4
4.467922,1.5,1,Obs_DFishP,mMN/m2/y,Annual_demersal_fish_gross_production,Celtic_Sea,2013,Moullec_et_al_2017_Table_S2.4
141.1248,141.1248,1,Obs_BensuspP,mMN/m2/y,Annual_susp/dep_benthos_gross_production,Celtic_Sea,2013,Moullec_et_al_2017_Table_S2.4
33.94617,33.94617,1,Obs_BencarnP,mMN/m2/y,Annual_carn/scan_benthos_gross_production,Celtic_Sea,2013,Moullec_et_al_2017_Table_S2.4
1.63E-03,1.22E-03,1,Obs_birdP,mMN/m2/y,Annual_net_production_of_birds,Celtic_Sea,2013,Moullec_et_al_2017_Table_S2.4
0.005604,0.002203,1,Obs_sealP,mMN/m2/y,Annual_net_production_of_pinnipeds,Celtic_Sea,2013,Moullec_et_al_2017_Table_S2.4
0.011327,0.00449525,1,Obs_cetaP,mMN/m2/y,Annual_net_production_of_cetaceans,Celtic_Sea,2013,Moullec_et_al_2017_Table_S2.4
NA,NA,0,Obs_maxbenthslar,mMN/m3,Annual_monthly_max_conc_of_benthos_susp/dep_larvae,NA,NA,Insufficient_data
NA,NA,0,Obs_maxbenthclar,mMN/m3,Annual_monthly_max_conc_of_benthos_carn/scav_larvae,NA,NA,Insufficient_data
2.973138227,2.22985367,1,Obs_Conpfishfish,mMN/m2/y,Annual_consumption_of_planktivorous_fish_by_fish,Celtic_Sea,2013,Moullec_et_al_2017_Table_S2.4_and_S4.1
3.335240592,2.501430444,1,Obs_Condfishfish,mMN/m2/y,Annual_consumption_of_demersal_fish_by_fish,Celtic_Sea,2013,Moullec_et_al_2017_Table_S2.4_and_S4.1
58.23325355,43.67494017,1,Obs_Conzoofish,mMN/m2/y,Annual_consumption_of_omniv_zooplankton_by_fish_and_fish_larvae,Celtic_Sea,2013,Moullec_et_al_2017_Table_S2.4_and_S4.1
74.90469735,56.17852301,1,Obs_Conzoocarnz,mMN/m2/y,Annual_consumption_of_omniv_zooplankton_by_carn_zooplankton,Celtic_Sea,2013,Moullec_et_al_2017_Table_S2.4_and_S4.1
32.80033013,24.6002476,1,Obs_Conbenfish,mMN/m2/y,Annual_consumption_of_benthos_by_fish,Celtic_Sea,2013,Moullec_et_al_2017_Table_S2.4_and_S4.1
0.916209,0.68715675,1,Obs_Contotal_bird,mMN/m2/y,Annual_food_consumption_by_birds,Celtic_Sea,2013,Moullec_et_al_2017_Table_S2.4
0.256142976,0.192107232,1,Obs_Proppfishbird,dimensionless,Proportion_planktivorous_fish_in_diet_of_birds,Celtic_Sea,2013,Moullec_et_al_2017_Table_S2.4_and_S4.1
0.021912879,0.016434659,1,Obs_Propdfishbird,dimensionless,Proportion_demersal_fish_in_diet_of_birds,Celtic_Sea,2013,Moullec_et_al_2017_Table_S2.4_and_S4.1
0.525338469,0.394003852,1,Obs_Propmfishbird,dimensionless,Proportion_migratory_fish_in_diet_of_birds,Celtic_Sea,2013,Moullec_et_al_2017_Table_S2.4_and_S4.1
0.143175078,0.107381308,1,Obs_Propdiscbird,dimensionless,Proportion_discards_in_diet_of_birds,Celtic_Sea,2013,Moullec_et_al_2017_Table_S2.4_and_S4.1
0.49803,0.3735225,1,Obs_Contotal_seal,mMN/m2/y,Annual_food_consumption_by_pinnipeds,Celtic_Sea,2013,Moullec_et_al_2017_Table_S2.4
