"Month","SLight","SO_LogeSPM","SI_LogeSPM","SO_temp","D_temp","SI_temp","Rivervol_SI","log10Kvert","mixLscale","D_SO_upwelling","SO_D_downwelling","SO_OceanIN","D_OceanIN","SI_OceanIN","SI_OceanOUT","SO_SI_flow","habS1_pdist","habS2_pdist","habS3_pdist","habD1_pdist","habD2_pdist","habD3_pdist","Inshore_waveheight","DO_log10Kvert","DO_mixLscale","DO_D_upwelling","D_DO_downwelling"
1,6.6436639241154,7.65704067482307,9.24606299316445,10.2895918433414,10.3450157599728,8.64191653149843,0.000570004182291388,-1.64240213565532,1,0.0226194350561278,0.0128641879321689,0.0274263628625957,0.0180837919385154,0.000992170805602742,0.00255890130486001,0.18282411753471,0.005216249,0.098533752,0.293564683,0.304599847,0.074105561,0.284547346,2.04649583101273,0,0,0,0
2,11.7423354080997,7.84301609953149,9.43812109098988,9.72530926401982,9.77414307408486,7.8561183161507,0.000591678690237543,-1.70628358269176,1,0.0221332751938356,0.0123885532508904,0.0246213300609317,0.018941754755151,0.00377834610127524,0.00499409225261031,0.177940073002605,0.007837671,0.143470292,0.344668454,0.445246916,0.138881617,0.42813289,2.05221849679947,0,0,0,0
3,20.4337756029682,7.42648562395592,9.30653347098352,9.48740783074205,9.50977731219644,7.88606532258861,0.000532489711733764,-1.68660611532608,1,0.0231900794978492,0.0132252013675384,0.0222054341005132,0.01662779840972,0.00188510472053288,0.00256100134898307,0.134275806641722,0.002235005,0.083162995,0.286843353,0.308715081,0.075980507,0.274971257,1.61453839540482,0,0,0,0
4,33.755273882929,6.87483117014318,9.15618040418286,9.78557808708383,9.61345240681,8.97308769545417,0.000407463466353086,-2.09255867931657,0.884163508,0.0227695463692648,0.0125531454335007,0.0194670537202131,0.0177854947630283,0.00243736969370033,0.00320135594631043,0.101480204335737,0.00278969,0.091134946,0.297680145,0.331806624,0.07672352,0.292870468,1.30981160402298,0,0,0,0
5,42.9015926524881,6.68906651535054,8.79450560430886,11.1227419015054,9.98186218465484,11.3302049934964,0.000292660592491567,-2.74449136913162,0.607671289,0.012963983669201,0.00725920011782037,0.0194721640551308,0.0152562326433228,0.00253962403864026,0.00330907081460071,0.0882881944129265,0.004711779,0.094910497,0.290488292,0.306757995,0.071277761,0.295702245,1.13893529176712,0,0,0,0
6,46.7252126376477,6.5305475732639,8.46388532176553,13.0883438906279,10.3560791780343,14.0511431157442,0.000226314252660458,-3.11182772940714,0.446021763,0.00976803247924417,0.00545943262884079,0.0198877036416907,0.0177012644483812,0.00281236088725381,0.00365108478149425,0.0890053800751208,0.002239917,0.084553449,0.281588432,0.276102045,0.061037162,0.276566876,1.03788715600967,0,0,0,0
7,46.2262155740332,6.3520301052823,8.57265588277559,15.292273018952,10.71427504875,16.7740137427247,0.000175695323757774,-3.63172425481719,0.411451011,0.00747338178336724,0.00423169950404679,0.0212062782805126,0.0184345182167703,0.00251526980288042,0.00333476630764299,0.125127200150146,0.002813224,0.07780049,0.265004426,0.298498738,0.067281772,0.277904309,0.982492733001709,0,0,0,0
8,35.9297986126163,6.30260014772883,8.77491117090728,16.5480230980281,11.0556129877892,18.0409885253873,0.000161625675839578,-3.4206216975058,0.476442673,0.00879958528253156,0.00432310821387445,0.0207616107562568,0.0227596796420008,0.00246660777731321,0.00333031752642611,0.162124002254062,0.001986794,0.076396628,0.271803049,0.306983277,0.072240265,0.276883161,1.12073200941086,0,0,0,0
9,27.0608826542169,6.33679281025057,8.85243976293104,16.6341621072364,11.4284946967839,17.6298379276697,0.000164408892489274,-3.28443056628681,0.639261454,0.00990784946723208,0.00547595703653973,0.0213414898032982,0.0144684902880715,0.00334406111530864,0.00438249795688561,0.13283285636159,0.005587776,0.104770991,0.310136513,0.344187478,0.087935106,0.31968123,1.31390051841736,0,0,0,0
10,14.9696894127482,6.40527997736485,8.80989770029261,15.3730626775796,11.8193284910621,15.5868185672187,0.000215231702423517,-2.49956287775123,0.922987598,0.0137097573827703,0.00734349295727259,0.0227345514451981,0.0162037118670297,0.0026163786927325,0.00351423098120498,0.159958355515644,0.006933549,0.101448758,0.300786186,0.338287409,0.085928381,0.299492568,1.53097031116486,0,0,0,0
11,8.03820058075678,6.7500970699601,8.93011149532746,13.0502522525236,11.7373050273931,12.5919281517959,0.000348504660691786,-1.90804006431501,1,0.0203348215088831,0.0106979459464527,0.0238685011520787,0.0186500894655166,0.00379315607719649,0.00496508824508613,0.146758862194366,0.008056161,0.119043914,0.316055049,0.342163398,0.087394471,0.326222597,1.81263490915298,0,0,0,0
12,5.31855610348953,7.38521561277567,9.12391664047094,11.3618632264927,11.1797037891474,10.2401056183998,0.000473180216363095,-1.73314397667883,1,0.0229843457084123,0.0126287437276346,0.0276163925006179,0.0209373814454858,0.00418505168684546,0.00551242704041591,0.18447129235916,0.009033569,0.138671086,0.335815138,0.354703304,0.107539811,0.344904245,2.15382078886032,0,0,0,0
