"","kelp","phyt","omnivzoo","carnzoo","fishplar","fishdlar","fishp","fishm","fishd","benthslar","benthclar","benths","benthc","bird","seal","ceta"
"ammonia",0.285746013881113,0.267875208875719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nitrate",0.714253986118887,0.732124791124281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suspdet",NA,NA,0.000591675074804017,NA,NA,NA,NA,NA,NA,0.982324729839595,0.311548217736648,0.333744448259557,NA,NA,NA,NA
"seddet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45286107160834,NA,NA,NA,NA
"kelpdebris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00625274467572493,NA,NA,NA
"corpses",NA,NA,NA,NA,NA,NA,NA,NA,0.00878890497169817,NA,NA,NA,0.476926293715138,0.0866928807293959,0.0567968217170172,NA
"discards",NA,NA,NA,NA,NA,NA,NA,NA,0.0894166572825339,NA,NA,NA,NA,0.256271429606362,0.0510916420256796,0.137814565523228
"kelp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0133489923526179,NA,NA,NA
"phyt",NA,NA,0.904529556284968,NA,NA,NA,NA,NA,NA,0.0176752701604051,0.688451782263352,0.213394480132104,NA,NA,NA,NA
"omnivzoo",NA,NA,NA,0.66171540189311,0.135006550091577,0.944557793277095,0.36047270616289,0.379532554836014,NA,NA,NA,NA,NA,NA,NA,0.00941113848168825
"carnzoo",NA,NA,NA,NA,NA,NA,0.130535823930327,0.0161703709327079,0.0724118613466308,NA,NA,NA,NA,0.0920036085476119,0,0.0191904625928011
"fishplar",NA,NA,NA,0.0191068389972328,NA,NA,0.141452431527646,0.0509706587052415,0.154292590858388,NA,NA,NA,NA,NA,NA,NA
"fishdlar",NA,NA,NA,0.0507399888751191,NA,NA,0.195262210621807,0.0679541475414264,0.0958788185474828,NA,NA,NA,NA,NA,NA,NA
"fishp",NA,NA,NA,NA,NA,NA,NA,NA,0.106416591650981,NA,NA,NA,NA,0.233057000568483,0.135159520343082,0.313600716108875
"fishm",NA,NA,NA,NA,NA,NA,NA,NA,0.0181206129928033,NA,NA,NA,NA,0.184449442217328,0.342665036282863,0.378193039312754
"fishd",NA,NA,NA,NA,NA,NA,NA,NA,0.00521069363500449,NA,NA,NA,NA,0.147525638330819,0.414286979631359,0.136843947622507
"benthslar",NA,NA,0.00153416856790554,0.16761635880052,0.566449453495265,0.0462432052251447,0.0912011666512969,0.262243869976775,NA,NA,NA,NA,NA,NA,NA,NA
"benthclar",NA,NA,0.0933446000723224,0.100821411434019,0.298543996413158,0.00919900149776053,0.0810756611060331,0.223128398007835,NA,NA,NA,NA,NA,NA,NA,NA
"benths",NA,NA,NA,NA,NA,NA,NA,NA,0.382264173944031,NA,NA,NA,0.503471969256519,0,0,0
"benthc",NA,NA,NA,NA,NA,NA,NA,NA,0.0671990947704468,NA,NA,NA,NA,0,0,0
"bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"seal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00494613035814669
"ceta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
