"consumer","Cumax","Cddexud","Numax","Nhsat","BdeApar","ddmort","migration_coef","max_exploitable_f"
"kelp",0.0261711228566973,1.81304052738905e-08,0.00955111711839974,14.3188876445263,NA,2.94755140287212e-08,NA,0.0394422129628118
"phyt_s",NA,NA,2.97187908935089,4.05387106129384,NA,0.0497700930833176,NA,NA
"phyt_d",NA,NA,NA,NA,NA,0.0682058647063267,NA,NA
"omnivzoo",NA,NA,2.04393674580805,3.25183378546659,NA,3.26082166936681e-05,NA,NA
"carnzoo",NA,NA,0.13965961402387,1.07106539994432,NA,0.000199377787412188,NA,0.00398097314372552
"fishplar",NA,NA,0.305607161714567,8.27930957972008,NA,4.57999178840352e-06,NA,NA
"fishdlar",NA,NA,0.193271860820443,2.18258643826067,NA,5.60543877638834e-07,NA,NA
"fishp",NA,NA,0.103113270289197,2.0643378160391,NA,2.99497995394967e-05,0.00167277595266717,0.743343189392344
"fishm",NA,NA,0.0316452883242766,2.53253551897645,NA,1.59356797643439e-06,3.86343755173445e-05,0.739197037143783
"fishd",NA,NA,0.0101123266237193,0.502569814004824,NA,0.000163127604346232,0.00194857711876864,1
"benthslar",NA,NA,0.357841317711953,1.1375046820107,NA,9.37972717280494e-06,NA,NA
"benthclar",NA,NA,0.795859808149954,2.55980749466261,NA,2.5626370153837e-07,NA,NA
"benths",NA,NA,0.658303861959181,1.7221598690962,NA,0.00037529626471934,NA,0.0281097343527401
"benthc",NA,NA,0.0299699025944872,9.117851902709,NA,0.000380565629983092,NA,0.130570509308874
"bird",NA,NA,0.773200922,0.648890835,4531.587566,0.044349683,0.00979446186543676,0.108015709412249
"seal",NA,NA,0.39314896,0.903572943,479.5604219,0.005161599,0.00985266413265162,0.0945608264530475
"ceta",NA,NA,0.595023252,0.407813501,1011.296504,0.000958546,0.00898283887355198,0.291910540689801
