Annual_measure,SD_of_measure,Use1_0,Name,Units,Description,Region,Time_period,Source
787.4670885,71.39054471,1,Obs_TAPP,mMN/m2/y,Annual_total_primary_production,Norwegian_Sea_model_area,2010-2019,Copernicus remote sensing data from OCEANCOLOUR_GLO_BGC_L4_MY_009_104
NA,NA,0,Obs_NP,mMN/m2/y,Annual_new_production_from_depth_integrated_nitrate_plus_summer_river_and_atmos_inputs,NA,NA,Insufficient_data_in_time_period
309,167,1,Obs_KelpP,gC/m2/y,Annual_WITHIN_FOREST_NET_production_of_macrophytes,Norwegian_coast,1995-2019,Frigstad et al 2021
890,667.5,1,Obs_OmnizooP,mMN/m2/y,Annual_ominiv_zooplankton_gross_production,Norwegian_Sea_model_area,2010-2019,Morten Norwecom
215,215,1,Obs_CarnzooP,mMN/m2/y,Annual_carnivorous_zooplankton_gross_production,Norwegian_Sea_model_area,2010-2020,Morten Norwecom
40.166,40.166,1,Obs_PFishP,mMN/m2/y,Annual_planktivorous_fish_gross_production,Norwegian and Barents sea,2000,Skaret and Pitcher 2016
0.9016,2,1,Obs_DFishP,mMN/m2/y,Annual_demersal_fish_gross_production,Norwegian and Barents sea,1988-2003,Skaret and Pitcher 2016
77,77,1,Obs_BensuspP,mMN/m2/y,Annual_susp/dep_benthos_gross_production,20_percent_of_Barents_Sea,1990-1995,Blanchard_et_al_2002
7,7,1,Obs_BencarnP,mMN/m2/y,Annual_carn/scan_benthos_gross_production,20_percent_of_Barents_Sea,1990-1995,Blanchard_et_al_2002
0.01253,0.01253,1,Obs_birdP,mMN/m2/y,Annual_net_production_of_birds,Norwegian and Barents sea,2000,Skaret and Pitcher 2016
0.03449,0.03449,1,Obs_sealP,mMN/m2/y,Annual_net_production_of_pinnipeds,Norwegian and Barents sea,2000,Skaret and Pitcher 2016
0.01691,0.01691,1,Obs_cetaP,mMN/m2/y,Annual_net_production_of_cetaceans,Norwegian and Barents sea,2000,Skaret and Pitcher 2016
NA,NA,0,Obs_maxbenthslar,mMN/m3,Annual_monthly_max_conc_of_benthos_susp/dep_larvae,NA,NA,Insufficient_data_in_time_period
