"Value","Description"
1.50484527712731e-05,"water_column_detritus_mineralisation_rate"
1.33982332177449e-07,"upper_layer_water_column_nitrification_rate"
1.85811957379877e-09,"upper_layer_water_column_denitrification_rate"
0.0223104843625359,"lower_layer_water_column_nitrification_rate"
3.83401006970837e-07,"lower_layer_water_column_denitrification_rate"
0.497739645465545,"proportion_of_detritus_or_corpses_converted_to_refractory_material_max_0.5"
9.45256171710692e-05,"mineralisation_rate_scaling_parameter_for_refractory_detritus"
0.0289415641165231,"proportion_of_refractory_detritus_digestible_by_benthos"
0.0124268753581968,"sediment_detritus_mineralisation_rate"
-8.82615238572318e-09,"grain_size_sensitivity_for_sediment_detritus_mineralisation_rate"
8.6845059409534e-05,"sediment_nitrification_rate"
-3.42043262852789e-06,"grain_size_sensitivity_for_sediment_nitrification_rate"
0.606577681712852,"sediment_denitrification_rate"
1.28706505653312e-07,"grain_size_sensitivity_for_sediment_denitrification_rate"
0.00985451247994758,"conversion_rate_of_discards_to_corpses"
0.177935237987202,"conversion_rate_of_corpses_to_sediment_detritus"
0.020083480573754,"conversion_rate_of_kelp_debris_to_detritus"
0.11564133272409,"detritus_sinking_rate_in_the_upper_layers"
5.79391495990573e-06,"detritus_sinking_rate_in_the_lower_layer"
6.43810466512936e-05,"density_dependent_self_shading_parameter_for_kelp"
0.00152499383647165,"Wave_dependent_beach_cast_rate_for_kelp_debris"
1.046794715088,"fitting_parameter_for_undersize_demersal_fish_function"
