Gear_name,Gear_code,Habitat_s0,Habitat_s1,Habitat_s2,Habitat_s3,Habitat_d0,Habitat_d1,Habitat_d2,Habitat_d3,Habitat_DO
Mollusc_dredge,MD,0,0,0.871,0.129,0,0,0,0,0
Harpoons,HARP,0.243499199,0.187038127,0.49624764,0.073215033,0,0,0,0,0
Kelp_harvester,KH,1,0,0,0,0,0,0,0,0
Longlines+Gillnets,LLGN,0.267282697,0.125285079,0.360867578,0.235425316,0,0.00595376,0.003411633,0,0.001773936
Pelagic_Seiners_FOREIGN,PSF,0,0,0,0,0,0,0,0,1
Pelagic_Seiners_NORW,PSN,0.388923871,0.01878308,0.340577376,0.026714257,0,0.00244864,0,0,0.222552777
Pelagic_trawlers_FOREIGN,PTF,0.001144974,0.004436421,0.00779025,0.002735967,0,0.000328303,3.23E-05,4.53E-07,0.98353138
Pelagic_trawlers_NORW,PTN,0.182406019,0.144374237,0.375514152,0.127789356,0,0,0,0,0.169916237
Creels,CR,0.351705078,0.070074109,0.531281596,0.046939217,0,0,0,0,0
Recreational,REC,0.243499199,0.187038127,0.49624764,0.073215033,0,0,0,0,0
Shelf_Trawlers,ST,0.236908733,0.048647202,0.40468734,0.303051353,0,0.006004298,0.000699383,1.69E-06,0
NA,NA,0,0,0,0,0,0,0,0,0
