Gear_name,Gear_code,Power_PF,Power_DF,Power_MF,Power_FDB,Power_CSB,Power_CZ,Power_BD,Power_SL,Power_CT,Power_KP
Mollusc_dredge,MD,0,114.6707424,0,195.6247939,0,0,0,0,0,0
Harpoons,HARP,0,0,0,0,0,0,0,0,33770.35,0
Kelp_harvester,KH,0,0,0,0,0,0,0,0,0,84081.6
Longlines+Gillnets,LLGN,1.847472388,102.1113641,0.636562981,0,4.41E-05,1.84E-05,0.404517035,0.690528418,0.768368191,0
Pelagic_Seiners_FOREIGN,PSF,1205.822769,71.58394632,6411.822515,0,0,0,0,0,0,0
Pelagic_Seiners_NORW,PSN,11364.79584,346.0533315,6958.077188,0,0.001330471,0,0,0,0.00680301,0
Pelagic_trawlers_FOREIGN,PTF,72.62574817,0.108144012,42.08988439,0,0,0,0,0,0,0
Pelagic_trawlers_NORW,PTN,2261.898607,123.2629378,629.5034219,0,1.06E-05,0.005037801,0,0,0,0
Creels,CR,0,2.614324389,0,0.353737827,19.09853599,0,0,0,0,0
Recreational,REC,0,2.952628937,0.01914012,0,0,0,0,0,0,0
Shelf_Trawlers,ST,13.25216586,82.21415808,2.125717166,1.19E-06,0.014026657,0.000947271,0,0,0.001063291,0
NA,NA,0,0,0,0,0,0,0,0,0,0
