Gear_id,Gear_name,Gear_to_which_linked,Linkage_coefficient,Comments
1,Mollusc_dredge,NA,NA,Independent_of_other_gears
2,Harpoons,NA,NA,Independent_of_other_gears
3,Kelp_harvester,NA,NA,Independent_of_other_gears
4,Longlines+Gillnets,NA,NA,Independent_of_other_gears
5,Pelagic_Seiners_FOREIGN,6,1,Guess
6,Pelagic_Seiners_NORW,NA,NA,Independent_of_other_gears
7,Pelagic_trawlers_FOREIGN,8,1,Guess
8,Pelagic_trawlers_NORW,NA,NA,Independent_of_other_gears
9,Creels,NA,NA,Independent_of_other_gears
10,Recreational,NA,NA,Independent_of_other_gears
11,Shelf_Trawlers,NA,NA,Independent_of_other_gears
12,NA,NA,NA,Independent_of_other_gears
