"","kelp","phyt","omnivzoo","carnzoo","fishplar","fishdlar","fishp","fishm","fishd","benthslar","benthclar","benths","benthc","bird","seal","ceta"
"ammonia",0.293384893069793,0.205210575445524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nitrate",0.706615106930207,0.794789424554476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suspdet",NA,NA,0.000442307846812317,NA,NA,NA,NA,NA,NA,0.291053867194591,0.31071348401186,0.320474929931175,NA,NA,NA,NA
"seddet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.431384025686302,NA,NA,NA,NA
"kelpdebris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00695987370798494,NA,NA,NA
"corpses",NA,NA,NA,NA,NA,NA,NA,NA,0.006353923435384,NA,NA,NA,0.394103916343171,0.0148225893295059,0.0522828361192901,NA
"discards",NA,NA,NA,NA,NA,NA,NA,NA,0.10242512623029,NA,NA,NA,NA,0.425396072397502,0.0538103088683968,0.12708712504918
"kelp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0105860329016003,NA,NA,NA
"phyt",NA,NA,0.943770824507613,NA,NA,NA,NA,NA,NA,0.708946132805409,0.68928651598814,0.248141044382522,NA,NA,NA,NA
"omnivzoo",NA,NA,NA,0.711196978998035,0.186831930593965,0.942621493515643,0.404821745247686,0.424012848055402,NA,NA,NA,NA,NA,NA,NA,0.0105445713928851
"carnzoo",NA,NA,NA,NA,NA,NA,0.119133103120097,0.00730816831341837,0.0550253639134063,NA,NA,NA,NA,0.0810092493815969,0,0.444388809584562
"fishplar",NA,NA,NA,0.0163348887417284,NA,NA,0.0866446378522771,0.0167081357476098,0.156839642436592,NA,NA,NA,NA,NA,NA,NA
"fishdlar",NA,NA,NA,0.019973362083326,NA,NA,0.184001542144896,0.0359872378490362,0.0605279124549664,NA,NA,NA,NA,NA,NA,NA
"fishp",NA,NA,NA,NA,NA,NA,NA,NA,0.242366791376581,NA,NA,NA,NA,0.118812569285499,0.091216310994478,0.00897953806648443
"fishm",NA,NA,NA,NA,NA,NA,NA,NA,0.0145946335232695,NA,NA,NA,NA,0.182580904147823,0.0417063348174388,0.371147923547162
"fishd",NA,NA,NA,NA,NA,NA,NA,NA,0.00578039505489205,NA,NA,NA,NA,0.177378615458074,0.760984209200396,0.0338353809010314
"benthslar",NA,NA,0.0016031599858012,0.144543328670582,0.567040921765057,0.0493951293997547,0.09066912749549,0.36545236363107,NA,NA,NA,NA,NA,NA,NA,NA
"benthclar",NA,NA,0.0541837076597738,0.107951441506329,0.246127147640978,0.00798337708460234,0.114729844139554,0.150531246403463,NA,NA,NA,NA,NA,NA,NA,NA
"benths",NA,NA,NA,NA,NA,NA,NA,NA,0.284560774821344,NA,NA,NA,0.588350177047244,0,0,0
"benthc",NA,NA,NA,NA,NA,NA,NA,NA,0.0715254367532744,NA,NA,NA,NA,0,0,0
"bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"seal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00401665145869543
"ceta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
