Group,Inshore_harvest_ratio,Offshore_harvest_ratio,Use_1.yes_0.no,Comments
Planktivorous_fish,6.81E-04,5.30E-04,1,NEEDS TO BE UPDATED Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Demersal_fish,3.09E-04,2.04E-04,1,NEEDS TO BE UPDATED Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Migratory_fish,1.06E-03,9.82E-04,1,NEEDS TO BE UPDATED Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Benthos_susp-dep,3.24E-04,1.91E-04,1,NEEDS TO BE UPDATED Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Benthos_carn-scav,9.78E-04,1.18E-04,1,NEEDS TO BE UPDATED Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Zooplankton_carn,3.79E-04,6.10E-04,1,NEEDS TO BE UPDATED Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Birds,1.87E-06,1.42E-06,1,NEEDS TO BE UPDATED Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Pinnipeds,4.61E-05,6.03E-06,1,NEEDS TO BE UPDATED Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Cetaceans,1.96E-04,4.56E-05,1,NEEDS TO BE UPDATED Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Macrophytes,0.00E+00,0.00E+00,0,NEEDS TO BE UPDATED Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
