"Month","SLight","SO_LogeSPM","SI_LogeSPM","SO_temp","D_temp","SI_temp","Rivervol_SI","log10Kvert","mixLscale","D_SO_upwelling","SO_D_downwelling","SO_OceanIN","D_OceanIN","SI_OceanIN","SI_OceanOUT","SO_SI_flow","habS1_pdist","habS2_pdist","habS3_pdist","habD1_pdist","habD2_pdist","habD3_pdist","Inshore_waveheight","DO_log10Kvert","DO_mixLscale","DO_D_upwelling","D_DO_downwelling"
1,0.369291691667666,6.53832711353295,6.41629097795515,3.08008479622516,1.87274972738285,6.93556978574517,8.41144592038558e-06,-1.91629740374496,1,0.0153333085404827,0.00141252742835662,0.0122372175528368,0.0066862585395039,0.00284406035468214,4.30378075595771e-05,0.028078557100429,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,2.96887431144714,-4.27994335017908,0.9,0.00173141000346869,0.00180041367464405
2,3.19101871628857,6.39820299417589,6.40676204182044,2.46320273363803,1.78050744176024,6.38463835658228,7.27151729285713e-06,-1.71927988713674,1,0.0172341406659817,0.0015907717461083,0.0116087148287027,0.0062169739703132,0.00264963213987079,7.93222142777067e-05,0.0290148750492535,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,2.94369156360626,-4.21941462658934,0.9,0.00171591779639625,0.00174921856357495
3,11.5002434035904,6.10530555651172,6.14447700798117,2.10718010531928,1.69207767980602,6.04237126665393,6.13929194884621e-06,-1.77729418764637,1,0.0213266061823405,0.00192099790213894,0.011763004556487,0.00670146210662708,0.0020612835415575,9.9126219902768e-05,0.0242670306511275,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,2.88772667646408,-4.28917838033643,0.9,0.00170659546350286,0.00173621524624132
4,23.6608491579171,5.99306666303461,6.21393395123603,2.20137244363997,1.66701991047003,6.13788490805858,7.1142945472846e-06,-2.06894044909316,0.884163508,0.021898214109046,0.00201856396404498,0.0113941672588365,0.00683978273620587,0.00188748594707837,9.20605941491334e-05,0.0213740204096011,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,2.11071622371674,-4.34336976603181,0.9,0.00160698518591979,0.00166483337409665
5,35.1683235128795,6.26831560026435,6.48895199660446,2.95957680567079,1.70668537132953,7.04972446162637,1.01319920596695e-05,-2.64089637658356,0.607671289,0.0145819366689495,0.00138483054883706,0.011635189586692,0.00651714035954103,0.00160208426077398,6.58937329355959e-05,0.0155256093413886,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,1.63945180177689,-4.43254267984084,0.9,0.00144180330940316,0.00154011280551177
6,38.3095179970737,6.7918426966867,6.82225115823817,4.56215656306942,1.75904493060316,8.74819402482165,7.70645031727972e-06,-4.4190617691554,0.446021763,0.00862174410472685,0.000873915495880306,0.0103002161014729,0.00531271438769723,0.00173010124895402,7.72183832793164e-05,0.0149311897619253,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,1.45868036746979,-4.53575267620835,0.9,0.00142139307978972,0.0015481218827433
7,32.4829134585999,6.75758106253447,6.52609603920332,6.18368773591019,1.82405083353406,10.4475392214596,6.69148579100837e-06,-4.74468138168897,0.411451011,0.00709218236701598,0.000709696619848091,0.00872526157977008,0.00448085055802863,0.00186987853661538,6.10971027825539e-05,0.0172041746567889,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,1.26399610042572,-4.63748435456648,0.9,0.00136277857687936,0.00147370162057712
8,24.0069473787578,6.46414264365061,6.29068912282753,7.40675867036747,1.89009078363412,11.593514808509,5.64784229468851e-06,-4.80182942468312,0.476442673,0.00663723937288691,0.000650625313078373,0.00803665508273416,0.0041646157791628,0.00243138102888052,3.74234482176033e-05,0.0174262449216673,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,1.38721853494644,-4.70910298821902,0.9,0.00136203559639264,0.00145820378340173
9,13.4873330086948,6.30520261329914,6.25643529635617,7.62274092532541,1.93517191638347,11.7770517270444,6.45251292791181e-06,-4.43127519670143,0.639261454,0.00742164312965396,0.00061544228084245,0.00890934467844505,0.0048750178130949,0.00301156698992388,6.20731261695956e-05,0.0186915394297138,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,1.88318481445312,-4.54019994839744,0.9,0.00146272299802171,0.00146794529809639
10,4.88604657483132,6.43495516722152,6.34450784710347,6.78023973878961,1.95017015646912,10.6855286240965,9.22064313459231e-06,-3.40217798206276,0.922987598,0.00857279696029264,0.000652218509319576,0.0115529825899024,0.00635508456468176,0.00320868601539448,4.97239774262537e-05,0.0233260323096588,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,2.39695960283279,-4.36515117324226,0.9,0.00162061208528661,0.00156530395941602
11,0.804843116193629,6.50003755062899,6.47309789760248,5.33449560541271,1.96320455939444,8.88254285104441,1.03043030831818e-05,-2.64649879941038,1,0.0106858998591158,0.000885306682753113,0.0115659643500819,0.00618867402851953,0.00316360906281511,7.52694134110581e-05,0.0246176468268722,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,2.59858301877975,-4.27142666744868,0.9,0.00166966436518042,0.00164158245057748
