"Value","Description"
1.53117076136029e-05,"water_column_detritus_mineralisation_rate"
1.33705059350313e-07,"upper_layer_water_column_nitrification_rate"
1.8403809692533e-09,"upper_layer_water_column_denitrification_rate"
0.0222279314330501,"lower_layer_water_column_nitrification_rate"
3.82624455109526e-07,"lower_layer_water_column_denitrification_rate"
0.499324279027864,"proportion_of_detritus_or_corpses_converted_to_refractory_material_max_0.5"
9.35596162984384e-05,"mineralisation_rate_scaling_parameter_for_refractory_detritus"
0.0290233010143697,"proportion_of_refractory_detritus_digestible_by_benthos"
0.0124229133730936,"sediment_detritus_mineralisation_rate"
-8.87713370151586e-09,"grain_size_sensitivity_for_sediment_detritus_mineralisation_rate"
8.67168165050675e-05,"sediment_nitrification_rate"
-3.43762842758706e-06,"grain_size_sensitivity_for_sediment_nitrification_rate"
0.607676499932757,"sediment_denitrification_rate"
1.295704233008e-07,"grain_size_sensitivity_for_sediment_denitrification_rate"
0.00990522809370756,"conversion_rate_of_discards_to_corpses"
0.179296805824418,"conversion_rate_of_corpses_to_sediment_detritus"
0.0199449813027955,"conversion_rate_of_kelp_debris_to_detritus"
0.11737891571147,"detritus_sinking_rate_in_the_upper_layers"
5.81884337524726e-06,"detritus_sinking_rate_in_the_lower_layer"
6.54563666458664e-05,"density_dependent_self_shading_parameter_for_kelp"
0.00150022343812302,"Wave_dependent_beach_cast_rate_for_kelp_debris"
1.04014669285556,"fitting_parameter_for_undersize_demersal_fish_function"
