"consumer","Cumax","Cddexud","Numax","Nhsat","BdeApar","ddmort","migration_coef","max_exploitable_f"
"kelp",0.0216195018404548,1.79232902520987e-08,0.00690545526647098,18.6594264490307,NA,3.29769172587293e-08,NA,0.0255532305849481
"phyt_s",NA,NA,2.89695104367652,6.5895329783766,NA,0.0786990409494296,NA,NA
"phyt_d",NA,NA,NA,NA,NA,0.0737136848979374,NA,NA
"omnivzoo",NA,NA,1.64297729531729,0.664143082501775,NA,3.19067741554558e-05,NA,NA
"carnzoo",NA,NA,0.132956783943968,0.187613904753755,NA,0.000167699929400746,NA,0.00297975126011891
"fishplar",NA,NA,0.376516621986464,1.3911708063418,NA,3.77571328364556e-06,NA,NA
"fishdlar",NA,NA,0.227218465713663,0.405414680019745,NA,5.83183723167115e-07,NA,NA
"fishp",NA,NA,0.232893080484401,0.508776787837668,NA,4.84374464789247e-05,0.00281858715854169,0.995378504494427
"fishm",NA,NA,0.0800057710930122,0.333691613414365,NA,1.99207300862195e-06,4.97003908235338e-05,0.384728588921637
"fishd",NA,NA,0.0303939637441901,0.109945427497179,NA,0.000129560392085415,0.00208483057962174,0.504092425944897
"benthslar",NA,NA,0.321745765990788,0.623245682334602,NA,4.3405498929917e-06,NA,NA
"benthclar",NA,NA,0.585246284314081,0.552390412886899,NA,1.76346299037921e-07,NA,NA
"benths",NA,NA,0.649267407014043,0.227868279703704,NA,0.000264740719355489,NA,0.0392152990820249
"benthc",NA,NA,0.0294277281294738,2.26920197735083,NA,0.000292260848814571,NA,0.0965168981467385
"bird",NA,NA,0.597048193965554,0.139713707291106,4529.50873095831,0.00445698474864358,0.00781064144530051,0.106286442048396
"seal",NA,NA,0.493161010220726,0.287403677786478,2258.8172468683,0.000583715418243925,0.00866341260284966,0.225366409706129
"ceta",NA,NA,0.399813711021135,0.100006924302924,1137.26869146805,0.000539928629935355,0.00860199598733728,0.251880777693281
