"Group","Regional_harvest_ratio","Comments"
"Planktivorous_fish",0.0568687580452435,"Assembled by Tanguy"
"Demersal_fish",0.174824889991327,"Assembled by Tanguy"
"Migratory_fish",0.026487699748324,"Assembled by Tanguy"
"Benthos_susp-dep",4.91064460628389e-05,"Assembled by Tanguy"
"Benthos_carn-scav",0.000215706258554769,"Assembled by Tanguy"
"Zooplankton_carn",5.24849627069322e-07,"Assembled by Tanguy"
"Birds",0.0205947321903212,"Assembled by Tanguy"
"Pinnipeds",0.000110590522775289,"Assembled by Tanguy"
"Cetaceans",2.32939442016769e-07,"Assembled by Tanguy"
"Macrophytes",0,"Assembled by Tanguy"
