"","kelp","phyt","omnivzoo","carnzoo","fishplar","fishdlar","fishp","fishm","fishd","benthslar","benthclar","benths","benthc","bird","seal","ceta"
"ammonia",0.292950637591549,0.20471870241267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nitrate",0.707049362408451,0.79528129758733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suspdet",NA,NA,0.000442239020537402,NA,NA,NA,NA,NA,NA,0.291166633701016,0.311407682434339,0.320543833936284,NA,NA,NA,NA
"seddet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.431374677584427,NA,NA,NA,NA
"kelpdebris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00695592169503303,NA,NA,NA
"corpses",NA,NA,NA,NA,NA,NA,NA,NA,0.00635476867541082,NA,NA,NA,0.393863391853033,0.0148225893295059,0.0522828361192901,NA
"discards",NA,NA,NA,NA,NA,NA,NA,NA,0.10234784421075,NA,NA,NA,NA,0.425396072397502,0.0538103088683968,0.12708712504918
"kelp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0105858953405535,NA,NA,NA
"phyt",NA,NA,0.943745402162296,NA,NA,NA,NA,NA,NA,0.708833366298984,0.688592317565661,0.248081488479289,NA,NA,NA,NA
"omnivzoo",NA,NA,NA,0.711276231474124,0.186909296715076,0.942509732155314,0.404840004895779,0.424365563080077,NA,NA,NA,NA,NA,NA,NA,0.0105445713928851
"carnzoo",NA,NA,NA,NA,NA,NA,0.11918432351578,0.0073123138043442,0.0551168599278522,NA,NA,NA,NA,0.0810092493815969,0,0.444388809584562
"fishplar",NA,NA,NA,0.0163151092457959,NA,NA,0.0866413740582989,0.0166927731629645,0.156680180272722,NA,NA,NA,NA,NA,NA,NA
"fishdlar",NA,NA,NA,0.0199634051802236,NA,NA,0.184055977533296,0.0360309533896205,0.0605805274559725,NA,NA,NA,NA,NA,NA,NA
"fishp",NA,NA,NA,NA,NA,NA,NA,NA,0.242355545276342,NA,NA,NA,NA,0.118812569285499,0.091216310994478,0.00897953806648443
"fishm",NA,NA,NA,NA,NA,NA,NA,NA,0.014616359469599,NA,NA,NA,NA,0.182580904147823,0.0417063348174388,0.371147923547162
"fishd",NA,NA,NA,NA,NA,NA,NA,NA,0.00577974990759493,NA,NA,NA,NA,0.177378615458074,0.760984209200396,0.0338353809010314
"benthslar",NA,NA,0.00160205291591131,0.14447648372226,0.566811411890206,0.0494897824633991,0.0907525840732854,0.365054651464614,NA,NA,NA,NA,NA,NA,NA,NA
"benthclar",NA,NA,0.0542103059012556,0.107968770377596,0.246279291394718,0.0080004853812867,0.11452573592356,0.150543745098381,NA,NA,NA,NA,NA,NA,NA,NA
"benths",NA,NA,NA,NA,NA,NA,NA,NA,0.284607187507951,NA,NA,NA,0.588594791111381,0,0,0
"benthc",NA,NA,NA,NA,NA,NA,NA,NA,0.071560977295806,NA,NA,NA,NA,0,0,0
"bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"seal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00401665145869543
"ceta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
