"consumer","Cumax","Cddexud","Numax","Nhsat","BdeApar","ddmort","migration_coef","max_exploitable_f"
"kelp",0.0246997461867786,1.7815255418389e-08,0.00753601404174316,19.4709153419634,NA,3.29792102798463e-08,NA,0.0256363012193928
"phyt_s",NA,NA,2.73536071186273,7.03706120476526,NA,0.0787065832428227,NA,NA
"phyt_d",NA,NA,NA,NA,NA,0.0737091303997451,NA,NA
"omnivzoo",NA,NA,1.60421306599156,0.687933617284919,NA,3.1907144826237e-05,NA,NA
"carnzoo",NA,NA,0.172421205399894,0.169733281777005,NA,0.000167702385125803,NA,0.00297592656569836
"fishplar",NA,NA,0.374042542240619,1.29000441006169,NA,3.77627422743537e-06,NA,NA
"fishdlar",NA,NA,0.304892520032661,0.350762478885099,NA,5.83151233242246e-07,NA,NA
"fishp",NA,NA,0.286427776672132,0.431288895442076,NA,4.84360184866562e-05,0.00278103715643244,0.975347445308191
"fishm",NA,NA,0.0805366913185034,0.328019319445915,NA,1.99211639368144e-06,5.0075291792769e-05,0.393279764703157
"fishd",NA,NA,0.03318124914289,0.117114700148521,NA,0.000129561454395483,0.00208201387617052,0.510981116665546
"benthslar",NA,NA,0.296743847562728,0.595469857296198,NA,4.34046485607526e-06,NA,NA
"benthclar",NA,NA,0.471206016152713,0.58650313390883,NA,1.76329557416526e-07,NA,NA
"benths",NA,NA,0.6280228401978,0.319363828603532,NA,0.000264743965434103,NA,0.038609863545524
"benthc",NA,NA,0.0300497637836342,2.3756123918197,NA,0.00029226045913984,NA,0.0968751994840315
"bird",NA,NA,0.597048193965554,0.139713707291106,4529.50873095831,0.00445698474864358,0.00783519421614825,0.109641927992151
"seal",NA,NA,0.493161010220726,0.287403677786478,2258.8172468683,0.000583715418243925,0.00867582030710269,0.224485275603773
"ceta",NA,NA,0.399813711021135,0.100006924302924,1137.26869146805,0.000539928629935355,0.00836177185183919,0.254290323084081
