"Value","Description"
58,"Pelagic_fish_spawning_start_day"
21,"Pelagic_fish_spawning_duration_(days)"
255,"Pelagic_fish_recruitment_start_day"
150,"Pelagic_fish_recruitment_duration_(days)"
43,"Demersal_fish_spawning_start_day"
45,"Demersal_fish_spawning_duration_(days)"
95,"Demersal_fish_recruitment_start_day"
30,"Demersal_fish_recruitment_duration_(days)"
20,"Filt/dep_benthos_spawning_start_day"
50,"Filt/dep_benthos_spawning_duration_(days)"
56,"Filt/dep_benthos_recruitment_start_day"
56,"Filt/dep_benthos_recruitment_duration_(days)"
10,"Carn/scav_benthos_spawning_start_day"
110,"Carn/scav_benthos_spawning_duration_(days)"
240,"Carn/scav_benthos_recruitment_start_day"
90,"Carn/scav_benthos_recruitment_duration_(days)"
1,"Migratory_fish_switch_(0=off_1=on)"
11230000,"Migratory_fish_ocean_biomass_(Tonnes_wet_weight)"
0.12,"Migratory_fish_carbon_to_wet_weight_(g/g)"
766883.793204946,"Model_domain_sea_surface_area_(km2)"
0.45,"Propn_of_ocean_population_entering_model_domain_each_year"
91,"Imigration_start_day"
270,"Imigration_end_day_(must_be_later_than_start_day_even_if_migration_disabled)"
0.2,"Propn_of_peak_popn_in_model_domain_which_remains_and_does_not_emigrate"
300,"Emigration_start_day"
360,"Emigration_end_day_(must_be_later_than_start_day_even_if_migration_disabled)"
