Month,SLight,SO_LogeSPM,SI_LogeSPM,SO_temp,D_temp,SI_temp,Rivervol_SI,log10Kvert,mixLscale,D_SO_upwelling,SO_D_downwelling,SO_OceanIN,D_OceanIN,SI_OceanIN,SI_OceanOUT,SO_SI_flow,habS1_pdist,habS2_pdist,habS3_pdist,habD1_pdist,habD2_pdist,habD3_pdist,Inshore_waveheight,DO_log10Kvert,DO_mixLscale,DO_D_upwelling,D_DO_downwelling
1,40.65434012,6.352824221,8.098900501,18.92022244,12.90823614,19.93766027,4.27E-05,-2.524989222,1,0.03255229,0.005485443,0.008749159,0.004419496,0.001814041,0.001074468,0.058682785,0.162939944,0.162939944,0.162939944,0.000146207,0.000146207,0.000146207,1.239383364,0,0.9,0,0
2,44.64040599,6.69162597,8.274969191,18.03380209,12.34913116,19.20236859,3.82E-05,-2.425089786,1,0.04463338,0.005179518,0.005862632,0.00516528,0.001490358,0.002414022,0.080406684,0.162939944,0.162939944,0.162939944,0.000146207,0.000146207,0.000146207,1.382410705,0,0.9,0,0
3,51.96844196,6.908628897,8.228698421,16.99877341,12.04359675,18.3040884,3.47E-05,-2.376988354,1,0.053781692,0.005790844,0.00639765,0.004779653,0.001273468,0.003813456,0.076004865,0.162939944,0.162939944,0.162939944,0.000146207,0.000146207,0.000146207,1.338984346,0,0.9,0,0
4,53.96738225,7.08689314,8.114993941,16.88357812,12.1886746,18.20821979,3.19E-05,-2.341358213,0.884163508,0.048538978,0.006114631,0.003702511,0.004997245,0.000775642,0.004285803,0.060348467,0.162939944,0.162939944,0.162939944,0.000146207,0.000146207,0.000146207,1.329728711,0,0.9,0,0
5,52.88481373,6.787191172,7.895820879,17.84693767,12.6758393,19.05257625,2.96E-05,-2.844892325,0.607671289,0.03480057,0.007064904,0.004852528,0.006594117,0.000649134,0.004546745,0.065841751,0.162939944,0.162939944,0.162939944,0.000146207,0.000146207,0.000146207,1.210816872,0,0.9,0,0
6,50.77817195,6.123533605,7.707713568,19.19273333,12.97357768,20.66842242,2.73E-05,-2.530917391,0.446021763,0.025471034,0.00947308,0.006686781,0.006463984,0.000255106,0.003122646,0.071416517,0.162939944,0.162939944,0.162939944,0.000146207,0.000146207,0.000146207,1.095225132,0,0.9,0,0
7,44.70711454,6.090611992,7.669070618,21.82705277,12.98020407,24.39708485,2.49E-05,-3.043485278,0.411451011,0.026165833,0.008595156,0.006232599,0.007513359,0.000617259,0.001537571,0.075412909,0.162939944,0.162939944,0.162939944,0.000146207,0.000146207,0.000146207,1.08217237,0,0.9,0,0
8,42.10509554,6.232978819,7.826187357,22.47141048,12.57967076,25.50060814,2.73E-05,-2.953539051,0.476442673,0.025560553,0.004409943,0.002540063,0.005581921,0.000583005,0.000960129,0.053626735,0.162939944,0.162939944,0.162939944,0.000146207,0.000146207,0.000146207,1.1588853,0,0.9,0,0
9,39.17980637,6.227473779,7.666068462,21.79853955,12.47244499,25.02560854,4.02E-05,-2.638643783,0.639261454,0.024768601,0.004970766,0.002877629,0.003237228,0.000627925,0.001126723,0.06715762,0.162939944,0.162939944,0.162939944,0.000146207,0.000146207,0.000146207,1.113191795,0,0.9,0,0
10,42.53725282,6.053116899,7.561937568,21.00200907,12.58167487,24.27193781,4.95E-05,-2.767305325,0.922987598,0.022735412,0.006428288,0.003004659,0.003648371,0.000495076,0.000552737,0.053797307,0.162939944,0.162939944,0.162939944,0.000146207,0.000146207,0.000146207,1.093133831,0,0.9,0,0
11,40.9534558,5.995277867,7.726018313,19.48088674,12.8527406,21.93122759,5.02E-05,-2.588816119,1,0.028656106,0.006731206,0.007445315,0.004068623,0.000815959,0.000745258,0.055045923,0.162939944,0.162939944,0.162939944,0.000146207,0.000146207,0.000146207,1.205693603,0,0.9,0,0
12,39.54782184,6.054650451,7.934645182,19.41718173,13.13897664,20.88393371,4.81E-05,-2.594430946,1,0.036529856,0.006586309,0.01026935,0.005397674,0.001520774,0.000815727,0.064832533,0.162939944,0.162939944,0.162939944,0.000146207,0.000146207,0.000146207,1.229636407,0,0.9,0,0
