Group,Inshore_harvest_ratio,Offshore_harvest_ratio,Use_1.yes_0.no,Comments
Planktivorous_fish,9.280295E-04,7.871881E-04,1,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Demersal_fish,1.498564E-03,9.334906E-04,1,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Migratory_fish,2.307450E-03,2.279407E-03,1,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Benthos_susp-dep,4.119334E-04,2.423150E-04,1,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Benthos_carn-scav,6.866935E-04,1.086148E-04,1,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Zooplankton_carn,1.947104E-03,3.040859E-03,1,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Birds,7.798407E-06,3.514586E-06,0,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Pinnipeds,3.863087E-04,5.053996E-05,0,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Cetaceans,1.567597E-03,2.228036E-04,1,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Macrophytes,0.000000E+00,0.000000E+00,0,No_kelp_harvesting_in_the_North_Sea_model
