"Month","SLight","SO_LogeSPM","SI_LogeSPM","SO_temp","D_temp","SI_temp","Rivervol_SI","log10Kvert","mixLscale","D_SO_upwelling","SO_D_downwelling","SO_OceanIN","D_OceanIN","SI_OceanIN","SI_OceanOUT","SO_SI_flow","habS1_pdist","habS2_pdist","habS3_pdist","habD1_pdist","habD2_pdist","habD3_pdist","Inshore_waveheight","DO_log10Kvert","DO_mixLscale","DO_D_upwelling","D_DO_downwelling"
1,40.1679936862893,6.35282422054567,8.09890050053266,21.1915533224695,12.9492781625907,22.2797826812758,5.81406638732731e-05,-3.03819928482464,1,0.0298765847367033,0.00655889737673174,0.00867192093063658,0.00111948285809043,0.00123409418273396,0.00126248650824032,0.00165121768986755,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.23938336372375,0,0.9,0,0
2,45.1103803488601,6.6916259702511,8.2749691905727,19.8721073607546,12.3342944944347,21.2620635010507,5.03334743686688e-05,-2.91072113166415,1,0.0373210422900132,0.00336923173985031,0.00579608919706548,0.000592041634041807,0.00137927976146299,0.00140428354504329,0.00143522889024312,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.38241070508957,0,0.9,0,0
3,48.523592152388,6.90862889726653,8.22869842081476,17.7537593813891,11.8058236826694,19.3254200372821,4.52634414202542e-05,-2.54256239954452,1,0.0365111380117469,0.00393562347134411,0.00698905986496572,0.000477040330463712,0.00141080855498109,0.00233962136832439,0.00143619581995073,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.33898434638977,0,0.9,0,0
4,50.3747791416965,7.08689313985691,8.11499394058594,17.2902131983103,12.1874141153852,19.0098045757115,4.07738856831159e-05,-2.5750715375775,0.884163508,0.0403608213791924,0.0074792475918854,0.00690190030603672,0.000788449633163322,0.000709551479771978,0.00221978338017968,0.00165077390934323,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.3297287106514,0,0.9,0,0
5,48.5227022389818,6.78719117223001,7.89582087886654,18.185920507795,12.8800825411478,19.9200103344179,3.7582462652358e-05,-2.708066466392,0.607671289,0.0402784827066371,0.0108382646090868,0.00965635740983892,0.00116514437932811,0.000657329699717902,0.00206680285814147,0.00192470678558371,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.2108168721199,0,0.9,0,0
6,44.1098323496472,6.12353360541767,7.70771356758187,19.5424560371737,12.6234397081197,22.0649849459232,3.87179160092402e-05,-2.66208635807028,0.446021763,0.0360155431412181,0.00939346706296797,0.0100574481265109,0.000967493227018159,0.000973326405644252,0.00220046778247709,0.00168495660668882,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.09522513151169,0,0.9,0,0
7,38.7179983012005,6.09061199154992,7.66907061838036,20.7864294075373,12.5676803478095,23.7208927855195,3.91506938363245e-05,-2.76586186516068,0.411451011,0.032173913105613,0.00710431201829147,0.00195652166152515,0.001120715582825,0.000521992340888682,0.00336112391486141,0.00122185822303186,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.08217236995697,0,0.9,0,0
8,38.3521322340802,6.23297881867569,7.82618735653828,21.1157651777963,11.9679022049327,24.3279653950305,3.24777665431052e-05,-2.82385696037121,0.476442673,0.0241736784333754,0.00527272151431344,0.00321402385865655,0.000821144963176654,0.000298775074130923,0.00181698003321286,0.000934701859257351,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.15888530015945,0,0.9,0,0
9,38.2211980053578,6.22747377946964,7.66606846189713,20.5223192901357,12.1646076914113,23.8496488460426,4.81317882721406e-05,-2.72290365700748,0.639261454,0.0287142410438875,0.00473909126284885,0.00294349813756985,0.000485761070031448,0.00077943851158479,0.0033013387942979,0.00117604679371612,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.11319179534912,0,0.9,0,0
10,38.765217678536,6.05311689945196,7.56193756766375,19.8723365525799,12.245686927828,23.1544354541739,6.74613296188551e-05,-2.74410618827445,0.922987598,0.0320867039991855,0.00601600166714774,0.00250331485080403,0.000432400322213522,0.000496383681895636,0.00189703078490791,0.000965076675309342,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.09313383102417,0,0.9,0,0
11,39.0245788076524,5.99527786715244,7.72601831314267,18.7804191134785,12.6583121966662,21.546181115576,6.85702261970265e-05,-3.05065132445505,1,0.0213789472188378,0.0057023163056888,0.00836511411823831,0.000668240321639229,0.00211015431771974,0.000555922918636203,0.00128074629165651,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.20569360256195,0,0.9,0,0
12,38.0335301443605,6.05465045074582,7.93464518156814,20.2578204764069,13.2687283102482,22.2399979026585,6.36960948515469e-05,-3.11792903180765,1,0.0140691262327043,0.0073178182779483,0.0216932498733704,0.000717961508089698,0.00366391933838388,0.00153340191126598,0.00309188708008592,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.2296364068985,0,0.9,0,0
