Gear_name,Gear_code,Power_PF,Power_DF,Power_MF,Power_FDB,Power_CSB,Power_CZ,Power_BD,Power_SL,Power_CT,Power_KP
Small_scale_gill_encircle_nets,SSEN,16.99364533,12.6951727,0.826440185,0.260543953,0.151937499,0.098608736,0,0,0,0
Small_scale_line_fishing,SSLF,1.431838739,2.798145072,0.426110258,0.00177729,0,0.223280159,0.001326487,0,0,0
Small_scale_seine_nets,SSSN,11.09256193,4.859999195,0.788878136,0.009969702,0.119561627,0.001472408,1.89616E-07,0,0,0
Small_scale_inshore_gears,SSIG,1.505162889,13.23377904,0.47752427,2.321087904,0.791444595,0.297636658,0,0,0,0
SenGam_bottom_trawlers,SenBT,1119.042923,4674.200068,298.195104,0.729779674,166.0627231,751.196361,0,0,0,0
Foreign_bottom_trawlers,ForBT,648.8471808,5698.703502,894.1907515,0.259071158,42.06434838,273.0085512,0,0,0,0
SenGam_pole_and_line,SGPL,5.552326619,0,525.9434153,0,0,0,0.001316457,0,0,0
Foreign_pole_and_line,ForPL,2.631535383,0.002627911,215.773152,0,0,0,0,0,0,0
SenGam_pelagic_trawl_seine,SGPTS,478.7682747,592.4109544,20.57110653,0,0,0,1.72185E-05,0,0,0
Foreign_pelagic_trawl_seine,ForPTS,1329.699915,839.8098737,25.92505952,0,0.004190472,0.440593767,0,0,0,0
SenGam_longline_gillnet,SGLLGN,153.2639845,4.079810456,398.357473,0,0,0,0.000211548,0,0,0
Foreign_longline_gillnet,ForLLGN,91.15995595,7.60481875,78.59595879,0,0,0,0,0,0,0
