"Month","SO_nitrate","SO_ammonia","SO_phyt","SO_detritus","D_nitrate","D_ammonia","D_phyt","D_detritus","SI_nitrate","SI_ammonia","SI_phyt","SI_detritus","RIV_nitrate","RIV_ammonia","RIV_detritus","SO_ATM_nitrate_flux","SO_ATM_ammonia_flux","SI_ATM_nitrate_flux","SI_ATM_ammonia_flux","SI_other_nitrate_flux","SI_other_ammonia_flux","SO_other_nitrate_flux","SO_other_ammonia_flux","DO_nitrate","DO_ammonia","DO_detritus"
1,10.8627018966324,0.381492714793798,0.388614406252281,0.932605434854828,33.5074281977295,0.208133220818217,0.000134791933470747,0.37181063079503,15.0846805163294,0.480428504526973,0.427917741763653,0.897183414705997,28.2730792958314,3.14145325509238,0,0.00842336955810747,0.00523370307063349,0.0104156150031955,0.0063663481601647,0,0,0,0,0,0,0
2,14.0380997082603,0.370225384075998,0.431919547333977,0.765601597361809,34.2707361527457,0.192880532421588,1.66182114342749e-05,0.271506051465207,18.0149184672707,0.455182100082377,0.427863067524915,0.768437821169436,22.8920379052876,2.54355976725417,0,0.00892582840701063,0.00373183620768717,0.0104542637826681,0.00420845642253818,0,0,0,0,0,0,0
3,16.8479830244127,0.35967171707444,0.521997919410365,0.675722287334457,34.1961778248478,0.188661952015008,2.91774965770717e-06,0.23419409761877,21.1459747071087,0.407931933484901,0.338520008246722,0.558074614271628,20.1476241674213,2.23862490749126,0,0.0111717641705536,0.0030202662340507,0.0130769489268656,0.00344914073566584,0,0,0,0,0,0,0
4,16.8953961032766,0.373523196231438,0.568361439379729,0.831095283975155,33.7087885747157,0.186500071254541,6.7226910783037e-06,0.243119744137614,21.192131282438,0.421483916696906,0.357216988452867,0.553571207907845,17.9913257869926,1.99903619855474,0,0.0124766160955741,0.00416958577088302,0.0142330526640373,0.00473795672102521,0,0,0,0,0,0,0
5,15.3186246881614,0.443775385091551,0.646242994874975,1.37354650427432,33.1159793459276,0.192135694744636,6.41249239908547e-05,0.317324373292247,17.9135171908136,0.556490932960892,0.614733707096545,0.895303665453697,15.8500866045582,1.7611207338398,0,0.0129484750699544,0.00527124194222318,0.0138508384480798,0.00508179663345733,0,0,0,0,0,0,0
6,13.200719608554,0.479074519164295,0.649042880007803,1.96798862435983,33.4251469290772,0.198303950602895,0.000213973790936773,0.40134541149841,16.3420556241896,0.531004020324993,0.545387752918568,1.43525898663381,16.065822470578,1.78509138561978,0,0.0127899568040101,0.00538980857180875,0.0133328512310982,0.00588761747903412,0,0,0,0,0,0,0
7,12.6937623879261,0.493975589494022,0.73885516276874,2.15673349408755,34.4502974431142,0.187473558905637,7.36972723207276e-05,0.411475264035805,12.7439892003296,0.611002749576767,0.750589627811335,1.85435465100667,111.274279700826,12.3638088556473,0,0.0118100100458698,0.00646847095297572,0.0122200417619902,0.00725637140688122,0,0,0,0,0,0,0
8,12.0589706293203,0.497560321331053,0.716127917242764,2.06847260711407,34.0152226647579,0.197127862310682,0.000160896101390001,0.459273319618472,11.2654307234501,0.58560000793694,0.681081726270079,1.92181031264377,409.332488246427,45.4813875829364,0,0.0153947966001619,0.00961514115805656,0.0165432766680756,0.0115244162766786,0,0,0,0,0,0,0
9,12.6631519249063,0.491890469559688,0.702163009715449,1.88846291238813,33.8750378489453,0.199592276001243,0.000149023628591817,0.443264552691288,13.1270418237681,0.550370361957153,0.592043865454182,1.94173695317888,792.385221946146,88.0428024384607,0,0.0152722732829196,0.00930558263678991,0.0164472163167028,0.0107971236797138,0,0,0,0,0,0,0
10,13.8691112038271,0.488603611230033,0.661234519343666,1.87416399317656,33.6033762248175,0.201657933728171,6.46461206780803e-05,0.427655506388407,15.88085005223,0.581166684304313,0.624619990718893,1.76498927533716,463.277365867459,51.4752628741622,0,0.020519610116696,0.00732248200507071,0.021485993767389,0.00746774976463636,0,0,0,0,0,0,0
11,14.2050672835925,0.491068246740875,0.636685159051537,1.83251007364142,32.9510830563883,0.206587060943915,2.60737008175139e-05,0.427454963296847,17.571801164215,0.629065710129167,0.740453416176019,1.54781000285166,115.73841699885,12.8598241109833,0,0.00949354842305183,0.00332563818942401,0.011412314682578,0.00378944292952794,0,0,0,0,0,0,0
12,11.1917999868222,0.438752111935899,0.46452897656909,1.34311772224572,32.7211830331388,0.212983356795754,0.000282769128268962,0.423197083027996,14.7738557939907,0.600893077284499,0.514209728901028,1.02540109864226,41.4328569104801,4.60365076783112,0,0.00848009879808135,0.00420380359588509,0.0103469394052976,0.00475620931928574,0,0,0,0,0,0,0
