"Month","SLight","SO_LogeSPM","SI_LogeSPM","SO_temp","D_temp","SI_temp","Rivervol_SI","log10Kvert","mixLscale","D_SO_upwelling","SO_D_downwelling","SO_OceanIN","D_OceanIN","SI_OceanIN","SI_OceanOUT","SO_SI_flow","habS1_pdist","habS2_pdist","habS3_pdist","habD1_pdist","habD2_pdist","habD3_pdist","Inshore_waveheight","DO_log10Kvert","DO_mixLscale","DO_D_upwelling","D_DO_downwelling"
1,40.0788971647102,6.35282422054567,8.09890050053266,21.2618887081328,13.0227834669085,22.2308957029609,5.11899469928308e-05,-2.77922992167262,1,0.0297149951511904,0.00647300388703575,0.00989661340406746,0.00106762377474142,0.00138721905765587,0.001137731523839,0.00177633653093821,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.23938336372375,0,0.9,0,0
2,44.8977997305629,6.6916259702511,8.2749691905727,19.8157693440628,12.3228023517352,21.1446807895567,4.54568772805896e-05,-2.80086557309418,1,0.0360396128436482,0.00401536158609846,0.00604379480300698,0.000659386955827934,0.00138174062941255,0.00148524861192688,0.00141947558517244,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.38241070508957,0,0.9,0,0
3,48.7694256360765,6.90862889726653,8.22869842081476,17.8106793496467,11.8923091397157,19.3698773244286,4.11054446241441e-05,-2.64529797650303,1,0.0347479155929066,0.0040715249455431,0.00626320445543925,0.00048874811031179,0.001236655592958,0.002287018944182,0.00144585566057068,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.33898434638977,0,0.9,0,0
4,50.645659703709,7.08689313985691,8.11499394058594,17.2711566792286,12.2102152615104,18.8410254890178,3.78435321015272e-05,-2.53138109008766,0.884163508,0.0379349058924408,0.00693415662664882,0.00539818816197028,0.000765465379076748,0.000612909849955671,0.00249028491554362,0.00138848499796712,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.3297287106514,0,0.9,0,0
5,48.4646882377282,6.78719117223001,7.89582087886654,18.2857309718115,12.9374998067931,20.0196121752247,3.47777900456873e-05,-2.58273934053271,0.607671289,0.0327791995158485,0.0101348016236779,0.0127817379037964,0.00106482020601281,0.00105575204513078,0.00238704015728577,0.002284703940982,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.2108168721199,0,0.9,0,0
6,44.250540661356,6.12353360541767,7.70771356758187,19.7321747516001,12.6234557920875,22.2342051899267,3.339714694675e-05,-2.70593328227195,0.446021763,0.0362609721910113,0.0081129228350062,0.00694875471409952,0.00112971903751086,0.000812328640316829,0.00237776757202189,0.00142274347392506,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.09522513151169,0,0.9,0,0
7,39.124016086995,6.09061199154992,7.66907061838036,20.5881237806401,12.4417217694181,23.5729016058647,3.1096359169941e-05,-2.74137942121046,0.411451011,0.0302925097423413,0.0068495438308687,0.00272985152385043,0.000940538492825596,0.000353381420472203,0.00281806177646797,0.00108517059560669,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.08217236995697,0,0.9,0,0
8,38.4424557836758,6.23297881867569,7.82618735653828,21.0019453144973,12.1307532580375,24.2677169531202,2.85508071967132e-05,-2.76224006356215,0.476442673,0.0262670458465906,0.0066957664668156,0.00290923003234683,0.000728315906101975,0.000311428956466748,0.00183682609371367,0.00107523831329948,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.15888530015945,0,0.9,0,0
9,38.5082357199865,6.22747377946964,7.66606846189713,20.5891440776461,12.2090390980911,23.9958187185012,4.47836766232463e-05,-2.68022925271703,0.639261454,0.0297642699957253,0.00500425524494647,0.0029350268272074,0.00042293195198938,0.000717618770522561,0.00275390576494432,0.00102761458249125,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.11319179534912,0,0.9,0,0
10,38.7488409907114,6.05311689945196,7.56193756766375,19.9516833362907,12.2998983322224,23.3173230627231,6.05518819222455e-05,-2.56992931292076,0.922987598,0.0292255964038944,0.00644957126833994,0.00248975773123462,0.000416913731893201,0.00048964170713206,0.00158006257955312,0.000851932197653933,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.09313383102417,0,0.9,0,0
11,38.5947736481781,5.99527786715244,7.72601831314267,18.7918629349895,12.6611651243864,21.5329330011454,6.12729574554818e-05,-2.94357245936889,1,0.0225514310902726,0.00623745935083429,0.00820366752017454,0.00059024863124029,0.00190671127594772,0.000557223662281094,0.00118861670113525,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.20569360256195,0,0.9,0,0
12,38.4324608647975,6.05465045074582,7.93464518156814,20.2334113410008,13.286538868403,22.2834100013,5.78114498406958e-05,-3.24516194771682,1,0.0131557768846518,0.00721892677426119,0.0214756079373765,0.000796042104544905,0.003960333023916,0.00158838068100514,0.00309227302632627,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.2296364068985,0,0.9,0,0
