"Month","SLight","SO_LogeSPM","SI_LogeSPM","SO_temp","D_temp","SI_temp","Rivervol_SI","log10Kvert","mixLscale","D_SO_upwelling","SO_D_downwelling","SO_OceanIN","D_OceanIN","SI_OceanIN","SI_OceanOUT","SO_SI_flow","habS1_pdist","habS2_pdist","habS3_pdist","habD1_pdist","habD2_pdist","habD3_pdist","Inshore_waveheight","DO_log10Kvert","DO_mixLscale","DO_D_upwelling","D_DO_downwelling"
1,39.7648171365141,6.35282422054567,8.09890050053266,20.2187313303902,14.2828631169834,21.2083659291112,4.2243513528459e-05,-2.491902704354,1,0.0411045724928156,0.00595736637703214,0.00616222227404237,0.000403392906898542,0.00146796310784957,0.00185699212526153,0.00131305789996348,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.23938336372375,0,0.9,0,0
2,45.9226008881805,6.6916259702511,8.2749691905727,19.2841564187341,14.011647325316,20.3787480902901,3.78588173189256e-05,-2.44931918416088,1,0.0459252699971699,0.00607554436630503,0.00578249255308904,0.000481041980584356,0.00137574818308309,0.00270167765980676,0.00141883018111514,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.38241070508957,0,0.9,0,0
3,51.6497224407969,6.90862889726653,8.22869842081476,18.7467641082421,13.8353244325258,19.9096953715336,3.43548064005035e-05,-2.33753961357479,1,0.0509042064398598,0.00607855778741486,0.00539194070883288,0.000578394408912014,0.00111116176305939,0.00317936809428214,0.001458398712406,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.33898434638977,0,0.9,0,0
4,53.6932887995043,7.08689313985691,8.11499394058594,18.5385270004606,13.8499500802378,19.7059141738735,3.16001871449053e-05,-2.62323036560421,0.884163508,0.0499311976445345,0.00769372264494556,0.00461762805383779,0.000488066653774717,0.0010484078601108,0.00468009439846324,0.00163204036138724,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.3297287106514,0,0.9,0,0
5,52.4677956428466,6.78719117223001,7.89582087886654,19.0284464308048,14.1649539251124,20.1682117198432,2.9315558316717e-05,-2.45545917231612,0.607671289,0.0355866146101814,0.00766245751442927,0.00410344574808138,0.000660578109803131,0.000640936438005261,0.00457637745059576,0.00150148549584354,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.2108168721199,0,0.9,0,0
6,50.1972939206642,6.12353360541767,7.70771356758187,20.6135375111324,14.4687910604452,22.0213942473455,2.70989671088498e-05,-3.21216263051968,0.446021763,0.0220742032001125,0.00725637914784554,0.00529629684778822,0.000721914146045753,0.000338231123661796,0.00365060267388639,0.00133450033369875,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.09522513151169,0,0.9,0,0
7,46.4367818644071,6.09061199154992,7.66907061838036,22.5926215176642,14.4595898110524,24.975649473885,2.45556180281922e-05,-3.01926409652164,0.411451011,0.0184629709218843,0.00517426366111451,0.00272239293682317,0.000614832188301967,0.000317356710457201,0.00213961954769952,0.00128444897682939,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.08217236995697,0,0.9,0,0
8,43.0937402220534,6.23297881867569,7.82618735653828,23.5718849292095,14.2556216414667,26.4775952540553,2.70195488645401e-05,-2.94397542504961,0.476442673,0.0250739484483731,0.00476924395566324,0.00257364051777916,0.000351814251195805,0.000609535683793909,0.00125730514305087,0.00119742541749111,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.15888530015945,0,0.9,0,0
9,41.506327460235,6.22747377946964,7.66606846189713,23.1897633402761,14.0727997756682,26.2174661524185,3.95447514409172e-05,-2.49722012169984,0.639261454,0.0289938365591806,0.00500115398070538,0.00330654650341324,0.000355535366635195,0.00061930717378879,0.00120181099710196,0.00163665611244245,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.11319179534912,0,0.9,0,0
10,42.6835342358323,6.05311689945196,7.56193756766375,22.3167211265483,14.1124611957187,25.3522868242425,4.88153666225684e-05,-2.920892941722,0.922987598,0.0261546885162847,0.00547929028862275,0.00391542134503124,0.000382098667591205,0.000638644201991485,0.000934471113428899,0.00126618652896254,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.09313383102417,0,0.9,0,0
11,41.7582369434525,5.99527786715244,7.72601831314267,21.2994954808843,14.452031913519,23.8429805503983,4.97145170022586e-05,-2.92175160280281,1,0.0313577612778108,0.00750363544169623,0.0102219408291154,0.000418486268951591,0.00120425071089645,0.000848671810440754,0.00164566539101478,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.20569360256195,0,0.9,0,0
12,38.5592542945161,6.05465045074582,7.93464518156814,21.0398416634574,14.5910136468346,22.5792302392491,4.76339683756462e-05,-2.63798107029077,1,0.0318795603639785,0.00703956438768715,0.0111681794766729,0.000586839602106676,0.00184676574592292,0.000938005288910793,0.00145743993242012,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.2296364068985,0,0.9,0,0
