Value,Description
NA,Pelagic_fish_spawning_start_day
NA,Pelagic_fish_spawning_duration_(days)
NA,Pelagic_fish_recruitment_start_day
NA,Pelagic_fish_recruitment_duration_(days)
NA,Demersal_fish_spawning_start_day
NA,Demersal_fish_spawning_duration_(days)
NA,Demersal_fish_recruitment_start_day
NA,Demersal_fish_recruitment_duration_(days)
NA,Filt/dep_benthos_spawning_start_day
NA,Filt/dep_benthos_spawning_duration_(days)
NA,Filt/dep_benthos_recruitment_start_day
NA,Filt/dep_benthos_recruitment_duration_(days)
NA,Carn/scav_benthos_spawning_start_day
NA,Carn/scav_benthos_spawning_duration_(days)
NA,Carn/scav_benthos_recruitment_start_day
NA,Carn/scav_benthos_recruitment_duration_(days)
1,Migratory_fish_switch_(0=off_1=on)
6619965.05867097,Migratory_fish_ocean_biomass_(Tonnes_wet_weight)
0.184,Migratory_fish_carbon_to_wet_weight_(g/g)
NA,Model_domain_sea_surface_area_(km2)
0.000606093397174375,Propn_of_ocean_population_entering_model_domain_each_year
297,Imigration_start_day
114,Imigration_end_day_(must_be_later_than_start_day_even_if_migration_disabled)
0.568286069831881,Propn_of_peak_popn_in_model_domain_which_remains_and_does_not_emigrate
185,Emigration_start_day
226,Emigration_end_day_(must_be_later_than_start_day_even_if_migration_disabled)
