"","kelp","phyt","omnivzoo","carnzoo","fishplar","fishdlar","fishp","fishm","fishd","benthslar","benthclar","benths","benthc","bird","seal","ceta"
"ammonia",0.311252740353226,0.2136679939226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nitrate",0.688747259646774,0.7863320060774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suspdet",NA,NA,0.000571012140816055,NA,NA,NA,NA,NA,NA,0.966361628883127,0.139245441900474,0.163193113900459,NA,NA,NA,NA
"seddet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.680627816217169,NA,NA,NA,NA
"kelpdebris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00851096026555954,NA,NA,NA
"corpses",NA,NA,NA,NA,NA,NA,NA,NA,0.0112482757876481,NA,NA,NA,0.492517979454776,0.0817125803015586,0.0643940434228441,NA
"discards",NA,NA,NA,NA,NA,NA,NA,NA,0.0705516214212931,NA,NA,NA,NA,0.219466791951153,0.0842125794450725,0.138916733609239
"kelp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0117848550499244,NA,NA,NA
"phyt",NA,NA,0.910851664409399,NA,NA,NA,NA,NA,NA,0.033638371116873,0.860754558099526,0.156179069882373,NA,NA,NA,NA
"omnivzoo",NA,NA,NA,0.447908982828301,0.119360408490049,0.941828229207869,0.395415933719971,0.376628406733522,NA,NA,NA,NA,NA,NA,NA,0.0101872333097297
"carnzoo",NA,NA,NA,NA,NA,NA,0.0871809128181865,0.0156828399310373,0.0710724164220845,NA,NA,NA,NA,0.115888541269912,0,0.0154580033189715
"fishplar",NA,NA,NA,0.0211864781372491,NA,NA,0.223494446942362,0.058903001021502,0.160446673672403,NA,NA,NA,NA,NA,NA,NA
"fishdlar",NA,NA,NA,0.0609208379276178,NA,NA,0.121821224314605,0.04181233667608,0.101191205452199,NA,NA,NA,NA,NA,NA,NA
"fishp",NA,NA,NA,NA,NA,NA,NA,NA,0.18439170747774,NA,NA,NA,NA,0.241364362187038,0.238985494919984,0.233033110968712
"fishm",NA,NA,NA,NA,NA,NA,NA,NA,0.0170287858754512,NA,NA,NA,NA,0.178239892652369,0.0573622080125029,0.429137947107536
"fishd",NA,NA,NA,NA,NA,NA,NA,NA,0.00624205082560868,NA,NA,NA,NA,0.16332783163797,0.555045674199597,0.168726048351344
"benthslar",NA,NA,0.00152186110076052,0.323002384921986,0.570480868473336,0.0447386567206322,0.0857215900504531,0.296429956111882,NA,NA,NA,NA,NA,NA,NA,NA
"benthclar",NA,NA,0.0870554623490239,0.146981316184846,0.310158723036615,0.0134331140714994,0.0863658921544216,0.210543459525977,NA,NA,NA,NA,NA,NA,NA,NA
"benths",NA,NA,NA,NA,NA,NA,NA,NA,0.298446713718886,NA,NA,NA,0.48718620522974,0,0,0
"benthc",NA,NA,NA,NA,NA,NA,NA,NA,0.0793805493466862,NA,NA,NA,NA,0,0,0
"bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"seal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00454092333446778
"ceta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
