"Value","Description"
2.02991580140962e-05,"water_column_detritus_mineralisation_rate"
1.27175709714061e-07,"upper_layer_water_column_nitrification_rate"
2.65824956619832e-09,"upper_layer_water_column_denitrification_rate"
0.033951602418827,"lower_layer_water_column_nitrification_rate"
4.64664750524919e-07,"lower_layer_water_column_denitrification_rate"
0.497154077689968,"proportion_of_detritus_or_corpses_converted_to_refractory_material_max_0.4"
0.000158132880087207,"mineralisation_rate_scaling_parameter_for_refractory_detritus"
0.0281029868254086,"proportion_of_refractory_detritus_digestible_by_benthos"
0.0131867304273499,"sediment_detritus_mineralisation_rate"
-1.69435496522528e-08,"grain_size_sensitivity_for_sediment_detritus_mineralisation_rate"
6.15825230747125e-05,"sediment_detritus_nitrification_rate"
-2.31152146274783e-06,"grain_size_sensitivity_for_sediment_detritus_nitrification_rate"
0.569895236269869,"sediment_detritus_denitrification_rate"
1.5927337126786e-07,"grain_size_sensitivity_for_sediment_detritus_denitrification_rate"
0.0194770020028544,"conversion_rate_of_discards_to_corpses"
0.215428524315915,"conversion_rate_of_corpses_to_sediment_detritus"
0.0249092226858834,"conversion_rate_of_kelp_debris_to_detritus"
0.116112751523366,"detritus_sinking_rate_in_the_upper_layers"
3.53442833676842e-06,"detritus_sinking_rate_in_the_lower_layer"
5.08722706320805e-05,"density_dependent_self_shading_parameter_for_kelp"
0.00165584899820502,"Wave_dependent_beach_cast_rate_for_kelp_debris"
1.03084309042994,"fitting_parameter_for_undersize_demersal_fish_function"
